,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
0,11 Com b,11 Com,326.03,1.29,12.1,6165.6,19.1,0.231,313.321964869454,14.599543022985904,4742.0,19.0,2.7,93.1846000,1,31379.79532579366,2.31,0.1945008023391942
1,11 UMi b,11 UMi,516.21997,1.53,12.3,4684.8142,13.8,0.08,313.321964869454,11.04394106752956,4213.0,29.79,2.78,125.3210000,1,31379.79532579366,1.93,1.56
2,14 And b,14 And,185.84,0.83,12.9,1525.5,3.9,0.0,313.321964869454,16.225144007927252,4813.0,11.0,2.2,75.4392000,1,31379.79532579366,2.63,4.5
3,14 Her b,14 Her,1765.03890112,2.773069,12.6,2586.74645,7.11,0.372689,308.4847993737476,641.1813480478131,5338.0,0.93,0.91,17.9323000,2,29290.077907638894,4.45,3.9
4,16 Cyg B b,16 Cyg B,798.5,1.66,13.5,565.7374,1.26,0.68,311.6025017546999,315.8877594463713,5750.0,1.13,1.08,21.1397000,1,29306.735907638893,4.36,7.4
5,17 Sco b,17 Sco,578.38,1.45,12.9,1373.01872,3.51,0.06,313.321964869454,12.029183722224063,4157.0,25.92,1.22,124.9530000,1,31379.79532579366,1.7,5.13
6,18 Del b,18 Del,993.3,2.6,12.5,3273.5,9.21,0.08,309.2910124885017,65.77450299457398,4979.0,8.5,2.3,76.2220000,1,31379.79532579366,2.82,1.1
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,3165.0796094172,330.0,18.647,3000.0,2.54,0.0,1700.0,54168.37372277745,4060.0,1.31,0.85,139.1350000,1,29286.41423763889,4.0,0.005
8,24 Boo b,24 Boo,30.3506,0.19,13.9,289.2253,0.592,0.042,313.321964869454,3.839857661084332,4893.0,10.64,0.99,95.9863000,1,31379.79532579366,2.42,6.92
9,24 Sex b,24 Sex,452.8,1.333,13.4,632.46,1.44,0.09,313.321964869454,58.4974887111476,5098.0,4.9,1.54,72.0691000,2,31379.79532579366,3.5,2.7
10,24 Sex c,24 Sex,883.0,2.08,13.9,273.32,0.559,0.29,313.321964869454,91.278902114919,5098.0,4.9,1.54,72.0691000,2,31379.79532579366,3.5,2.7
11,2M0437 b,2MASS J04372171+2651014,3165.0796094172,118.0,13.0,1271.31363,3.18,0.0,1450.0,30206.88026719676,3100.0,0.84,0.17,128.4840000,1,29290.077907638894,4.5,2.5
12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,3165.0796094172,84.0,12.3,4131.79,12.2,0.0,,,5881.482919792835,1.2527490316615546,0.5075928571428556,47.2000000,1,,4.2962568994402766,0.03
13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,3165.0796094172,52.0,11.209,7786.5,30.4,0.0,1600.0,30220.71759210156,3530.0,0.37,0.4,33.8281000,1,29305.75584097223,4.86,0.12
14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,3165.0796094172,156.0,16.141,4417.837,5.77,0.0,,119803.55902583116,3064.0,0.28,0.11,40.0896412,1,,4.59,0.035
15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1913.9498069838028,15.0,12.6,2383.6,6.55,0.0,,14023.827979612344,2936.0,0.23,0.02,120.4239870,1,,5.01,0.001
16,2MASS J12073346-3932539 b,2MASS J12073346-3932539,3165.0796094172,55.0,12.9,1589.15,4.07,0.0,1250.0,53758.00725518065,2825.0,0.22,0.02,64.3080000,1,29316.114134722226,5.03,0.008
