,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
3783,Kepler-306 b,Kepler-306,4.646186,0.05,1.52,2.92,4.57,0.0,830.0,15.2,4954.0,0.72,0.81,775.6790000,4,127.25,4.61,2.63
3784,Kepler-305 e,Kepler-305,3.20538,0.0399,1.794,3.87,3.68,0.0,1000.0,11.51,4974.0,0.83,0.82,868.4770000,4,236.11,4.52,4.37
3785,Kepler-305 d,Kepler-305,16.738661,0.121,2.71,9.1,2.5,0.0,576.0,54.49,5100.0,0.79,0.85,868.4770000,4,25.52,4.56,4.37
3786,Kepler-305 c,Kepler-305,8.291,0.0752,3.3,6.0,0.917,0.0,728.0,12.4,5117.0,0.8,0.76,868.4770000,4,65.1,4.51,4.37
3787,Kepler-305 b,Kepler-305,5.487,0.0571,3.6,10.5,1.24,0.0,836.0,9.4,5117.0,0.8,0.76,868.4770000,4,112.91,4.51,4.37
3788,Kepler-304 e,Kepler-304,1.49914695,0.0232,1.2,1.87,5.95,0.0,1137.0,8.065,4817.0,0.73,0.8,434.6840000,4,397.25,4.61,2.09
3789,Kepler-304 d,Kepler-304,9.653471,0.08,2.75,8.0,2.11,0.0,611.0,25.95,4731.0,0.69,0.8,434.6840000,4,33.16,4.63,2.09
3790,Kepler-304 c,Kepler-304,5.315946,0.054,2.17,5.35,2.88,0.0,746.0,37.98,4731.0,0.69,0.8,434.6840000,4,73.6,4.63,2.09
3791,Kepler-304 b,Kepler-304,3.295709,0.039,2.86,8.55,2.01,0.0,875.0,13.83,4731.0,0.69,0.8,434.6840000,4,139.15,4.63,2.09
3792,Kepler-303 c,Kepler-303,7.061149,0.057,1.14,1.55,5.75,0.0,521.0,54.222,3944.0,0.48,0.57,209.7380000,2,25.85,4.77,3.31
3793,Kepler-303 b,Kepler-303,1.937055,0.024,0.89,0.64,4.99,0.0,802.0,10.175,3944.0,0.48,0.57,209.7380000,2,145.44,4.77,3.31
3794,Kepler-302 c,Kepler-302,127.282184,0.503,12.45,144092.0256180885,,0.0,392.0,97.12,5740.0,1.22,1.02,1402.5800000,2,4.58,4.29,0.5
3795,Kepler-302 b,Kepler-302,30.184104,0.193,4.06,15.5,1.27,0.0,634.0,40.33,5740.0,1.22,1.02,1402.5800000,2,31.25,4.29,0.5
3796,Kepler-301 d,Kepler-301,13.751243,0.112,1.75,3.71,3.8,0.0,725.0,19.4,5815.0,0.9,0.98,719.1660000,3,68.93,4.53,4.17
3797,Kepler-301 c,Kepler-301,5.419026,0.06,1.35,2.39,5.34,0.0,989.0,18.428,5815.0,0.9,0.98,719.1660000,3,238.48,4.53,4.17
3798,Kepler-301 b,Kepler-301,2.508553,0.036,1.35,2.39,5.34,0.0,1278.0,8.366,5815.0,0.9,0.98,719.1660000,3,665.44,4.53,4.17
3799,Kepler-300 c,Kepler-300,40.714955,0.232,2.25,5.69,2.74,0.0,516.0,32.3,5986.0,0.9,1.07,1098.4500000,2,43.25,4.53,3.63
3800,Kepler-300 b,Kepler-300,10.446347,0.094,1.67,3.43,4.05,0.0,812.0,13.0,5986.0,0.9,1.07,1098.4500000,2,265.19,4.53,3.63
3801,Kepler-30 d,Kepler-30,143.34394,0.5,8.8,23.1,0.19,0.022,308.0,109.1,5498.0,0.95,0.99,914.2210000,3,1.96,4.77,2.0
3802,Kepler-30 c,Kepler-30,60.323105,0.3,12.3,640.0,1.88,0.0111,411.0,61.3,5498.0,0.95,0.99,914.2210000,3,6.22,4.77,2.0
3803,Kepler-30 b,Kepler-30,29.33434,0.18,3.9,11.3,1.02,0.042,524.0,37.7,5498.0,0.95,0.99,914.2210000,3,16.38,4.77,2.0
3804,Kepler-299 e,Kepler-299,38.285489,0.22,1.87,4.16,3.5,0.0,534.0,44.9,5617.0,1.03,0.95,1052.2400000,4,20.17,4.39,0.4
3805,Kepler-299 d,Kepler-299,15.054786,0.118,1.86,4.12,3.52,0.0,729.0,16.53,5617.0,1.03,0.95,1052.2400000,4,69.96,4.39,0.4
3806,Kepler-299 c,Kepler-299,6.885875,0.07,2.65,7.51,2.22,0.0,946.0,4.86,5617.0,1.03,0.95,1052.2400000,4,198.55,4.39,0.4
3807,Kepler-299 b,Kepler-299,2.927128,0.04,1.32,2.3,5.5,0.0,1258.0,8.902,5617.0,1.03,0.95,1052.2400000,4,622.07,4.39,0.4
3808,Kepler-298 d,Kepler-298,77.473633,0.305,2.5,6.8,2.39,0.0,277.0,95.0,4465.0,0.58,0.66,518.2040000,3,1.72,4.71,2.4
3809,Kepler-298 c,Kepler-298,22.92881,0.136,1.93,4.38,3.35,0.0,416.0,42.0,4465.0,0.58,0.66,518.2040000,3,8.7,4.71,2.4
3810,Kepler-298 b,Kepler-298,10.475464,0.08,1.96,4.5,3.28,0.0,540.0,34.09,4465.0,0.58,0.66,518.2040000,3,24.71,4.71,2.4
3811,Kepler-297 c,Kepler-297,74.920137,0.336,6.54,42.1,0.827,0.0,409.0,78.2,5619.0,0.92,0.98,692.1400000,2,6.86,4.47,1.9
3812,Kepler-297 b,Kepler-297,38.871826,0.217,2.87,48.5,11.3,0.0,509.0,50.414,5619.0,0.92,0.98,692.1400000,2,16.46,4.47,1.9
3813,Kepler-296 f,Kepler-296,63.33627,0.255,1.8,3.89,3.2,0.33,274.0,115.1,3740.0,0.48,0.5,167.0000000,5,0.62,4.77,4.2
3814,Kepler-296 e,Kepler-296,34.14211,0.169,1.53,2.96,4.1,0.33,337.0,76.2,3740.0,0.48,0.5,167.0000000,5,1.41,4.77,4.2
3815,Kepler-296 d,Kepler-296,19.850291,0.118,2.09,5.02,1.9,0.33,403.0,53.1,3740.0,0.48,0.5,167.0000000,5,2.9,4.77,13.9
3816,Kepler-296 c,Kepler-296,5.8416366,0.0521,2.0,4.66,1.2,0.33,606.0,23.5,3740.0,0.48,0.5,167.0000000,5,14.8,4.77,13.9
3817,Kepler-296 b,Kepler-296,10.864384,0.079,1.61,3.22,3.0,0.33,495.0,35.5,3740.0,0.48,0.5,167.0000000,5,6.5,4.77,13.9
3818,Kepler-295 d,Kepler-295,33.884054,0.192,1.36,2.42,5.29,0.0,533.0,14.7,5603.0,0.9,0.89,1699.1900000,3,104.96,4.44,8.8
3819,Kepler-295 c,Kepler-295,21.526258,0.142,1.17,1.71,5.87,0.0,621.0,19.86,5603.0,0.9,0.89,1699.1900000,3,192.14,4.44,8.8
3820,Kepler-295 b,Kepler-295,12.645164,0.099,1.22,1.98,5.99,0.0,741.0,4.41,5603.0,0.9,0.89,1699.1900000,3,391.01,4.44,8.8
3821,Kepler-294 c,Kepler-294,6.6264,0.071,2.71,7.8,2.15,0.0,895.0,16.27,5913.0,0.98,0.95,1357.0100000,2,151.49,4.49,0.6
3822,Kepler-294 b,Kepler-294,3.701212,0.048,1.77,3.78,3.75,0.0,1087.0,11.634,5913.0,0.98,0.95,1357.0100000,2,329.8,4.49,0.6
3823,Kepler-293 c,Kepler-293,54.155743,0.286,3.83,14.0,1.37,0.0,466.0,43.5,5804.0,0.96,0.94,974.6330000,2,7.29,4.5,0.5
3824,Kepler-293 b,Kepler-293,19.254196,0.144,3.07,9.64,1.83,0.0,657.0,32.87,5804.0,0.96,0.94,974.6330000,2,28.94,4.5,0.5
3825,Kepler-292 f,Kepler-292,20.834237,0.141,2.35,6.12,2.59,0.0,563.0,18.3,5299.0,0.83,0.85,1056.4800000,5,24.32,4.54,5.13
3826,Kepler-292 e,Kepler-292,11.97901,0.097,2.67,7.61,2.2,0.0,678.0,24.92,5299.0,0.83,0.85,1056.4800000,5,50.92,4.54,5.13
3827,Kepler-292 d,Kepler-292,7.055679,0.068,2.23,5.6,2.77,0.0,808.0,17.53,5299.0,0.83,0.85,1056.4800000,5,103.0,4.54,5.13
3828,Kepler-292 c,Kepler-292,3.715335,0.045,1.47,2.76,4.77,0.0,1001.0,5.8,5299.0,0.83,0.85,1056.4800000,5,242.42,4.54,5.13
3829,Kepler-292 b,Kepler-292,2.580827,0.035,1.32,2.3,5.5,0.0,1130.0,4.5,5299.0,0.83,0.85,1056.4800000,5,394.3,4.54,5.13
3830,Kepler-291 c,Kepler-291,5.700786,0.065,1.88,4.19,3.47,0.0,1035.0,27.02,6002.0,1.02,0.9,1786.4800000,2,332.74,4.47,0.3
3831,Kepler-291 b,Kepler-291,3.546511,0.047,2.16,5.31,2.9,0.0,1212.0,11.91,6002.0,1.02,0.9,1786.4800000,2,627.37,4.47,0.3
3832,Kepler-290 c,Kepler-290,36.77031,0.205,2.7,7.75,2.16,0.0,437.0,33.9,5147.0,0.74,0.8,694.6270000,2,6.6,4.62,1.1
3833,Kepler-290 b,Kepler-290,14.589347,0.11,2.25,5.69,2.74,0.0,594.0,47.44,5147.0,0.74,0.8,694.6270000,2,22.64,4.62,1.1
3834,Kepler-29 c,Kepler-29,13.28613,0.1087,2.34,4.5,1.91,0.0,715.0,31.83,5378.0,0.73,0.76,832.5320000,2,34.4,4.6,0.3
3835,Kepler-29 b,Kepler-29,10.33974,0.0919,2.55,5.0,1.65,0.0,777.0,24.95,5378.0,0.73,0.76,832.5320000,2,55.9,4.6,0.3
3836,Kepler-289 d,Kepler-289,66.0634,0.33,2.68,4.0,1.2,0.0,311.6025017546999,70.7,5990.0,1.0,1.08,704.4380000,3,29290.077907638894,4.47,0.65
3837,Kepler-289 c,Kepler-289,125.8518,0.51,11.59,132.0,0.47,0.0,394.0,108.6,5990.0,1.0,1.08,704.4380000,3,4.88,4.47,0.65
3838,Kepler-289 b,Kepler-289,34.545,0.21,2.15,7.3,4.1,0.0,607.0,45.9,5990.0,1.0,1.08,704.4380000,3,27.37,4.47,0.65
3839,Kepler-288 d,Kepler-288,56.633742,0.287,2.67,7.61,2.2,0.0,570.0,20.5,5918.0,1.09,1.03,1194.1500000,3,12.66,4.35,3.72
3840,Kepler-288 c,Kepler-288,19.305772,0.14,2.85,8.5,2.02,0.0,815.0,35.21,5918.0,1.09,1.03,1194.1500000,3,53.15,4.35,3.72
3841,Kepler-288 b,Kepler-288,6.097326,0.065,1.67,3.43,4.05,0.0,1197.0,13.768,5918.0,1.09,1.03,1194.1500000,3,247.3,4.35,3.72
3842,Kepler-287 c,Kepler-287,44.851896,0.246,3.26,10.7,1.7,0.0,513.0,43.3,5806.0,1.03,0.97,835.8600000,2,12.46,4.4,7.6
3843,Kepler-287 b,Kepler-287,20.342199,0.145,2.33,6.04,2.62,0.0,667.0,38.0,5806.0,1.03,0.97,835.8600000,2,35.75,4.4,7.6
3844,Kepler-286 e,Kepler-286,29.221289,0.176,1.77,3.78,3.75,0.0,539.0,58.14,5580.0,0.86,0.96,1226.8500000,4,22.4,4.5,2.75
3845,Kepler-286 d,Kepler-286,5.914323,0.061,1.33,2.33,5.44,0.0,919.0,17.223,5580.0,0.86,0.96,1226.8500000,4,188.48,4.5,2.75
3846,Kepler-286 c,Kepler-286,3.468095,0.042,1.37,2.45,5.24,0.0,1098.0,11.29,5580.0,0.86,0.96,1226.8500000,4,384.29,4.5,2.75
3847,Kepler-286 b,Kepler-286,1.796302,0.027,1.24,2.07,5.97,0.0,1367.0,7.288,5580.0,0.86,0.96,1226.8500000,4,925.92,4.5,2.75
3848,Kepler-285 c,Kepler-285,6.186676,0.064,1.12,1.46,5.71,0.0,851.0,16.46,5411.0,0.81,0.82,824.3100000,2,137.07,4.58,0.6
3849,Kepler-285 b,Kepler-285,2.633867,0.036,1.34,2.36,5.39,0.0,1131.0,9.91,5411.0,0.81,0.82,824.3100000,2,428.41,4.58,0.6
3850,Kepler-284 c,Kepler-284,37.514456,0.213,2.61,7.32,2.26,0.0,478.0,55.2,5615.0,0.81,0.92,1031.9500000,2,9.04,4.58,0.5
3851,Kepler-284 b,Kepler-284,12.699149,0.104,2.24,5.65,2.76,0.0,686.0,26.8,5615.0,0.81,0.92,1031.9500000,2,38.37,4.58,0.5
