,planet_density,planet_radius,planet_mass
223,2.44,2.46,6.6
224,1.7,3.25,10.6
225,0.8,4.57,13.9
226,5.03,1.264,1.86
227,2.24,2.63,7.41
228,0.275,14.3,146.20107
229,0.431,9.32,63.56568
230,5.6,1.217,1.84
231,4.08,1.66,3.4
232,2.62,2.34,6.1
233,2.04,2.83,8.4
234,8.106,0.718,0.546
235,2.11,2.75,8.0
236,7.3,1.09,1.75
237,2.72,2.26,5.71
238,5.87,1.17,1.71
239,2.31,2.57,7.14
240,5.16,1.38,2.47
241,2.55,2.38,6.26
242,4.85,1.45,2.69
243,2.3,2.63,7.6
244,0.499,8.4,53.83
245,1.65,3.33,11.07
246,1.21,4.22,16.57
247,2.63,2.33,6.043
248,0.723,6.27,32.422
249,2.93,2.14,5.223
250,1.8,4.17,22.1
251,1.44,3.69,13.2
252,7.0,1.305,2.82
253,3.18,13.0,1271.3
254,2.96,2.13,5.2
255,2.88,2.17,5.36
256,1.25,4.11,15.8
257,2.8,2.21,5.5
258,5.83,1.17,1.7
259,4.68,1.49,2.82
260,0.293,12.5,104.244
261,2.77,2.23,5.6
262,3.77,1.77,3.8
263,4.87,1.45,2.7
264,4.87,1.45,2.7
265,3.21,1.99,4.6
266,1.65,3.33,11.09
267,4.81,12.8,1837.01057
268,12.6,12.3,4271.00959
269,3.76,1.77,3.79832
270,2.41,2.48,6.69167
271,24.7,12.0,7764.94529
272,3.36,1.93,4.4
273,1.98,2.89,8.7
274,1.93,2.95,9.0
275,1.17,4.32,17.2
276,1.24,4.14,16.0
277,1.4,3.77,13.64
278,4.54,1.53,2.96
279,0.433,14.0,216.0
280,0.585,13.9,286.04557
281,0.447,14.0,223.11554
282,3.6,12.9,1404.8086
283,1.69,13.3,723.2235
284,0.455,14.0,226.9846
285,2.37,2.51,6.83
286,1.33,3.92,14.6
287,3.47,1.88,4.2
288,2.19,2.67,7.6
289,1.68,13.3,718.2922
290,0.415,9.6,66.74397
291,1.06,4.67,19.66
292,1.83,3.07,9.65
293,8.58,12.5,3051.24439
294,6.93,1.577,4.91
295,2.42,1.241,0.84
296,2.69,2.022,4.04
297,8.222423,16.477,6261.21962
298,0.921,33.6,6356.0
299,3.35,20.176,5000.0
300,6.92,14.179,3591.3
301,1.12,13.776,533.95172
302,0.439,14.818,259.66581
303,1.46,3.66,13.02
304,2.75,2.24,5.63
305,2.45,2.46,6.624
306,0.282,14.785,166.86075
307,1.68,4.36,26.69772
308,1.71,13.3,731.009
309,0.3192,10.749,67.059
310,0.362,14.258,270.462
311,13.4,12.3,4538.421
312,1.56,15.917,1093.3352
313,1.96,11.882,616.5902
314,2.42,14.448,1332.605
315,0.64,11.769,184.3414
316,2.64,13.1,1080.6
317,0.25,11.153,62.61
318,0.25,12.689,92.802
319,7.29,10.66,2765.121
320,13.78,9.718,2302.899
321,4.6,12.442,1547.8321
322,2.14,12.89,785.0401
323,1.406,12.218,425.8922
324,0.44,14.572,238.3725
325,0.483,12.722,180.84527
326,0.4,7.062,22.2481
327,0.76,11.43,197.05
328,0.44,13.585,198.953
329,0.79,13.115,279.6904
330,0.855,10.536,206.5895
331,0.309,16.141,263.7989
332,2.18,12.218,721.4741
333,0.108,22.194,216.1244
334,0.2,20.737,292.4036
335,2.5,13.417,1058.3739
336,0.55,14.93,335.62848
337,1.175,14.314,587.41341
338,0.89,13.204,371.528
339,0.59,9.247,84.857
340,0.19,17.609,190.372
341,0.403,14.28,213.255
342,0.15,17.038,152.5584
343,0.204,22.978,378.2177
344,0.61,14.348,331.801
345,0.39,13.63,210.395
346,0.23,13.922,111.871
347,3.18,13.0,1271.3
348,0.38,15.984,283.492
349,0.28,14.392,156.684
350,0.75,17.822,699.226
351,0.642,13.563,311.4734
352,0.78,14.437,429.0705
353,0.178,14.493,98.20947
354,0.98,11.31,259.98494
355,0.8,14.773,471.65972
356,1.118,10.581,241.5508
357,0.435,13.249,184.97706
358,0.75,16.926,734.1873
359,0.332,19.504,448.1403
360,0.194,14.93,118.23217
361,1.347,12.588,489.45575
362,0.558,16.589,419.5356
363,0.164,18.282,182.43351
364,1.8,10.077,335.94463
365,0.77,12.027,241.86742
366,0.54,12.543,195.14664
367,0.144,19.089,184.34048
368,0.096,21.185,167.49641
369,0.242,17.822,248.86089
370,0.052,23.371,108.0622
371,0.727,12.016,230.10892
372,1.02,18.786,1137.8314
373,0.712,16.926,584.8072
374,1.54,20.961,2154.8874
375,0.568,15.693,406.8224
376,0.342,15.614,238.05467
377,1.03,14.594,589.55
378,0.7,10.862,167.17858
379,0.315,18.03,263.7989
380,1.12,7.76,759.6137
381,0.377,13.585,172.58169
382,1.191,11.646,340.39593
383,1.97,12.386,689.6911
384,1.86,14.572,1039.3041
385,3.5,8.709,425.25654
386,1.1169,14.897,629.14449
387,1.05,13.092,427.463
388,3.89,10.682,870.8542
389,0.29,20.849,467.2101
390,1.03,15.637,718.2958
391,0.38,14.123,194.82979
392,0.153,19.616,206.5895
393,0.18,16.814,168.4499
394,0.48,13.384,213.58176
395,0.411,14.022,207.54299
396,0.51,15.48,340.382
397,0.543,13.171,224.38798
398,0.243,18.383,279.6904
399,0.58,14.0,292.4036
400,0.79,13.787,378.85336
401,0.4,16.029,299.07803
402,0.484,16.41,388.38826
403,2.12,12.92,1022.14128
404,0.55,6.793,31.46517
405,0.403,6.882,23.51942
406,0.202,17.598,200.2329
407,1.55,11.433,420.471
408,0.49,17.71,505.3497
409,5.1,14.908,3082.951
410,0.83,15.693,597.5204
411,0.191,13.227,82.95363
412,0.56,11.96,177.9848
413,0.41,14.415,222.481
414,0.28,10.122,54.98459
415,0.331,12.52,117.27927
416,0.589,8.967,77.23269
417,0.986,8.575,112.19399
418,0.39,10.223,75.323
419,0.33,12.666,123.9537
420,0.34,15.805,244.09344
421,1.06,15.491,711.9392
422,0.303,15.02,189.10885
423,0.77,11.377,239.32479
424,0.587,14.022,292.72143
425,0.155,18.921,191.33366
426,2.65,12.767,1000.21101
427,0.96,12.274,327.3649
428,0.7,12.621,256.17098
429,11.9,12.3,4036.441
430,0.399,11.187,101.38777
431,0.537,12.924,210.40346
432,2.47,13.395,1080.622
433,0.076,11.825,56.89157
434,0.67,13.529,305.1168
435,0.245,18.82,305.1168
436,0.3,16.825,260.93843
437,2.34,15.816,1694.0339
438,0.374,18.887,460.8535
439,0.856,13.809,410.0007
440,0.46,10.593,183.38791
441,0.83,6.311,38.1396
442,6.64,15.513,4100.007
443,0.42,11.478,117.5971
444,0.411,8.097,39.85588
445,1.64,11.568,464.02947
446,0.878,9.909,156.05375
447,2.58,12.094,835.57088
448,1.077,13.058,436.69623
449,0.259,9.785,43.86054
450,0.626,13.85,266.02371
451,2.84,77.342,239000.0
452,1.14,13.5,511.7063
453,0.684,13.8,327.3649
454,1.44,3.68,13.1
455,1.57,3.45,11.75
456,0.881,5.39,25.1
457,0.913,5.24,23.9
458,0.993,4.91,21.4
459,0.426,9.4,64.4
460,0.367,10.6,79.4575
461,0.489,8.47,54.0311
462,0.25,14.2,130.3103
463,4.02,12.9,1570.0802
464,7.12,12.6,2593.4928
465,1.08,13.5,483.1016
466,1.24,4.14,16.0
467,0.278,13.1,113.9
468,0.638,13.8,305.1168
469,0.793,5.83,28.6047
470,0.386,14.1,197.046
471,0.271,13.3,116.0
472,1.0,13.6,457.67291
473,1.64,3.35,11.2
474,0.511,8.18,50.8528
475,1.03,13.6,472.61321
476,7.25,12.6,2637.9
477,0.877,5.4,25.14472
478,27.9,11.9,8550.26928
479,0.399,14.1,203.41018
480,8.94,12.5,3178.28407
481,9.06,12.5,3219.6179
482,4.7,2.44,12.6
483,1.01,4.35,15.2
484,0.625,13.8,298.75
485,10.1,12.4,3518.96545
