,planet_density,planet_radius,planet_mass
954,0.829,13.7,387.7526
955,0.281,14.3,149.37
956,1.1,13.5,491.68301
957,0.386,14.1,197.0546
958,1.72,3.22,10.47
959,1.36,3.85,14.16
960,1.57,3.46,11.82
961,5.5,1.627,4.73
962,2.35,2.923,10.67
963,3.03,2.09,5.03
964,1.81,3.09,9.74
965,2.36,13.1,966.16
966,0.446,14.0,222.481
967,0.287,14.3,152.5584
968,1.04,13.6,476.74261
969,0.856,13.7,400.46379
970,0.579,13.9,282.86728
971,0.431,9.32,63.56568
972,0.464,9.718,77.55052
973,0.294,12.5,104.56607
974,8.14,12.5,2892.1
975,1.46,13.4,638.8383
976,1.24,13.5,556.2025
977,0.533,13.9,260.6206
978,0.492,8.42,53.5
979,0.754,6.07,30.7
980,1.19,4.26,16.8
981,0.64,6.88,37.9
982,0.263,13.6,120.6
983,2.99,13.0,1195.0408
984,0.477,14.0,238.37131
985,0.386,10.1,72.46524
986,0.43,14.0,214.53525
987,0.406,14.1,207.22516
988,0.443,14.0,221.20968
989,2.04,13.2,854.9627
990,2.48,13.1,1013.8777
991,0.482,8.56,54.98431
992,0.255,14.0,127.132
993,0.404,14.1,206.34463
994,9.57,12.4,3320.46746
995,8.67,12.5,3082.31534
996,11.2,12.4,3889.98524
997,3.59,1.83,4.0
998,2.54,2.39,6.3
999,3.59,1.83,4.0
1000,2.02,2.85,8.5
1001,3.59,1.83,4.0
1002,2.44,2.46,6.6
1003,1.86,3.04,9.5
1004,2.96,2.13,5.2
1005,2.33,2.56,7.1
1006,2.05,13.2,858.141
1007,3.8,12.9,1484.2661
1008,1.93,13.2,807.25
1009,18.1,12.1,5838.29
1010,1.21,13.5,542.78936
1011,1.14,13.5,508.528
1012,1.66,13.3,708.7609
1013,1.61,13.3,689.66
1014,0.527,13.9,257.4423
1015,1.34,3.89,14.4
1016,1.25,4.12,15.8915
1017,1.4,13.4,612.45841
1018,0.338,14.2,176.03781
1019,6.81,12.6,2479.19613
1020,1.94,13.2,810.4665
1021,0.361,14.1,184.33
1022,1.54,3.52,12.19
1023,1.96,2.91,8.81
1024,1.27,13.5,568.89
1025,0.449,9.03,60.16492
1026,0.335,14.2,174.4878
1027,0.259,14.3,137.62039
1028,24.1,12.0,7574.93226
1029,0.395,10.0,71.8
1030,0.966,5.02,22.2481
1031,0.279,13.0,111.42
1032,1.76,13.3,753.23
1033,1.76,13.3,753.23
1034,1.71,13.3,731.009
1035,1.36,13.4,597.5204
1036,6.4,12.6,2330.0
1037,13.0,12.3,4417.837
1038,1.08,13.5,484.69075
1039,1.15,13.5,513.29545
1040,0.733,6.2,31.783
1041,1.16,13.5,519.96988
1042,2.22,13.2,931.2419
1043,4.03,12.9,1574.464
1044,1.48,3.62,12.77
1045,1.36,3.87,14.31
1046,0.822,13.7,384.5743
1047,2.9,2.45,7.8
1048,1.12,4.49,18.4
1049,1.1,13.5,494.54348
1050,0.7,13.8,334.67499
1051,3.08,13.0,1230.0021
1052,4.81,12.8,1837.0574
1053,1.19,13.5,534.27223
1054,0.295,12.5,104.88
1055,1.43,3.71,13.3
1056,4.96,12.8,1893.34292
1057,6.66,12.6,2425.0429
1058,5.9,12.7,2199.3836
1059,5.54,12.7,2065.895
1060,0.704,13.8,336.8998
1061,1.86,13.3,797.7533
1062,16.8,12.2,5538.75835
1063,25.1,12.0,7882.56267
1064,1.71,13.3,731.0
1065,7.8,12.5,2773.33249
1066,2.91,2.15,5.27
1067,2.2,2.67,7.61
1068,0.234,12.31,79.4575
1069,0.323,14.2,168.4499
1070,2.2,2.99,10.8
1071,2.5,2.9,11.1
1072,1.14,4.41,17.8
1073,1.94,13.2,813.64072
1074,0.299,14.2,155.7367
1075,0.899,13.6,411.58985
1076,1.47,13.4,645.1949
1077,5.0,12.8,1906.9
1078,9.88,12.4,3426.60694
1079,1.79,13.3,768.2868
1080,2.38,13.1,973.0
1081,3.94,12.9,1540.0
1082,1.19,13.5,533.9544
1083,2.39,13.1,975.7381
1084,1.43,13.4,626.1251
1085,14.1,12.3,4767.4261
1086,2.36,13.1,966.19836
1087,1.76,3.17,10.2
1088,1.57,3.46,11.8
1089,1.13,4.45,18.1
1090,4.98,12.8,1900.0
1091,1.45,13.4,633.43519
1092,0.345,11.1,85.8141
1093,1.26,13.5,561.92344
1094,2.62,13.1,1071.53588
1095,18.4,12.1,5948.05833
1096,4.55,12.8,1736.44828
1097,3.32,13.0,1325.38828
1098,4.5,12.8,1716.49961
1099,2.39,13.1,978.9164
1100,1.67,13.3,715.09
1101,0.755,13.7,353.42696
1102,2.58,2.79,10.2
1103,3.88,2.39,9.7
1104,1.19,13.5,531.83222
1105,8.14,12.5,2894.47226
1106,7.29,12.6,2652.63439
1107,0.299,14.2,155.7367
1108,0.665,13.8,317.83
1109,4.7,12.8,1792.5612
1110,2.06,13.2,861.3193
1111,0.415,9.6,66.7443
1112,3.12,13.0,1249.0719
1113,1.25,4.12,15.9
1114,0.399,14.1,203.41018
1115,2.53,2.4,6.3566
1116,2.15,2.72,7.86
1117,2.5,2.42,6.44
1118,0.93,13.6,425.8922
1119,5.08,11.994,1392.0954
1120,7.4,1.613,5.6
1121,2.13,13.2,890.0
1122,0.311,14.2,162.09249
1123,9.17,12.5,3257.74117
1124,13.1,12.3,4443.24113
1125,0.438,14.0,218.531
1126,20.3,12.1,6547.0
1127,5.97,1.19,1.83
1128,5.85,1.18,1.75
1129,3.64,1.81,3.93
1130,3.64,1.81,3.93
1131,4.95,12.8,1891.0
1132,0.882,5.38,25.0
1133,0.694,13.8,332.1
1134,1.09,13.5,486.2799
1135,1.43,3.72,13.38
1136,2.82,2.06,3.63
1137,3.26,13.0,1303.103
1138,1.04,13.6,476.745
1139,1.21,13.5,540.3
1140,24.9,12.0,7838.32346
1141,22.4,12.0,7057.73298
1142,1.78,13.3,762.78818
1143,13.5,12.3,4576.72906
1144,1.78,13.3,762.8
1145,1.45,13.4,635.66
1146,12.8,12.3,4327.36
1147,15.0,12.2,4958.12315
1148,10.8,12.4,3756.73177
1149,7.85,12.5,2790.43
1150,0.93,13.6,425.89007
1151,3.73,12.9,1455.6614
1152,0.678,13.8,324.1866
1153,8.41,12.5,2987.58703
1154,6.64,12.6,2415.406
1155,2.52,13.1,1032.9475
1156,0.411,14.1,209.76675
1157,5.71,12.7,2129.461
1158,5.2,12.7,1938.7
1159,9.07,12.5,3223.13586
1160,3.24,18.495,3729.12221
1161,6.81,12.6,2479.0
1162,9.98,12.4,3464.32964
1163,5.52,12.7,2056.3601
1164,1.31,13.4,572.07
1165,5.48,1.03,1.09
1166,5.41,1.05,1.14
1167,5.05,0.913,0.7
1168,5.37,12.7,2002.31896
1169,0.34,15.39,225.34147
1170,0.62,23.203,1398.452
1171,1.06,12.78,378.2
1172,0.83,14.011,451.3186
1173,8.09,15.805,2316.9807
1174,0.951,13.6,435.409
1175,0.351,10.9,82.6358
1176,0.715,11.131,179.89178
1177,0.64,12.778,263.7989
1178,2.92,2.043,6.26
1179,5.5,1.08,1.26
1180,2.17,2.69,7.7
1181,4.1,1.66,3.41
1182,5.92,1.21,1.91
1183,0.62,12.993,232.33373
1184,0.72,11.561,188.15536
1185,0.54,15.278,355.9696
1186,1.61,16.7,1274.44
1187,33.5,10.468,6992.0
1188,21.4,10.4,4386.054
1189,6.98,12.6,2542.62726
1190,2.79,11.433,772.3269
1191,0.764,12.823,293.03926
1192,1.21,12.778,432.2488
1193,0.37,13.45,152.55
1194,0.84,13.787,457.6752
1195,0.385,14.1,196.411
1196,0.118,17.71,158.915
1197,0.479,17.901,467.2101
1198,0.346,16.376,255.85315
1199,1.59,11.545,425.8922
1200,0.193,18.271,200.2329
1201,7.0,11.657,1875.197
1202,0.141,16.365,133.4886
1203,1.02,15.524,692.8694
1204,0.88,13.899,402.05495
1205,1.104,10.559,220.565
1206,0.35,11.657,95.349
1207,0.354,18.159,371.8611
1208,0.332,16.018,231.69807
1209,0.717,11.198,170.99254
1210,8.45,12.5,3003.37
1211,2.47,12.666,807.2882
1212,0.13,18.719,270.1555
1213,0.131,21.633,352.7913
1214,1.115,13.787,529.81995
1215,0.201,20.512,292.4036
1216,0.69,14.235,340.06
1217,0.3697,15.244,228.8376
1218,1.596,15.917,908.9938
1219,0.87,14.46,731.009
1220,0.94,13.227,441.7837
1221,0.499,13.047,187.512
1222,0.55,14.908,305.1168
1223,0.291,12.442,92.1707
1224,0.665,14.796,343.2564
1225,0.388,12.89,136.6669
1226,1.144,15.693,746.9005
1227,1.5,12.464,492.62
1228,0.823,14.247,403.945
1229,0.173,15.805,117.5971
1230,0.262,14.796,165.2716
1231,1.423,15.805,851.7844
1232,0.378,9.864,174.8065
1233,0.326,11.545,117.5971
1234,2.4,8.687,274.276
1235,0.45,16.029,308.2951
1236,0.693,11.769,204.68252
1237,0.583,10.536,143.0235
1238,0.329,14.908,193.8763
1239,0.167,17.71,187.5197
1241,2.28,12.038,677.61356
1242,0.29,14.24,146.2
1243,1.325,13.07,466.8287
1244,1.64,12.184,502.15
1245,0.288,12.442,117.5971
1246,0.415,16.814,254.264
1247,6.29,1.808,6.77
1248,1.72,3.567,14.2
1249,1.12,13.5,500.0
1250,0.989,12.64,363.6
1251,1.467,13.159,607.0553
1252,1.418,10.604,306.38812
1253,0.811,12.33,276.5121
1254,2.939,10.424,565.714
1255,0.464,12.576,167.49641
1256,2.47,13.1,1010.6994
1257,0.742,12.33,270.1555
1258,0.612,14.807,376.94638
1259,0.186,14.235,88.989
1260,2.54,13.787,1093.3352
1261,1.53,13.002,572.07
1262,1.26,14.874,750.39663
1263,0.378,14.572,225.6593
1264,0.412,11.209,177.9848
1265,0.689,17.856,665.21819
1266,3.24,10.761,835.8929
1267,0.172,17.363,151.916
1268,0.89,15.917,772.3269
1269,0.65,8.631,73.1009
1270,0.651163,13.664,282.54945
1271,0.703,13.563,270.1555
1272,0.382,11.994,139.8452
1273,0.622,15.468,394.1092
1274,1.17,10.783,280.95
1275,0.444,13.787,212.9461
1276,0.32,11.99,95.345
1277,0.132,16.388,98.841
1278,0.914,12.117,295.89973
1279,1.62,13.787,731.009
1280,0.815,12.89,317.83
1281,0.506,15.861,366.77398
1282,0.621987,18.147,632.47853
1283,0.224,18.383,254.264
1284,3.821,12.442,1341.2426
1285,0.66,14.011,311.4734
1286,0.32,14.908,181.1631
1287,0.21,16.477,159.55066
1288,0.318,9.528,47.03884
1289,0.237,13.271,95.03117
1290,0.61,13.899,286.047
1291,0.48,8.58,55.2
1292,6.6,13.899,3241.84975
1293,0.37,20.288,527.5978
1294,0.172,17.71,161.45764
1295,0.31,16.87,271.74465
1296,0.74,13.54,314.6517
1297,0.135,16.107,104.88337
1298,2.84,13.451,1172.7927
1299,0.16,17.598,149.3801
1300,1.5,10.985,344.52772
1301,1.6,12.285,508.528
1302,0.082,20.961,247.9074
1303,0.33,14.617,178.30263
1304,0.16,16.814,133.4886
1306,0.54,7.062,32.10083
1307,0.44,14.123,209.13214
1308,1.96,12.644,676.9779
1309,1.42,13.473,594.3421
1310,6.9,11.209,1652.716
1311,2.2,12.812,791.3967
1312,0.284,12.218,88.35674
1313,0.572,13.675,394.1092
1314,0.28,15.468,174.8065
1315,3.1,11.994,886.7457
1316,0.64,11.19,182.43442
1317,1.3,5.717,40.68224
1318,0.15,17.374,123.9537
1319,0.250651,13.305,100.43378
1320,8.54,11.994,2688.8418
1321,0.263,15.805,171.6282
1322,0.255,13.9,124.58874
1323,0.831,8.474,91.21675
1324,0.263,12.498,87.40325
1325,1.6,10.088,282.8687
1326,0.95,9.528,139.8452
1327,0.31,17.15,266.9772
1328,1.98,13.563,854.9627
1329,1.1,16.141,775.5052
1330,2.25,15.468,2809.6172
1331,0.31,8.967,37.18611
1332,1.2,12.218,387.7526
1333,0.773,15.468,479.9233
1334,1.16,14.572,603.877
1335,0.88,13.563,368.6828
1337,0.84,10.05,130.3103
1338,0.2,13.675,85.8141
1339,2.34,9.976,390.9309
1340,0.222,13.675,114.4188
1341,1.6,10.424,317.83
1342,0.097,14.695,52.3466
1343,0.427,9.38,64.2
1344,0.41,10.435,90.3
1345,0.43,13.899,190.698
1346,0.521,14.773,285.72917
1347,0.266,19.649,367.72747
1348,2.0,16.511,1541.4755
1349,0.267,21.712,465.62095
1350,0.7,15.693,390.9309
1351,0.233,16.141,163.36462
1352,0.3445,11.882,95.349
1353,0.97,15.009,562.24127
1354,0.228,15.793,150.96925
1355,0.333,13.877,162.09249
1356,0.632,12.442,251.0857
1357,0.275,13.2,115.0
1358,0.134,10.536,30.5
1359,1.86,11.433,514.8846
1360,2.65,10.761,572.094
1361,1.074,12.745,404.263
1362,0.55,17.127,473.547
1363,0.24,16.029,162.0933
1364,0.53,14.908,400.4658
1365,4.14,12.106,1001.12
1366,0.348,16.623,271.415
1367,10.3,12.4,3559.696
1368,0.446,14.0,222.481
1369,0.469,8.74,57.0
1370,0.701,6.41,33.6
1371,0.84,5.59,26.7
1372,0.38,10.27,74.9
1373,2.49,13.1,1017.056
1376,15.4,12.2,5085.28
1377,14.1,12.3,4767.45
1378,13.1,12.3,4449.62
1379,0.87,13.7,407.0
1380,1.31,13.384,568.9157
1381,0.099,18.046,247.9074
1382,0.994,14.975,607.03
1383,0.884,15.244,473.5667
1384,0.712,12.666,266.9772
1385,5.42,1.04,1.11
1386,5.44,1.02,1.05
1387,5.59,12.33,1906.98
1388,13.1,12.3,4449.62
1389,9.87,12.4,3426.2074
1390,4.5,12.8,1716.282
1391,2.66,13.1,1086.9786
1392,0.295,12.5,104.88337
1393,8.94,12.5,3178.0
1394,1.86,13.3,794.5
1395,5.2,12.7,1938.763
1396,4.16278,0.755,0.326
1397,5.055986,1.129,1.321
1398,5.022904,1.045,1.039
1399,4.901605,0.92,0.692
1400,4.366784,0.788,0.388
1401,5.463993,1.097,1.308
1402,5.441939,1.116,1.374
1403,10.4,12.4,3591.461
1404,2.34,2.765,9.1
1405,0.35,9.55,55.30242
1408,0.515,13.126,211.99261
1409,0.962,11.994,301.9385
1410,5.2,3.444,39.09
1412,3.06,2.587,9.6
1413,5.02,1.704,4.53
1414,5.77,1.27,2.15
1415,4.03,2.926,18.467
1416,0.662,6.71,36.4
1417,3.5,2.02,5.3
1418,3.4,1.85,4.0
1419,2.82,2.63,9.32
1420,4.51,2.28,9.79
1421,2.42,2.474,6.68
1422,2.16,2.701,7.76
1423,3.1,2.049,4.85
1424,5.19,0.953,0.818
1425,5.56,1.073,1.25
1426,2.27,2.6,7.27
1427,5.07,0.914,0.704
1428,0.957,13.115,392.83788
1429,0.91,5.25,23.6
1430,0.195,19.851,279.6904
1431,6.58,11.882,2011.8639
1432,1.41,3.76,13.6
1433,1.7,11.433,464.98529
1434,1.3,2.32,3.0
1435,4.6,2.67,16.0
1436,4.1,2.53,11.95
1437,1.3,2.878,5.4
1438,3.0,1.423,1.59
1439,5.74,12.229,1910.14873
1440,3.5,12.173,1147.36055
1441,1.6,11.31,419.5335
1442,3.14,2.03,4.78
1443,5.03,0.903,0.674
1445,1.72,5.82,61.5
1446,0.93,9.303,127.13136
1447,0.916,5.22,23.7
1449,0.889,5.351,24.8
1450,3.39,11.882,1036.12061
1451,1.3,3.99,15.05
1452,0.711,6.35,33.12
1453,3.03,2.09,5.03
1454,4.89,1.166,1.42
1455,1.96,11.097,486.2799
1456,2.09,12.442,734.18362
1457,0.791,10.536,168.44906
1458,2.06,12.53,732.0
1459,1.27,4.07,15.6
1460,1.81,3.1,9.8
1461,3.4,1.91,4.31
1462,2.05,2.82,8.35
1463,0.595,13.26,252.35576
1464,2.5,2.415,6.41
1465,2.72,2.266,5.76
1466,0.165,16.813,143.02278
1467,1.36,3.29,9.9
1468,4.7,1.49,2.83
1469,8.0,1.28,3.07
1470,0.685,5.09,16.42
1471,2.05,2.68,7.17
1472,0.32,13.305,136.66622
1473,1.01,13.574,457.67291
1474,2.12,2.74,7.95
1475,3.9,1.72,3.61
1476,0.57,13.047,232.01474
1477,0.165,12.274,55.61997
1478,0.243,14.28,129.03833
1479,0.424,6.0,16.5
1480,0.85,13.137,352.78953
1481,0.289,18.495,330.54154
1482,0.27,12.0,85.3
1483,0.85,11.321,222.47988
1484,0.89,12.599,324.18498
1485,0.76,13.081,311.47184
1486,0.8,8.295,82.63539
1487,0.065,23.539,375.03752
1488,1.6,12.229,530.77344
1489,4.19,12.801,1598.35906
1490,1.82,12.98,721.47048
1491,0.78,11.4,211.35589
1492,0.245,16.432,197.05361
1493,1.28,13.159,533.95172
1494,0.304,12.845,117.59651
1495,0.34,15.278,225.65817
1496,0.287,18.114,309.8827
1497,0.15,17.262,139.8445
1498,2.22,2.65,7.51
1499,2.72,2.133,4.78
1500,2.6,2.355,6.15
1501,4.97,1.206,1.58
1502,2.28,2.77,8.8
1503,0.139,19.728,193.87533
1504,0.216,12.072,69.28659
1505,0.144,14.46,79.4571
1506,0.563,13.641,260.61929
1507,0.65,7.163,43.86032
1508,0.269,10.929,63.88351
1509,2.11,2.75,8.0
1510,1.11,10.133,208.81326
1511,0.225,8.676,26.69759
1513,5.91,1.25,2.1
1514,3.67,1.8,3.89
1515,0.52,10.368,105.83686
1516,4.01,1.68,3.46
1517,1.94,2.94,8.96
1518,4.91,1.44,2.67
1519,0.61,8.608,71.51139
1520,2.72,10.088,508.52545
1522,4.21,1.62,3.26
1523,2.84,2.194,5.45
1524,0.93,14.37,502.16888
1525,0.8,11.153,203.41018
1526,0.268,13.4,117.27868
1527,1.18,11.321,310.83618
1528,2.73,3.03,13.8
1529,3.31,3.51,26.0
1530,0.06,19.84,298.7587
1531,0.76,11.4,206.58846
1532,3.32,11.321,875.61726
1533,0.34,8.0,18.75188
1534,0.76,10.1,177.98391
1535,1.14,10.761,260.61929
1536,3.34,2.19,6.37
1537,2.55,15.098,1595.4986
1538,3.12,2.04,4.82
1539,1.71,3.232,10.5
1540,1.54,3.497,12.0
1541,2.37,2.518,6.89
1542,5.6,1.3,2.24
1543,2.26,2.61,7.32
1544,0.955,16.141,731.00534
1545,3.9,12.52,1398.44499
1546,0.509,11.299,133.4886
1547,1.28,13.978,638.8351
1548,0.54,12.89,209.7678
1549,5.55,1.31,2.27
1550,0.252,11.657,68.01528
1551,2.0,12.778,731.00534
1552,5.52,1.258,2.57
1553,0.28,16.141,222.47988
1554,0.915,2.87,3.94
1555,3.6,2.287,7.72
1556,1.98,2.207,3.86
1557,0.976,2.572,3.01
1558,5.62,1.669,4.77
1559,5.4,1.152,1.5
1560,1.91,3.14,10.8
1564,1.14,5.05,26.78
1565,7.53,10.817,1722.6386
1566,0.94,5.34,28.3
1567,9.44,3.09,48.8
1568,5.0,1.9,6.36
1569,0.698,13.8,333.71983
1570,0.89,5.44,26.1
1571,5.04,1.41,2.57
1572,0.76,12.173,251.40353
1573,4.21,1.7,3.78
1574,0.81,11.063,200.2319
1575,8.6,2.06,41.31769
1576,0.357,14.1,182.11568
1577,4.7,1.79,4.91
1578,0.49,16.69,387.7526
1579,0.64,13.888,314.6517
1580,0.686,14.415,375.0394
1582,1.56,15.244,1004.33777
1583,1.68,14.067,797.7533
1584,0.88,11.882,270.47333
1585,4.15,2.064,6.64
1586,8.41,1.28,3.21
1587,5.6,1.672,4.82
1588,1.57,3.46,11.8
1589,7.8,1.397,3.87
1590,5.87,1.17,1.71
1591,1.17,16.701,991.62463
1592,0.795,3.96,9.0
1593,5.29,1.36,2.42
1594,0.56,6.85,33.0
1595,1.08,15.648,753.2571
1596,3.08,3.42,22.4
1597,0.743,9.427,113.14691
1598,0.198,13.798,94.71287
1599,0.347,11.0,84.0
1600,1.3,5.24,42.0
1601,18.0,12.218,5879.82553
1602,0.84,5.59,26.7
1603,1.9,4.14,24.6
1604,0.71,9.1,96.4
1605,3.18,1.56,2.2
1606,5.57,2.37,13.5
1607,2.14,3.12,11.84
1608,3.45,2.76,13.2
1609,3.35,2.41,8.56
1610,0.513,11.456,140.16233
1611,2.98,2.93,13.6
1612,1.73,2.759,6.63
1613,2.57,2.726,9.5
1614,1.51,3.78,14.8
1615,0.7,3.51,5.3
1616,3.21,2.51,8.8
1617,1.63,3.01,8.1
1618,6.7,1.694,5.9
1619,1.74,3.65,15.4
1620,0.417,9.572,66.5
1621,2.14,2.72,7.85
1622,2.45,2.415,6.28
1623,0.666,14.572,375.03752
1624,2.35,2.53,6.94
1625,1.35,3.88,14.3
1626,2.23,2.639,7.46
1627,1.07,4.627,19.3
1628,1.99,2.879,8.64
1629,3.42,1.9,4.27
1630,0.38,16.814,309.56642
1631,1.46,3.65,12.9
1632,1.89,14.572,1064.72516
1633,9.32,1.791,9.95
1634,0.771906,2.651,2.5
1635,4.30062,2.587,13.5
1636,1.8,3.1,9.78
1637,4.85,2.265,10.15
1638,0.25,16.701,212.94503
1639,1.847,12.52,617.22586
1640,3.64,11.25,942.0
1641,1.05,4.72,20.0
1642,1.18,13.5,527.5978
1643,8.87,9.079,1207.7
1644,8.34,12.666,3082.82
1645,12.2,12.3,4131.62
1646,3.59,1.83,4.0
1647,3.81,14.011,1906.98
1648,5.63,1.11,1.4
1649,3.34,13.0,1334.886
1650,8.05,12.5,2860.0
1651,15.4,12.2,5085.0
1652,1.43,11.31,378.2177
1653,0.216,14.404,117.91493
1654,0.502,19.055,597.5204
1655,0.692,11.904,212.31044
1656,3.95,12.408,1373.0256
1657,5.1,12.722,1938.763
1658,4.0,12.285,1369.8473
1659,1.573,14.056,792.635
1660,0.248,17.295,233.92288
1661,1.076,12.812,411.27202
1662,5.38,1.03,1.07
1663,6.8,12.6,2475.8957
1664,1.36,13.4,597.5204
1665,0.329,14.2,171.6282
1666,1.84,13.9,252.64307
1668,1.86,13.3,794.575
1669,3.67,1.8,3.9
1670,3.39,1.91,4.3
1671,2.85,0.338,0.02
1672,5.96,1.22,1.97
1673,3.44,10.548,734.16
1676,0.292,22.866,635.66
1677,0.185,30.488,953.49
1678,13.1,12.3,4449.62
1679,1.25,18.046,1430.175
1680,0.68,15.278,441.77
1681,0.42,15.244,327.351
1682,0.41,12.666,320.995
1683,0.85,13.45,375.02
1684,1.2,12.251,400.449
1685,0.65,11.422,174.799
1686,0.4,14.011,197.046
1687,0.651,6.79,37.1
1688,1.63,13.3,699.2225
1689,5.19,1.38,2.48
1690,5.12,1.39,2.5
1691,13.3,12.3,4513.16338
1692,9.14,12.5,3248.20632
1693,2.66,13.1,1090.15144
1694,2.53,13.1,1036.12061
1695,0.311,14.2,162.09249
1696,5.3,12.7,1976.89269
1697,3.58,12.9,1400.0
1698,0.481,14.0,240.0
1699,0.412,14.1,210.0
1700,2.04,2.83,8.4
1701,2.13,13.2,890.0
1702,1.27,13.5,570.0
1703,2.51,2.41,6.4
1704,0.93,13.6,425.89007
1705,3.84,12.9,1500.0
1706,3.61,1.82,3.96
1707,1.38,3.81,13.93
1708,0.3,12.3,101.70509
1709,2.57,2.37,6.228
1710,1.04,4.73,20.1
1711,1.23,4.18,16.3
1712,2.51,2.41,6.4
1713,2.91,2.15,5.27
1714,1.33,3.92,14.62011
1715,0.481,14.0,240.0
1716,3.33,1.94,4.43
1717,10.3,12.4,3585.0
1718,1.13,13.5,505.0
1719,2.35,13.1,959.84179
1720,4.61,12.8,1760.0
1721,0.307,14.2,160.0
1722,1.93,2.95,9.0
1723,0.249,14.2,130.0
1724,0.254,14.0,127.0
1725,4.23,1.62,3.269
1726,0.512,13.9,250.0
1727,5.75,1.11,1.43
1728,12.6,12.3,4253.0
1729,0.452,14.0,225.65817
1730,0.263,14.3,140.0
1731,3.33,13.0,1330.0
1732,3.25,13.0,1300.0
1733,0.259,14.3,138.0
1734,1.14,4.42,17.9
1735,1.93,13.2,807.0
1736,1.01,4.86,21.0
1737,2.69,13.1,1100.0
1738,0.461,14.0,230.0
1739,0.345,14.2,180.0
1740,0.346,11.0,83.7
1741,0.479,8.59,55.3
1742,2.93,13.0,1169.60854
1743,0.355,14.1,181.16219
1744,0.307,14.2,160.0
1745,2.05,13.2,860.0
1746,0.392,14.1,200.0
1747,8.5,12.5,3020.0
1748,5.84,1.16,1.66
1749,0.324,11.6,92.0
1750,12.1,12.3,4100.0
1751,0.681,6.56,35.0
1752,0.494,8.39,53.1
1753,0.282,14.3,150.0
1754,0.262,13.6,120.0
1755,2.07,13.2,868.0
1756,1.34,13.4,588.0
1757,0.552,13.9,270.0
1758,0.551,7.72,46.1
1759,0.573,13.9,280.0
1760,0.326,14.2,170.0
1761,0.451,9.01,60.0
1762,3.84,12.9,1500.0
1763,0.469,8.74,57.0
1764,1.05,4.72,20.0
1765,0.359,10.7,80.0
1766,0.271,14.3,144.0
1767,0.346,11.1,86.0
1768,0.463,14.0,231.0
1769,2.8,2.21,5.5
1770,1.37,3.84,14.1
1771,3.0,13.0,1200.0
1772,1.98,13.2,830.0
1773,4.61,12.8,1760.7782
1774,1.71,13.3,730.978
1775,13.3,12.3,4497.2945
1776,1.71,13.3,731.0
1777,6.4,12.6,2329.6
1778,2.93,11.994,921.707
1779,0.89,12.218,295.5819
1780,0.711,14.863,425.57437
1781,0.194,12.733,72.78307
1782,3.45,3.18,20.6
1783,0.31,16.589,756.4354
1784,0.74,11.467,203.09235
1785,0.36,13.608,165.27077
1786,0.374,14.202,194.82881
1787,1.25,14.908,750.07504
1788,3.02,11.994,947.12865
1789,0.226,17.878,235.1942
1790,0.28,13.563,129.99182
1791,0.5,13.899,242.8209
1792,0.38,14.572,211.99155
1793,0.74,12.33,238.68913
1794,1.395,4.977,29.24036
1795,4.02,12.801,1538.2972
1796,0.223,11.747,66.10864
1797,0.78,9.158,109.33352
1798,1.43,13.507,687.14846
1799,0.42,14.908,258.07796
1800,0.275,14.3,146.2018
1801,0.255,14.0,127.132
1802,0.3,12.3,101.7056
1803,1.62,13.3,692.8694
1804,5.7,12.7,2126.2827
1805,24.0,12.0,7532.571
1806,0.372,14.1,190.0
1807,3.0,13.0,1200.0
1808,1.62,3.37,11.3
1809,17.3,12.2,5720.91133
1810,0.392,14.1,200.0
1811,2.13,13.2,890.0
1812,0.7,6.42,33.7
1813,4.19,1.62,3.24
1814,2.08,13.2,871.0
1815,2.41,2.48,6.7
1816,7.42,12.6,2700.0
1817,10.6,12.4,3690.0
1818,3.84,12.9,1500.0
1819,1.14,4.43,18.0
1820,1.18,4.29,17.0
1821,0.767,5.99,30.0
1822,1.05,13.6,480.0
1823,0.346,11.1,86.0
1824,1.89,2.99,9.2
1825,0.326,14.2,170.0
1826,10.1,12.4,3500.0
1827,1.98,13.2,830.0
1828,0.413,9.64,67.3
1829,1.73,3.21,10.4
1830,3.25,13.0,1300.0
1831,0.925,5.18,23.4
1832,1.21,13.5,540.30829
1833,4.19,1.63,3.3
1834,1.07,17.15,985.273
1835,1.5,17.901,1175.971
1836,1.4,9.976,257.431
1839,1.536,4.72,29.32
1840,3.9,2.3,8.6
1841,6.1,1.332,2.62
1842,5.57,1.147,1.54
1843,7.1,1.305,2.87
1844,1.43,3.71,13.3
1847,2.65,2.31,5.95
1848,5.71,1.12,1.46
1849,1.7,4.7,30.8
1850,5.59,1.303,2.25
1852,10.6,0.982,1.4
1853,6.0,0.696,0.35
1854,6.67,1.242,2.33
1855,6.07,1.169,1.76
1856,8.04,1.635,6.38
1857,4.43,1.56,3.06
1858,2.95,1.521,1.94
1859,4.57,1.385,2.22
1860,3.6,0.85,0.4
1861,3.21,2.0,4.67
1862,9.6,1.39,4.6
1863,2.61,2.34,6.08
1864,2.64,2.32,5.99
1865,5.29,1.36,2.42
1866,3.24,1.98,4.58
1867,2.16,2.7,7.75
1868,4.28,1.6,3.19
1869,1.91,2.97,9.11
1870,4.21,1.62,3.26
1871,2.34,2.54,6.99
1872,4.54,1.53,2.96
1873,2.27,2.6,7.27
1874,10.9,1.48,6.15
