,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
1987,1.592851,0.0273,1.64,3.33,4.15,0.0,2026.0,5.54,5777.0,1.02,1.07,0.12,628.257,3.0,1339.66,4.49,1.0
1988,38.9853,0.227,8.08,29.9,0.31,0.06691,523.0,49.8,5774.0,0.96,1.02,0.05,628.257,3.0,18.9,4.49,2.0
1989,19.23891,0.143,8.29,43.4,0.42,0.0609,661.0,31.3,5774.0,0.96,1.02,0.05,628.257,3.0,48.23,4.49,2.0
1990,19.17891293,0.1392,2.68,7.65,2.18,0.0,640.0,29.2,5595.0,0.91,0.93,-0.06,1246.43,1.0,62.2,4.49,4.07
1991,5.8706191,0.0545,1.49,2.83,4.7,0.0,616.0,13.88,4223.0,0.62,0.65,-0.06,484.891,1.0,37.11,4.66,3.98
1992,8.0472642,0.077,2.39,6.3,2.54,0.0,855.0,7.48,5839.0,1.04,1.03,0.04,1519.25,1.0,354.22,4.41,4.37
1993,144.547396,0.5164,2.53,6.94,2.35,0.0,303.0,48.4,5262.0,0.81,0.84,-0.1,2334.93,1.0,1.99,4.56,5.01
1994,2.80624233,0.0328,1.54,2.99,4.5,0.0,771.0,13.469,4315.0,0.61,0.65,-0.16,540.134,1.0,106.58,4.67,2.63
1995,9.803224,0.0916,2.78,8.15,2.08,0.0,896.0,13.21,5603.0,0.85,0.87,-0.25,1162.91,1.0,119.88,4.53,4.27
1996,6.33855761,0.0699,3.03,9.43,1.86,0.0,1034.0,7.3,5820.0,0.99,1.0,-0.03,1285.59,1.0,266.27,4.45,3.8
1997,13.7521072,0.1015,2.81,8.3,2.06,0.0,556.0,17.4,4747.0,0.72,0.75,-0.04,570.727,1.0,18.2,4.61,5.01
1998,53.44945593,0.2881,6.41,33.6,0.701,0.0,486.0,80.697,5887.0,1.07,1.06,0.09,2340.58,1.0,44.33,4.41,3.55
1999,52.75875577,0.2944,8.89,58.6,0.458,0.0,540.0,65.231,5954.0,1.13,1.09,0.09,1712.12,1.0,30.23,4.37,3.63
2000,3.744439,0.0492,1.09,1.32,5.6,0.0,1328.0,9.75,5961.0,1.25,1.14,0.19,598.313,1.0,954.59,4.3,3.98
2001,70.6979061,0.328,1.76,3.75,3.78,0.0,417.0,82.82,5875.0,0.9,0.97,-0.21,420.817,1.0,7.85,4.52,1.48
2002,7.63846023,0.0797,1.13,1.51,5.75,0.0,1089.0,14.54,6194.0,1.29,1.19,0.08,886.588,2.0,407.98,4.29,3.09
2003,20.42228798,0.1536,1.84,4.04,3.56,0.0,785.0,25.49,6194.0,1.29,1.19,0.08,886.588,2.0,109.84,4.29,3.09
2004,6.24146367,0.067,1.52,2.92,4.57,0.0,1111.0,15.566,6098.0,1.16,1.1,-0.01,711.297,1.0,231.43,4.35,3.39
2005,18.11472949,0.1432,2.5,6.8,2.39,0.0,830.0,19.0,6187.0,1.35,1.21,0.11,651.318,1.0,124.65,4.26,3.16
2006,5.69919514,0.0622,1.23,2.04,6.02,0.0,964.0,18.429,5715.0,0.94,1.0,0.05,476.733,1.0,204.18,4.49,2.45
2007,12.98495573,0.1055,1.78,3.82,3.72,0.0,818.0,29.15,6116.0,1.09,1.06,-0.13,627.455,1.0,163.05,4.4,3.02
2008,3.98953967,0.0449,1.23,2.04,6.02,0.0,903.0,19.33,5476.0,0.87,0.9,-0.03,504.605,1.0,259.03,4.52,4.57
2009,4.44448017,0.0552,1.78,3.82,3.72,0.0,1217.0,3.62,5961.0,1.09,1.06,0.0,1375.18,1.0,538.57,4.39,3.8
2010,7.71468975,0.0915,2.66,7.56,2.21,0.0,1622.0,13.917,6761.0,1.74,1.46,0.03,601.324,1.0,586.17,4.12,1.66
2012,33.3855938,0.2012,2.57,7.13,2.31,0.0,580.0,39.8,5792.0,1.02,1.02,0.05,802.672,1.0,29.13,4.42,4.27
2013,25.9422033,0.165,1.93,4.38,3.35,0.0,501.0,49.72,5044.0,0.77,0.81,-0.03,791.625,1.0,27.01,4.58,4.57
2014,18.45847097,0.1301,2.12,5.14,2.96,0.0,632.0,25.0,5261.0,0.81,0.85,-0.06,602.176,1.0,37.81,4.56,4.57
2015,5.14438011,0.0549,1.43,2.63,4.94,0.0,923.0,14.6,5060.0,0.77,0.81,-0.03,820.913,1.0,152.75,4.58,5.25
2016,27.5073799,0.1771,2.9,8.75,1.97,0.0,569.0,38.9,5958.0,1.11,1.06,0.03,1242.62,1.0,41.43,4.38,3.39
2017,40.0686727,0.2234,3.94,14.7,1.32,0.0,560.0,53.46,6020.0,1.13,1.09,0.03,1082.16,1.0,31.62,4.37,3.31
2018,20.5533844,0.1542,3.75,13.5,1.41,0.0,749.0,23.8,6163.0,1.27,1.18,0.07,1182.22,1.0,68.02,4.29,2.95
2019,2.57885507,0.0362,1.99,4.62,3.22,0.0,1230.0,8.556,5902.0,1.08,1.05,0.04,879.683,1.0,553.06,4.4,4.17
2020,22.0459018,0.1572,3.74,13.5,1.42,0.0,640.0,14.1,5993.0,1.14,1.11,0.09,1976.05,1.0,79.72,4.37,3.47
2021,21.3587621,0.1539,2.78,8.15,2.08,0.0,691.0,28.56,5857.0,1.02,1.01,-0.01,1259.46,1.0,54.87,4.43,3.8
2022,191.2318,0.676,6.14,6.4,0.152,0.039,403.0,80.7,5600.0,1.82,1.1,-0.17,1232.9,2.0,4.66,3.96,7.5
2023,114.73635,0.481,13.49,324.2,0.729,0.036,478.0,57.4,5600.0,1.82,1.1,-0.17,1232.9,2.0,9.2,3.96,7.5
2024,40.4287755,0.2244,3.61,12.7,1.48,0.0,494.0,22.5,5664.0,0.95,0.97,0.02,939.455,1.0,17.23,4.47,4.79
2025,5.03251791,0.0575,2.05,4.86,3.1,0.0,1047.0,3.19,5614.0,0.89,0.93,-0.08,1593.13,1.0,417.03,4.51,3.89
2026,150.242127,0.5375,4.64,19.4,1.07,0.0,327.0,104.3,5541.0,0.91,0.92,-0.02,1195.54,1.0,2.72,4.49,5.89
2027,2.61703254,0.0331,1.63,3.29,4.17,0.0,996.0,9.88,4751.0,0.71,0.75,-0.07,646.667,1.0,196.13,4.62,4.27
2028,14.16399294,0.1057,2.49,6.76,2.41,0.0,694.0,25.755,5570.0,0.92,0.93,-0.01,586.137,1.0,46.36,4.49,4.27
2029,5.83376092,0.0687,2.4,6.35,2.52,0.0,1143.0,11.41,5754.0,1.0,1.0,0.04,2022.9,1.0,464.76,4.44,4.68
2030,15.59461874,0.122,2.9,8.75,1.97,0.0,718.0,23.42,5678.0,0.95,0.96,-0.03,1499.66,1.0,117.83,4.46,3.8
2031,3.14866453,0.039,2.21,5.52,2.81,0.0,1097.0,9.35,5333.0,0.84,0.88,0.04,1039.03,1.0,547.29,4.54,4.79
2032,3.94963138,0.0463,2.28,5.82,2.7,0.0,966.0,19.966,5047.0,0.78,0.82,0.01,850.327,1.0,197.29,4.58,4.47
2033,5.10137945,0.058,3.24,10.6,1.71,0.0,1050.0,15.4354,5836.0,1.06,1.04,0.09,1056.36,1.0,233.62,4.4,4.27
2034,20.38177573,0.1345,3.09,9.75,1.82,0.0,528.0,43.13,5020.0,0.77,0.81,-0.02,839.903,1.0,14.9,4.59,4.57
2035,76.13602028,0.3403,4.87,21.1,1.0,0.0,399.0,76.789,5653.0,0.91,0.96,-0.04,298.532,1.0,6.34,4.5,3.39
2036,85.35129427,0.3751,6.8,37.2,0.65,0.0,390.0,102.4237,5773.0,0.99,0.99,0.02,983.502,1.0,5.75,4.45,4.27
2037,8.02768059,0.0787,9.3,63.3,0.432,0.0,824.0,18.28,5535.0,0.93,0.96,0.12,1351.17,1.0,153.5,4.49,4.27
2038,7.8866311,0.0762,8.35,52.7,0.497,0.0,996.0,12.4195,5835.0,1.03,1.03,0.06,1506.58,1.0,405.18,4.42,4.17
2039,7.16892463,0.0779,1.69,3.5,3.98,0.0,1187.0,11.1,6350.0,1.55,1.3,0.07,568.676,1.0,499.3,4.17,2.69
2040,44.9309804,0.2654,2.54,6.99,2.34,0.0,565.0,24.1,6100.0,1.16,1.19,0.22,1619.03,1.0,92.13,4.38,1.48
2041,8.50699658,0.0802,1.68,3.46,4.01,0.0,900.0,13.46,5455.0,0.85,0.89,-0.07,839.255,1.0,103.83,4.53,4.47
2042,7.19303878,0.0744,1.78,3.82,3.72,0.0,995.0,16.25,5932.0,1.09,1.06,0.03,1661.28,1.0,329.28,4.39,3.89
2043,25.216751,0.163,1.27,0.6,1.6,0.0,559.0,15.44,5436.0,0.89,0.92,0.0,765.025,4.0,24.32,4.49,4.37
2044,17.91323,0.13,1.2,1.87,5.95,0.0,626.0,12.29,5436.0,0.89,0.87,-0.02,765.025,4.0,38.39,4.49,0.6
2045,12.513,0.1007,2.18,20.9,11.1,0.0,706.0,9.67,5499.0,1.24,0.92,0.0,765.025,4.0,61.93,4.22,4.37
2046,8.306,0.0766,1.97,4.54,3.26,0.0,809.0,7.36,5499.0,1.24,0.92,0.0,765.025,4.0,107.03,4.22,4.37
2047,394.6244904,1.1088,7.14,40.4,0.61,0.0,325.0,92.98,6059.0,1.64,1.23,0.12,822.134,1.0,3.12,4.1,3.98
2048,6.91134416,0.072,1.7,3.53,3.95,0.0,1086.0,9.13,5695.0,1.2,1.01,0.15,1378.47,1.0,794.78,4.28,8.32
2049,2.3432319,0.0315,1.18,1.76,5.89,0.0,1054.0,8.893,4940.0,0.77,0.83,0.15,513.103,1.0,292.31,4.58,3.89
2050,19.80792185,0.1399,2.48,6.71,2.42,0.0,624.0,43.23,5579.0,0.91,0.94,0.0,1127.12,1.0,35.28,4.5,4.37
2051,0.92785982,0.017,2.04,4.82,3.12,0.0,1361.0,2.94,4913.0,0.75,0.79,0.01,431.051,1.0,772.5,4.59,4.79
2052,2.61302086,0.0298,1.68,3.46,4.01,0.0,713.0,5.28,4128.0,0.57,0.59,-0.24,431.776,1.0,89.65,4.7,3.8
2053,2.05387982,0.0313,2.59,7.22,2.28,0.0,1523.0,7.369,5830.0,1.03,1.02,0.05,1165.66,1.0,890.33,4.42,4.17
2054,1.21956827,0.0204,1.6,3.19,4.28,0.0,1252.0,6.075,4848.0,0.73,0.78,-0.02,532.726,1.0,588.95,4.6,4.37
2055,124.4198398,0.479,5.23,23.8,0.914,0.0,416.0,270.02,5324.0,0.81,0.85,-0.09,998.961,1.0,1.65,4.56,4.47
2056,44.552169,0.25,2.2,5.48,2.83,0.0,572.0,43.0,6031.0,1.17,1.06,-0.07,1023.9,5.0,25.3,4.32,3.98
2057,27.434389,0.181,2.6,7.27,2.27,0.0,672.0,41.83,6031.0,1.17,1.06,-0.07,1023.9,5.0,48.29,4.32,3.98
2058,4.224537,0.052,1.38,2.48,5.19,0.0,1254.0,10.448,6031.0,1.17,1.06,-0.07,1023.9,5.0,584.24,4.32,3.98
2059,12.883,0.1072,2.36,20.2,8.44,0.0,865.0,6.24,6039.0,1.43,1.0,-0.07,1023.9,5.0,132.23,4.13,3.98
2060,8.726,0.0827,2.23,40.0,19.8,0.0,985.0,5.93,6039.0,1.43,1.0,-0.07,1023.9,5.0,222.19,4.13,3.98
2061,37.8144514,0.2341,2.57,7.13,2.31,0.0,626.0,34.29,6058.0,1.31,1.22,0.29,944.561,1.0,46.3,4.29,2.82
2062,15.74957994,0.1266,2.73,7.9,2.13,0.0,777.0,20.8,5770.0,0.96,0.98,-0.06,1104.04,1.0,61.09,4.46,4.17
2063,16.56059504,0.1144,2.56,7.08,2.32,0.0,701.0,16.3,5403.0,0.81,0.85,-0.18,901.907,1.0,55.97,4.56,3.98
2064,11.36112327,0.1013,2.73,7.9,2.13,0.0,869.0,11.5,5895.0,1.04,1.03,-0.01,980.035,1.0,135.8,4.41,4.27
2065,11.41909375,0.107,2.79,8.2,2.07,0.0,921.0,6.79,5954.0,1.11,1.08,0.08,2406.33,1.0,170.33,4.38,3.63
2066,13.32388301,0.0862,2.02,4.74,3.16,0.0,378.0,32.33,4554.0,0.66,0.7,-0.13,633.937,1.0,11.85,4.64,2.69
2067,18.7546998,0.1139,2.02,4.74,3.16,0.0,382.0,48.55,4339.0,0.62,0.64,-0.18,467.37,1.0,8.31,4.67,3.72
2068,7.1396941,0.075,2.06,4.9,3.08,0.0,965.0,14.179,5596.0,0.9,0.92,-0.08,1688.12,1.0,256.83,4.5,4.37
2069,5.62153941,0.0603,1.27,2.15,5.77,0.0,992.0,18.335,5732.0,0.97,0.99,0.02,593.54,1.0,266.25,4.46,4.17
2070,11.29695137,0.1033,1.7,3.53,3.95,0.0,907.0,9.9,6037.0,1.11,1.07,-0.02,1122.0,1.0,160.18,4.38,3.47
2071,5.169796,0.051,1.94,24.6,18.5,0.0,569.0,17.77,4648.0,0.59,0.58,-0.2,400.409,3.0,28.81,4.72,3.09
2072,20.09,0.11796,2.36,11.4,4.77,0.0,362.0,43.34,4082.0,0.61,0.66,-0.2,400.409,3.0,5.9,4.69,3.09
2073,9.77,0.07295,2.83,42.1,10.2,0.0,460.0,31.38,4082.0,0.61,0.66,-0.2,400.409,3.0,15.41,4.69,3.09
2074,6.88337562,0.0678,2.11,5.1,2.98,0.0,857.0,23.559,5698.0,0.97,0.98,0.03,1073.76,1.0,247.47,4.46,4.68
2075,0.56785714,0.0125,1.51,2.89,4.61,0.0,1848.0,4.126,5039.0,0.77,0.81,-0.02,575.322,1.0,1835.16,4.58,4.57
2076,51.92927591,0.2742,5.63,27.0,0.831,0.0,574.0,77.98,5602.0,0.91,0.93,-0.06,2046.68,1.0,23.6,4.5,4.37
2077,4.48758907,0.0528,1.25,2.1,5.91,0.0,1305.0,12.25,6079.0,1.15,1.05,-0.12,779.596,1.0,827.22,4.34,4.37
2078,8.1818246,0.0759,1.84,4.04,3.56,0.0,981.0,25.74,5976.0,1.08,1.03,-0.08,807.85,2.0,261.63,4.39,3.55
2079,3.77360059,0.0453,1.53,2.96,4.54,0.0,1270.0,10.87,5976.0,1.08,1.03,-0.08,807.85,2.0,734.46,4.39,3.55
2080,4.51436633,0.055,1.87,4.16,3.5,0.0,1231.0,11.56,6035.0,1.22,1.15,0.14,1201.4,1.0,454.6,4.32,3.31
2081,4.16809082,0.0507,1.57,3.09,4.39,0.0,1277.0,11.831,5643.0,0.96,0.98,0.06,1389.27,1.0,803.35,4.47,4.47
2082,3.22296927,0.0412,1.77,3.78,3.75,0.0,1239.0,8.7562,5928.0,1.08,1.06,0.04,860.391,1.0,535.19,4.4,3.55
2083,1.92279873,0.029,1.31,2.27,5.55,0.0,1215.0,7.723,5191.0,0.8,0.84,-0.03,614.571,1.0,496.82,4.56,4.79
2084,127.8338098,0.5829,6.09,30.8,0.749,0.0,554.0,43.8,6260.0,1.36,1.23,0.09,1387.2,1.0,16.23,4.25,2.63
2086,5.902206,0.063,2.47,6.66,2.43,0.0,926.0,15.26,5428.0,0.95,0.96,0.211,904.326,5.0,144.34,4.47,4.68
2087,2.382961,0.034,1.77,3.78,3.75,0.0,1253.0,8.34,5428.0,0.95,0.96,0.211,904.326,5.0,484.35,4.47,4.68
2088,51.54,0.2626,5.34,13.9,0.494,0.007,450.0,64.7,5529.0,0.9,0.91,0.211,904.326,5.0,8.04,4.49,4.68
2089,26.44,0.1683,4.07,12.15,0.98,0.0033,562.0,41.47,5529.0,0.9,0.91,0.211,904.326,5.0,19.56,4.49,4.68
2090,33.1995648,0.1894,2.76,8.05,2.1,0.0,485.0,52.04,5279.0,0.81,0.86,-0.06,664.306,1.0,9.91,4.55,4.47
2091,10.03538581,0.0886,5.11,22.9,0.943,0.0,786.0,23.567,5638.0,0.92,0.94,-0.08,925.037,1.0,100.78,4.49,3.98
2092,3.99010623,0.0493,9.03,60.2,0.449,0.0,1124.0,9.6,5861.0,1.03,1.03,0.02,1484.46,1.0,550.2,4.42,3.55
2093,10.50682565,0.0895,10.24,74.5,0.381,0.0,668.0,23.8008,5286.0,0.85,0.9,0.16,983.697,1.0,50.56,4.54,4.17
2094,8.57503552,0.0888,4.11,15.8,1.25,0.0,1374.0,7.617,5028.0,3.42,1.25,-0.03,1259.28,1.0,979.14,3.46,4.9
2095,6.1469851,0.0695,2.12,5.14,2.96,0.0,1164.0,14.33,6162.0,1.22,1.15,0.01,2055.77,1.0,935.12,4.33,3.02
2096,19.12947337,0.1439,2.14,5.22,2.93,0.0,817.0,33.6,5743.0,0.93,0.95,-0.13,840.0,1.0,56.04,4.48,3.98
2097,10.11716531,0.1024,3.55,12.3,1.51,0.0,1163.0,8.91,6761.0,1.71,1.45,0.02,1482.74,1.0,421.92,4.13,1.66
2098,23.58447697,0.1583,2.7,7.75,2.16,0.0,730.0,17.1,5747.0,1.24,1.01,0.05,985.041,1.0,78.59,4.25,7.94
2099,4.59725385,0.055,1.93,4.38,3.35,0.0,1105.0,12.27,5803.0,1.04,1.03,0.1,1458.59,1.0,350.6,4.42,4.17
2100,20.837846,0.128,1.21,1.92,5.96,0.0,418.0,26.9,4500.0,0.59,0.65,-0.18,348.291,3.0,7.51,4.7,3.63
2101,12.04,0.08347,2.37,4.3,1.77,0.0,502.0,34.89,4385.0,0.59,0.64,-0.18,348.291,3.0,15.62,4.7,3.63
2102,5.955,0.0522,2.42,17.2,6.67,0.0,635.0,19.882,4385.0,0.59,0.64,-0.18,348.291,3.0,39.95,4.7,3.63
2103,55.63934,0.2901,3.01,9.32,1.88,0.0,478.0,52.5,5734.0,0.98,0.99,0.04,961.405,1.0,13.15,4.45,4.37
2104,0.63133235,0.0116,1.46,2.73,4.82,0.0,1322.0,4.447,4653.0,0.71,0.76,0.05,321.0,1.0,726.72,4.62,1.95
2105,117.93108781,0.4884,10.42,76.8,0.373,0.0,418.0,137.6,5965.0,1.06,1.04,-0.04,1492.95,1.0,7.45,4.41,3.72
2106,8.09219642,0.0764,1.14,1.55,5.75,0.0,1089.0,6.4,5770.0,1.16,0.99,0.0,361.896,1.0,413.6,4.3,7.76
2107,30.8638931,0.1978,2.89,8.7,1.98,0.0,743.0,28.6,6112.0,1.65,1.19,-0.06,638.49,1.0,86.47,4.08,4.27
2108,9.65185017,0.0872,1.14,1.55,5.75,0.0,890.0,17.2,5817.0,1.05,1.01,0.0,649.65,2.0,141.84,4.4,5.25
2109,14.37457351,0.1137,1.94,4.42,3.33,0.0,779.0,23.352,5817.0,1.05,1.01,0.0,649.65,2.0,83.43,4.4,5.25
2110,50.28638192,0.2678,3.79,13.8,1.39,0.0,543.0,61.77,5919.0,1.12,1.05,0.02,639.771,1.0,20.88,4.36,4.9
2111,40.0587473,0.2265,3.54,12.3,1.52,0.0,489.0,22.1,5507.0,0.9,0.93,0.06,780.585,1.0,13.51,4.5,4.68
2112,11.41928253,0.0795,2.0,4.66,3.2,0.0,419.0,21.83,4435.0,0.63,0.67,-0.17,440.426,1.0,14.44,4.66,3.55
2113,14.13176026,0.1106,2.85,8.5,2.02,0.0,675.0,14.7,5315.0,0.82,0.85,-0.09,1019.26,1.0,44.87,4.55,4.68
2115,0.9867873,0.0175,1.21,1.92,5.96,0.0,1054.0,6.493,4540.0,0.68,0.73,0.04,369.451,6.0,750.96,4.64,2.0
2116,4.64489,0.0491,1.6,4.13,3.75,0.0,629.0,17.69,4540.0,0.68,0.73,0.04,369.451,6.0,94.78,4.64,2.0
2117,3.07222,0.0372,1.53,6.75,7.04,0.0,722.0,12.8,4540.0,0.68,0.73,0.04,369.451,6.0,164.62,4.64,2.0
2118,9.52355,0.0792,2.74,6.74,1.22,0.0,495.0,31.94,4540.0,0.68,0.73,0.04,369.451,6.0,36.48,4.64,2.0
2119,7.05246,0.0648,2.67,6.93,1.38,0.0,547.0,22.94,4540.0,0.68,0.73,0.04,369.451,6.0,54.38,4.64,2.0
2120,3.5224991,0.0474,15.872,187.5197,0.27,0.0,1680.0,6.854,6213.0,1.49,1.21,-0.055,1021.87,1.0,1444.88,4.17,3.47
2121,15.19419956,0.1214,2.781,8.15,2.08,0.0,893.0,17.3,5588.0,1.59,1.03,0.14,1509.084,2.0,150.25,4.05,0.5
2122,133.4605235,0.5167,6.88,37.9,0.64,0.0,433.0,73.8,5681.0,0.93,0.95,-0.07,1509.084,2.0,6.36,4.49,3.98
2123,13.71933369,0.1174,2.39,6.3,2.54,0.0,864.0,19.137,6224.0,1.29,1.19,0.03,972.274,1.0,141.89,4.29,2.82
2124,27.07237711,0.181,2.17,5.35,2.88,0.0,605.0,30.33,5680.0,0.95,0.96,-0.02,1315.26,1.0,90.1,4.47,3.89
2125,6.40087618,0.0662,1.3,2.24,5.6,0.0,1109.0,19.743,5475.0,1.09,0.93,0.09,817.584,1.0,962.26,4.33,11.75
2126,29.6193421,0.1817,1.68,3.46,4.01,0.0,580.0,20.5,5631.0,0.96,0.94,-0.02,492.122,1.0,26.79,4.45,6.46
2127,11.13125132,0.1036,2.11,5.1,2.98,0.0,952.0,20.34,5839.0,1.38,1.19,0.34,931.192,1.0,299.97,4.23,4.07
2128,4.24153639,0.0491,1.37,2.45,5.24,0.0,1177.0,10.7,5745.0,0.97,0.98,0.0,985.699,1.0,617.41,4.46,4.27
2129,11.30119217,0.0988,1.96,4.5,3.28,0.0,852.0,21.65,5971.0,1.12,1.09,0.08,1425.47,1.0,176.03,4.38,3.39
2130,14.5539759,0.1256,3.05,9.53,1.85,0.0,939.0,10.1,6383.0,1.47,1.3,0.06,1266.34,1.0,140.06,4.21,2.24
2131,13.73469807,0.101,2.18,5.39,2.86,0.0,634.0,45.57,5208.0,0.8,0.84,-0.05,703.168,1.0,38.27,4.56,4.9
2132,81.0659,0.386,3.49,4.1,0.53,0.012,511.0,63.68,6174.0,1.3,1.17,-0.073,1020.72,4.0,18.78,4.27,3.44
2133,52.0902,0.287,7.16,6.0,0.09,0.025,592.0,47.42,6174.0,1.3,1.17,-0.073,1020.72,4.0,33.87,4.27,3.44
2134,27.4029,0.187,3.72,5.9,0.62,0.03,734.0,30.9,6174.0,1.3,1.17,-0.073,1020.72,4.0,79.77,4.27,3.44
2135,13.4845,0.117,3.47,10.9,1.43,0.015,929.0,19.26,6174.0,1.3,1.17,-0.073,1020.72,4.0,205.4,4.27,3.44
2136,8.63847725,0.0951,2.12,5.14,2.96,0.0,1419.0,12.312,5870.0,1.02,1.01,-0.06,1480.16,1.0,312.34,4.42,3.72
2137,8.39846269,0.0835,2.55,7.04,2.33,0.0,984.0,8.54,6159.0,1.23,1.16,0.05,1775.8,1.0,357.19,4.32,3.02
2138,0.9283105,0.0159,1.28,2.18,5.71,0.0,1115.0,6.0,4248.0,0.62,0.65,-0.09,503.568,1.0,493.55,4.67,3.39
2139,53.5293487,0.2548,2.43,6.48,2.48,0.0,348.0,75.21,4838.0,0.74,0.81,0.09,485.318,1.0,3.66,4.61,2.51
2141,31.5922646,0.1967,1.58,3.12,4.35,0.0,688.0,19.2,5674.0,1.32,1.0,0.07,1303.72,1.0,194.38,4.19,9.12
2142,7.05395,0.0684,2.332,6.04,2.62,0.0,840.0,34.22,5411.49,0.87,0.94,-0.03,516.09,2.0,117.33,4.53,9.7
2143,4.29264638,0.0491,0.78,0.399,4.62,0.0,991.0,9.7,5521.0,0.89,0.93,0.01,516.09,2.0,229.1,4.51,3.89
2144,158.6853308,0.5444,3.21,10.4,1.73,0.0,350.0,52.8,5867.0,1.01,0.98,-0.14,446.844,1.0,3.99,4.42,5.25
2145,13.2140732,0.1019,2.89,8.7,1.98,0.0,629.0,16.8,5162.0,0.78,0.81,-0.1,1064.47,1.0,44.4,4.58,4.9
2146,0.67737516,0.015,0.89,0.64,4.99,0.0,2099.0,2.8794,5769.0,1.02,1.01,0.05,557.652,1.0,4572.56,4.42,4.9
2148,7.09714223,0.0533,0.92,0.721,5.09,0.0,425.0,26.17,3804.0,0.44,0.46,-0.43,283.155,1.0,15.03,4.81,3.89
2149,3.75574426,0.0453,1.68,3.46,4.01,0.0,977.0,12.67,5102.0,0.77,0.81,-0.09,938.168,1.0,216.57,4.58,5.25
2150,5.72812599,0.0519,1.47,2.76,4.77,0.0,569.0,22.605,4043.0,0.56,0.58,-0.17,443.106,1.0,33.95,4.71,3.16
2151,4.89718784,0.0523,1.28,2.18,5.71,0.0,904.0,20.97,5071.0,0.78,0.83,0.05,727.904,1.0,135.08,4.58,4.37
2152,0.97486893,0.0187,1.19,1.81,5.9,0.0,1612.0,4.664,5468.0,0.84,0.92,-0.04,398.676,1.0,1496.75,4.56,1.86
2153,11.0895723,0.1114,3.17,10.2,1.76,0.0,1422.0,8.84,6403.0,2.42,1.57,0.04,917.804,1.0,451.18,3.87,2.14
2154,3.74910006,0.047,1.43,2.63,4.94,0.0,1160.0,15.63,5850.0,1.01,1.04,0.05,547.026,1.0,490.71,4.45,2.82
2155,12.99207337,0.1071,1.82,3.97,3.62,0.0,866.0,16.683,5714.0,1.11,0.98,0.03,1130.21,1.0,264.58,4.33,8.13
2156,8.73485836,0.0843,1.82,3.97,3.62,0.0,890.0,14.62,5906.0,1.05,1.03,0.01,1393.85,1.0,339.3,4.42,3.72
2157,4.15244722,0.0616,1.4,2.54,5.09,0.0,1941.0,12.366,5598.0,0.92,0.94,-0.01,930.457,3.0,209.75,4.49,4.57
2158,1.47532231,0.0309,1.2,1.87,5.95,0.0,2740.0,4.913,5598.0,0.92,0.94,-0.01,930.457,3.0,833.59,4.49,4.57
2159,18.92540274,0.1694,2.3,5.9,2.66,0.0,1171.0,39.48,5598.0,0.92,0.94,-0.01,930.457,3.0,27.74,4.49,4.57
2160,3.57878087,0.04501,10.761,136.661,0.603,0.0,1440.0,9.764,5520.0,0.99,0.95,0.2,639.411,1.0,432.87,4.42,7.5
2161,15.9870174,0.1297,1.79,3.86,3.7,0.0,803.0,18.8,6186.0,1.28,1.19,0.06,1169.57,2.0,86.76,4.3,2.88
2162,7.42608998,0.0778,2.92,8.85,1.95,0.0,1037.0,15.83,6186.0,1.28,1.19,0.06,1169.57,2.0,241.13,4.3,2.88
2163,11.3910025,0.092,1.79,3.86,3.7,0.0,618.0,10.8,5108.0,0.78,0.82,-0.03,784.56,1.0,40.59,4.58,4.57
2164,161.5280101,0.5874,6.64,35.7,0.67,0.0,366.0,356.7,5694.0,0.94,0.96,-0.05,2251.03,1.0,9.37,4.48,4.07
2165,6.10027804,0.066,3.39,11.4,1.61,0.0,990.0,5.81,5992.0,1.15,1.1,0.09,2297.62,1.0,227.15,4.36,3.63
2166,27.6655226,0.1754,2.43,6.48,2.48,0.0,641.0,32.9,5901.0,1.06,1.05,0.04,1076.28,1.0,48.95,4.41,3.72
2167,7.33683936,0.0724,1.64,3.33,4.15,0.0,875.0,16.22,5557.0,0.89,0.92,-0.06,1047.84,1.0,160.46,4.51,4.17
2168,1.19655156,0.0205,1.22,1.98,5.99,0.0,1414.0,7.6,5166.0,0.8,0.84,0.01,962.459,1.0,974.09,4.57,4.79
2170,10.12804789,0.0874,2.03,4.78,3.14,0.0,767.0,23.39,5706.0,0.93,0.95,-0.09,830.707,1.0,95.45,4.48,4.07
2171,2.46697439,0.0333,1.48,2.79,4.73,0.0,1139.0,11.97,5322.0,0.85,0.89,0.08,792.336,2.0,453.65,4.54,4.57
2172,8.70419416,0.0772,3.06,9.59,1.84,0.0,748.0,20.4,5322.0,0.85,0.89,0.08,792.336,2.0,84.41,4.54,4.57
2173,1.5449298,0.0274,15.244,638.8383,1.1,0.0,2140.0,4.464,6409.0,1.32,1.2,-0.1,822.96,1.0,3583.67,4.2,0.62
2174,41.805985,0.2329,2.27,5.77,2.71,0.0,533.0,53.71,5860.0,1.04,1.04,0.06,1073.48,1.0,19.02,4.42,3.89
