,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
321,4.12448,0.0494,12.442,1547.8321,4.6,0.23,1283.0,9.65,5588.0,1.21,1.24,0.01,277.278,1.0,459.54,4.33,10.2
322,3.21222,0.0414,12.89,785.0401,2.14,0.02,1463.0,8.58,5302.0,1.11,1.13,0.24,81.7647,1.0,325.57,4.36,12.4
323,1.21288,0.0232,12.218,425.8922,1.406,0.11,1951.0,4.16,5905.0,0.96,0.58,0.15,364.813,1.0,2796.38,4.33,4.0
324,3.35524,0.04651,14.572,238.3725,0.44,0.07,1637.0,7.61,6373.0,1.38,1.37,-0.16,415.344,1.0,1047.12,4.27,2.8
325,3.65281514,0.0466,12.722,180.84527,0.483,0.023,1182.0,10.9,5519.0,0.92,1.01,0.294,300.384,1.0,325.0,4.52,3.2
326,4.23452,0.0479,7.062,22.2481,0.4,0.12,1001.0,13.09,5079.0,0.87,1.12,-0.04,141.837,1.0,185.07,4.56,9.0
327,3.039577,0.04,11.43,197.05,0.76,0.0,1092.0,9.804,5316.0,0.86,0.92,0.3,199.173,1.0,336.04,4.53,4.4
328,3.257215,0.0434,13.585,198.953,0.44,0.051,1384.0,8.43,5680.0,1.1,1.03,0.12,401.319,1.0,554.71,4.36,6.1
329,5.72319,0.0667,13.115,279.6904,0.79,0.09,1271.0,11.74,6087.0,1.3,1.45,0.21,313.576,1.0,433.0,4.34,2.2
330,2.8997,0.03866,10.536,206.5895,0.855,0.0,1189.0,10.05,5185.0,0.87,1.06,0.27,134.554,1.0,176.59,4.56,1.6
331,2.8106,0.0419,16.141,263.7989,0.309,0.04,1630.0,7.43,6304.0,1.31,1.55,0.13,213.985,1.0,1467.96,4.36,1.0
332,5.00542,0.061,12.218,721.4741,2.18,0.25,1450.0,9.7,6065.0,1.39,1.31,0.15,344.05,1.0,746.9,4.26,3.17
333,2.1500082,0.03397,22.194,216.1244,0.108,0.159,1836.0,5.344,6001.0,1.37,1.13,-0.16,289.205,1.0,1841.0,4.22,2.7
334,3.47447,0.04995,20.737,292.4036,0.2,0.0,1782.0,6.57,6446.0,1.79,1.82,0.05,396.11,1.0,1701.38,4.15,2.3
