,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius],insolation_flux_earth
365,1512.0,2.6453235,0.03772,1.17,867.2
366,1237.0,3.377728,0.04294,0.97,387.4
367,1766.0,4.007232,0.05387,1.74,1611.0
368,1930.0,2.6054552,0.03951,1.86,2114.86
369,1896.0,2.972086,0.04363,1.88,1939.51
370,1903.0,4.8101025,0.06505,2.55,2884.55
371,1028.0,2.29840551,0.02996,0.67,184.8
372,1930.0,4.7869491,0.06555,1.93,2238.59
373,2733.0,2.20474,0.03676,2.0,4353.41
374,2562.0,2.74432452,0.04739,1.86,5626.34
375,1700.0,3.07634,0.04496,1.57,1519.96
376,1540.0,3.92281072,0.05287,1.34,931.0
377,1359.0,3.446459,0.0444,1.04,489.95
381,1244.0,3.0440499,0.04057,0.89,315.99
382,1276.0,2.7667641,0.03815,0.93,505.89
384,1592.0,2.686502,0.03744,1.24,994.81
385,814.0,16.254611,0.1308,1.09,72.7
386,2069.0,0.83784,0.0174,1.02,2990.0
387,1577.0,1.354133,0.023,0.9,667.12
388,858.0,4.7228124,0.05025,0.69,111.3
390,2166.0,1.3484978,0.0238,1.12,2706.96
391,1277.0,4.2986432,0.05163,1.11,326.89
392,1918.0,3.3023881,0.04735,2.04,2236.58
393,1659.0,4.637038,0.0611,1.74,1342.57
396,1648.0,3.547851,0.0485,1.4,1212.0
397,1414.0,3.1743516,0.04354,1.06,718.91
399,1437.0,2.8126548,0.04024,1.1,614.59
400,1429.0,2.5495551,0.03727,1.02,757.13
401,1445.0,2.1061607,0.03166,0.98,691.84
402,2037.0,1.8209993,0.03199,1.43,2440.7
403,1203.0,4.175186,0.0523,1.1,561.0
404,1085.0,4.3315366,0.04913,0.88,229.7
405,1294.0,4.375021,0.05036,1.1,464.7
406,1645.0,4.5776348,0.06007,1.62,1547.1
407,1315.0,2.516729,0.0362,0.93,558.83
408,2101.0,3.2642736,0.04997,2.26,3163.38
409,1710.0,4.193649,0.0583,1.71,1300.31
410,1856.0,2.292102,0.03689,1.48,1637.21
411,1003.0,4.3888497,0.04944,0.81,192.23
412,1161.0,2.7439004,0.03649,0.85,306.42
413,1518.0,4.1876244,0.05511,1.32,811.35
414,1054.0,4.7423729,0.05367,0.85,209.77
415,853.0,3.9228038,0.04269,0.66,87.73
416,955.0,3.1316666,0.03769,0.72,137.6
417,835.0,4.1480467,0.04515,0.7,80.45
418,1025.0,4.763387,0.0542,0.87,183.24
420,1553.0,3.3488702,0.04639,1.44,740.22
421,1834.0,1.36665436,0.02498,1.05,1310.22
422,1312.0,3.8537768,0.04753,1.1,471.61
423,1429.0,2.5441765,0.037,1.23,476.97
424,1367.0,4.2042001,0.05412,1.13,355.91
425,1902.0,4.324799,0.06043,2.2,1080.87
426,1413.0,2.350621,0.03493,0.96,570.23
427,1721.0,4.2180896,0.05798,1.43,382.71
428,1128.0,5.416081,0.06112,1.04,269.0
429,176.0,1422.0,2.504,1.04,0.16
430,713.0,3.3252725,0.03623,0.57,47.33
431,1528.0,3.560829,0.04708,1.46,903.9
432,1226.0,7.817953,0.07908,1.66,374.2
433,1237.0,3.2768837,0.04163,0.93,387.4
434,1398.0,3.0566527,0.04026,1.07,634.1
435,1793.0,4.908897,0.06562,2.11,1711.0
436,1634.0,3.105161,0.04497,1.31,1178.0
437,1998.0,3.1414391,0.04714,1.84,2637.0
438,2193.0,1.6091788,0.03032,1.44,3821.0
439,1741.0,3.5862202,0.05071,1.75,1521.0
440,1296.0,2.2252577,0.03211,0.88,466.6
441,1084.0,3.185315,0.04012,0.82,211.62
442,2730.0,1.8882378,0.03632,1.88,9110.0
443,587.0,3.7955202,0.03745,0.48,18.08
444,739.0,7.3279474,0.066517,0.72,49.58
445,895.0,1.73185606,0.02384,0.58,106.9
446,772.0,2.7886556,0.032742,0.58,59.26
447,940.0,1.9416423,0.02658,0.63,129.8
448,828.0,3.0876262,0.03607,0.64,78.37
482,1153.0,9.55237,0.0907,1.3,240.0
483,886.0,21.05704,0.1536,1.3,83.0
491,1099.0,3.795963,0.04527,0.88,312.18
492,932.0,6.203449,0.062,0.88,162.17
493,708.0,14.175685,0.1074,0.88,53.88
494,636.0,19.590025,0.1367,0.88,35.0
503,259.0,520.1,1.259,1.09,0.71
510,957.0,10.18271,0.113,1.19,198.39
511,1371.0,2.541,0.035,0.97,735.49
512,990.0,6.744,0.068,0.97,199.9
538,145.0,3700.0,5.0,1.21,0.06
544,1509.0,6.1335,0.07,2.06,861.55
586,905.0,11.57797,0.0964,1.06,111.6
587,677.0,27.59221,0.1721,1.06,35.1
588,431.0,107.245,0.425,1.06,5.74
601,1228.0,11.53533,0.1097,2.34,356.0
637,1626.0,2.87589,0.04364,1.41,1530.04
649,1001.0,4.75615,0.0522,0.86,161.73
650,642.0,17.1784,0.1268,0.86,29.18
701,159.0,1207.0,2.16,0.95,0.16
702,400.0,75.74,0.341,0.95,6.29
723,883.0,21.21663,0.16278,1.55,17.44
753,769.0,17.471278,0.1334,0.99,58.1
758,863.0,4.1374354,0.048,0.77,145.0
767,1209.0,2.21857567,0.03126,0.75,356.0
775,880.0,8.8803256,0.0804,0.94,100.0
776,600.0,28.579743,0.1752,0.94,21.0
777,540.0,38.353037,0.2132,0.94,14.3
778,390.0,101.12,0.407,0.94,3.9
780,278.0,284.0,0.812,0.94,0.99
801,2132.0,3.308958,0.05208,2.59,3440.0
803,2141.0,0.926118,0.018,1.13,3474.0
825,632.0,16.202159,0.1163,0.78,26.5
834,1459.0,3.52474859,0.04707,1.19,758.36
838,380.0,223.8,0.768,1.21,3.44
846,2128.0,1.008035,0.02012,1.1,3253.81
866,701.0,7.78993,0.0695,0.7,42.63
873,1015.0,3.092926,0.03876,0.78,176.2
874,782.0,6.76458,0.0653,0.78,62.1
875,410.0,46.859,0.237,0.78,4.72
876,523.0,22.717,0.1463,0.78,12.38
881,1073.0,6.03607,0.06356,1.03,224.02
890,789.0,14.2767,0.1228,2.94,91.65
898,573.0,5.09071,0.051,0.67,26.0
906,543.0,17.667087,0.1162,0.71,16.0
907,467.0,29.79749,0.1646,0.71,7.96
908,909.0,3.97664,0.04298,0.71,117.0
909,723.0,7.90754,0.068,0.71,46.7
910,630.0,12.1621839,0.0906,0.71,26.3
912,470.0,13.671,0.0932,0.57,8.1
925,709.0,2.76953,0.02933,0.44,42.2
926,557.0,5.70588,0.04749,0.44,16.1
929,2061.0,4.12688,0.0568,1.56,1451.24
936,261.0,654.5,1.552,1.27,0.76
937,881.0,22.89104,0.1357,1.45,98.75
938,585.0,56.00819,0.308,1.45,29.95
939,506.0,84.25999,0.411,1.45,17.37
961,1777.0,0.95965428,0.01802,0.87,1625.0
962,565.0,29.8464948,0.1783,0.87,16.6
963,860.0,8.4783,0.07703,0.87,88.9
972,876.0,18.71204,0.1436,1.28,98.09
1015,337.0,149.61,0.554,1.0,3.16
1047,943.0,14.339156,0.1202,1.19,132.0
1055,1133.0,29.04992,0.229,1.75,273.43
1066,886.0,7.10793,0.0719,0.91,145.57
1067,622.0,20.5453,0.1458,0.91,35.36
1102,714.0,6.398042,0.0604,0.65,43.3
1103,498.0,18.87974,0.1242,0.65,10.2
1115,826.0,5.39792,0.06,0.78,113.7
1116,584.0,15.299,0.1134,0.78,28.35
1117,499.0,24.451,0.1551,0.78,15.17
1120,2302.0,0.719573,0.0166,1.22,6635.86
1132,448.0,102.54,0.4123,1.36,9.85
1133,614.0,39.8458,0.2196,1.36,34.7
1136,1170.0,6.26790772,0.068647,1.19,309.0
1165,357.0,4.65626,0.02851,0.16,2.7
1166,410.0,3.05989,0.02156,0.16,4.72
1167,471.0,2.02087,0.01634,0.16,8.21
1169,1743.0,2.8641424,0.04421,1.48,1540.0
1170,1577.0,3.7650007,0.0815,1.93,625.25
1171,1230.0,4.1877558,0.0515,1.13,397.48
1172,1630.0,4.12508,0.05524,1.45,1041.48
1173,1729.0,3.19154,0.0476,1.54,1033.99
1176,1328.0,2.61586178,0.0368,0.99,1566.65
1177,1210.0,3.94153,0.0488,0.88,321.85
1178,790.0,6.00127,0.05706,0.69,69.6
1179,250.0,15.564,0.0672,0.18,0.65
1183,2470.0,1.7522239,0.0234,0.66,282.26
1184,2198.0,2.663416,0.0282,0.61,113.59
1185,2000.0,1.0187068,0.01855,0.75,2544.69
1188,163.0,1.4079405,0.0204,0.01,0.18
1190,1480.0,5.75251,0.0717,1.64,828.83
1191,1171.0,2.96264036,0.03762,0.74,269.88
1192,1555.0,2.07276,0.03303,1.08,1176.48
1193,1285.0,3.4252602,0.0453,1.05,546.49
1194,1570.0,2.18467,0.03416,1.23,1362.14
1196,1604.0,3.95019,0.055,1.48,1364.09
1197,1942.0,2.7325321,0.04211,1.52,2531.13
1198,1871.0,2.1746742,0.0348,1.34,1054.95
1199,1160.0,2.798581,0.037,0.86,332.56
1200,1840.0,3.916243,0.0562,1.98,1704.49
1202,1772.0,4.954,0.06431,1.8,1489.55
1203,2050.0,1.682795,0.02946,1.63,4170.1
1204,1452.0,2.6556777,0.039,0.94,640.33
1205,797.0,8.5234865,0.0771,0.75,76.19
1206,1120.0,4.971252,0.059,1.05,238.88
1207,2190.0,2.70579,0.0447,2.1,3557.29
1208,1623.0,2.7164762,0.03908,1.28,1034.09
1209,825.0,3.06785234,0.0344,0.59,72.44
1211,875.0,8.15872,0.0801,1.03,138.82
1212,1716.0,3.66238,0.0519,1.6,1645.99
1213,2470.0,2.17518,0.03488,2.46,4812.62
1214,1715.0,1.36002854,0.02335,0.91,1440.0
1215,2160.0,1.809886,0.033,1.73,5139.03
1216,1710.0,2.484193,0.0375,1.26,1657.0
1218,1790.0,4.08722,0.05512,2.55,2242.36
1219,2210.0,2.21673,0.03711,2.18,2007.96
1220,2049.0,2.90367,0.04622,1.82,3384.61
1222,1487.0,4.9546416,0.0617,1.43,902.2
1223,963.0,3.86814,0.04525,0.86,180.56
1226,1570.0,4.08605,0.0546,1.76,1434.77
1227,1480.0,2.3114243,0.0334,1.01,796.89
1228,1689.0,1.5732918,0.02648,1.06,1563.64
1229,1470.0,4.37808,0.0574,1.86,1103.27
1230,1475.0,4.41195,0.0571,1.23,999.83
1231,1624.0,3.8559,0.0521,1.55,1062.03
1232,1479.0,4.305,0.05548,1.17,925.49
1233,1184.0,3.36101,0.04217,0.73,273.03
1234,670.0,7.919585,0.0697,0.61,38.03
1235,1270.0,5.01718,0.0562,1.22,404.71
1236,1338.0,2.83891856,0.03769,0.93,702.39
1237,1216.0,4.6171,0.05614,0.96,447.82
1238,1300.0,4.46563,0.0558,1.09,471.6
1239,1759.0,3.69364,0.04988,1.76,1639.11
1241,1053.0,3.3098443,0.04101,0.8,241.67
1243,1395.0,1.9551,0.0293,0.84,690.34
1244,1706.0,1.6284279,0.0267,1.03,1559.48
1245,1400.0,2.78174,0.0379,0.97,615.47
1246,2035.0,2.14363,0.03444,1.58,3410.26
1250,1275.0,4.1591492,0.052,1.14,534.0
1251,1636.0,1.43036763,0.02335,0.86,1281.24
1252,1153.0,3.126089,0.03963,0.86,294.0
1253,1337.0,2.423804,0.03453,0.91,533.0
1254,1427.0,0.813475,0.0142,0.6,680.89
1255,1021.0,4.9816819,0.0561,0.89,137.12
1257,1244.0,3.0524,0.04022,0.83,344.15
1258,1673.0,1.33823147,0.0226,0.89,1188.62
1259,1166.0,4.055259,0.0486,0.9,316.31
1261,1232.0,3.577469,0.0446,1.0,545.33
1262,1733.0,1.53736596,0.02677,0.99,1422.61
1263,1338.0,3.16158,0.04317,1.08,758.1
1264,1250.0,4.31768,0.0524,0.91,425.71
1265,2782.0,1.21987,0.0239,1.44,9392.05
1266,1388.0,2.71866,0.0394,0.95,616.33
1267,1307.0,3.4059096,0.04659,1.25,485.22
1268,2020.0,1.84683,0.0315,1.44,2664.87
1269,970.0,3.92273,0.0457,0.79,121.77
1270,1456.0,3.40883495,0.0442,1.08,724.65
1271,1650.0,2.7566,0.04,1.22,1225.53
1272,1210.0,3.76483,0.0473,0.8,357.01
1273,1772.0,2.34121,0.03651,1.42,934.47
1274,1077.0,2.9444256,0.0376,0.77,317.43
1275,1502.0,3.53269,0.047,1.24,837.7
1276,1340.0,4.322482,0.052,1.06,705.04
1277,1379.0,4.8996284,0.06,1.39,410.16
1278,1311.0,2.152175,0.03144,0.87,492.0
1279,1620.0,2.8786765,0.0408,1.32,471.14
1280,1500.0,5.367753,0.0663,1.6,747.13
1281,2113.0,0.78883852,0.01652,1.01,3320.0
1283,1760.0,5.147878,0.0653,2.83,1594.76
1284,1378.0,5.026799,0.06,1.47,853.15
1286,1480.0,5.1817,0.0627,1.65,669.02
1287,1111.0,4.1117771,0.04632,0.87,268.72
1288,1479.0,3.3769848,0.0451,1.34,756.26
1289,1186.0,4.5195064,0.05427,0.97,382.45
1290,1540.0,3.409264,0.048,1.19,918.36
1292,2429.0,0.94145223,0.02024,1.32,5805.0
1293,2470.0,3.3448285,0.0558,1.67,5550.0
1294,1142.0,3.071722,0.03957,0.89,279.76
1295,1721.0,3.899052,0.0535,1.93,1703.24
1296,1571.0,3.0652907,0.04403,1.2,649.43
1297,1528.0,4.2337005,0.05503,1.35,901.9
1298,1880.0,1.38665318,0.0248,1.11,1920.0
1299,1740.0,5.477433,0.0694,1.91,1506.5
1300,1642.0,3.8186244,0.0504,1.64,1200.24
1301,1422.0,2.34478022,0.0337,0.94,680.0
1302,1755.0,3.73543,0.0515,1.49,1292.19
1303,1604.0,5.6114118,0.0681,2.01,1486.86
1304,1340.0,4.153658,0.0519,1.12,278.89
1305,2329.0,2.0219596,0.0365,1.79,6416.64
1306,1270.0,5.44354,0.0641,1.22,440.0
1307,1624.0,3.465509,0.04823,1.75,545.16
1308,1610.0,1.7771255,0.02818,0.93,1043.21
1309,1638.0,1.6096884,0.0266,1.01,1200.0
1310,910.0,9.62468,0.0871,1.11,121.92
1311,1557.0,5.4060425,0.0673,1.71,990.0
1312,1119.0,3.7684952,0.0452,0.87,210.58
1313,1389.0,3.1186,0.0415,1.14,481.92
1314,1850.0,3.840401,0.0538,2.11,1599.92
1315,1590.0,3.656333,0.0517,1.39,903.01
1317,970.0,3.836169,0.0453,0.76,150.0
1318,1700.0,3.332609,0.048,1.73,1400.0
1319,1312.0,4.5334775,0.055,1.18,460.0
1320,1460.0,5.644207,0.0694,1.65,220.16
1321,1676.0,3.7521,0.05165,1.48,1237.74
1323,940.0,8.803809,0.08215,0.91,94.97
1324,1404.0,4.60273,0.0549,1.43,591.95
1325,1200.0,1.7690381,0.0261,0.68,313.4
1326,1260.0,2.2783152,0.0316,0.81,775.88
1327,2000.0,2.052868,0.0347,1.64,3140.92
1328,1540.0,3.310651,0.0469,1.37,1061.55
1329,1320.0,2.2359835,0.0323,0.87,491.33
1330,1872.0,2.24375,0.037,1.4,1356.33
1331,910.0,5.924262,0.062,0.8,120.71
1332,1590.0,3.634433,0.0494,1.36,1133.73
1333,1742.0,5.215357,0.0661,2.21,1843.47
1334,1211.0,1.4013794,0.0243,0.96,357.18
1336,1386.0,1.011534,0.0182,0.75,871.73
1337,763.0,7.133514,0.067,0.75,50.84
1338,1460.0,5.322023,0.0607,1.53,748.21
1339,833.0,11.55098,0.1012,0.96,99.63
1340,1531.0,4.35301,0.05362,1.37,617.31
1341,1100.0,5.748145,0.0628,0.9,345.72
1342,1400.0,4.17806203,0.0484,1.33,679.79
1344,1480.0,3.28883,0.0449,1.27,759.34
1345,1400.0,3.37265,0.0449,1.02,615.17
1346,1520.0,2.9776412,0.04263,1.29,865.49
1347,2720.0,1.27492504,0.02596,1.46,5431.24
1348,1880.0,3.6112706,0.0514,1.87,1818.55
1349,2593.0,1.09142,0.0232,1.66,5597.87
1350,1600.0,2.49979,0.0363,1.2,907.86
1351,1729.0,4.0460435,0.05453,1.7,1687.71
1352,1001.0,10.02165,0.09459,1.22,211.79
1353,2043.0,1.5487743,0.02851,1.43,2978.2
1354,1496.0,4.54216875,0.05885,1.61,821.41
1356,992.0,3.72247,0.0435,0.89,184.98
1358,736.0,5.7214742,0.055,0.67,37.03
1359,1140.0,9.28971,0.0917,1.31,315.86
1360,900.0,7.87288,0.075,0.9,166.54
1361,1516.0,1.7554137,0.02918,0.96,867.74
1363,1560.0,3.58572,0.05057,1.31,1089.17
1364,2190.0,2.84938,0.04574,1.57,3854.88
1365,1370.0,3.0927616,0.03781,0.7,174.03
1366,1812.0,2.5199454,0.03889,1.47,2121.52
1369,492.0,60.0,0.308,1.34,10.0
1370,845.0,12.4032,0.1083,1.34,85.0
1371,968.0,8.24958,0.0825,1.34,146.0
1372,677.0,24.1396,0.1688,1.34,35.0
1380,1480.0,1.48224686,0.02459,0.87,442.99
1381,1778.0,3.55395,0.05084,1.66,764.74
1382,1638.0,1.30618581,0.02282,0.83,1025.5
1383,1466.0,2.47063,0.03563,1.12,903.86
1384,1140.0,3.03007,0.03925,0.85,318.46
1396,172.0,18.772866,0.06189,0.12,0.14
1397,197.0,12.352446,0.04683,0.12,0.25
1398,218.0,9.20754,0.03849,0.12,0.37
1399,250.0,6.101013,0.02925,0.12,0.65
1400,286.0,4.049219,0.02227,0.12,1.11
1401,340.0,2.421937,0.0158,0.12,2.21
1402,398.0,1.510826,0.01154,0.12,4.15
1403,96.0,1700.0,2.52,0.67,0.02
1404,941.0,1.8237305,0.02636,0.67,188.0
1405,1526.0,3.6849729,0.04963,1.89,1393.0
1407,1120.0,4.32419,0.04796,1.02,261.86
1408,1192.0,3.739494,0.04666,0.92,337.0
1409,1397.0,10.62656,0.092,1.39,571.01
1410,1932.0,0.76552414,0.01598,0.92,2314.06
1412,665.0,8.59545,0.075,0.67,26.71
1413,871.0,3.81673,0.0422,0.67,78.84
1414,1118.0,1.0418777,0.0171,0.6,270.07
1415,1253.0,1.392978,0.02177,0.7,412.0
1416,610.0,83.8911,0.423,1.94,23.1
1417,415.0,15.6653,0.1,0.54,4.9
1418,514.0,8.24661,0.0652,0.54,11.5
1419,800.0,12.2737,0.1011,0.9,64.32
1420,1038.0,5.6057,0.06,0.9,183.08
1421,314.0,84.8396,0.3405,0.67,1.6
1422,370.0,51.69906,0.2447,0.67,3.08
1423,650.0,9.531361,0.07928,0.67,22.6
1424,273.0,27.80978,0.134,0.42,1.27
1425,269.0,37.42396,0.1633,0.42,0.85
1426,356.0,16.051137,0.0929,0.42,2.64
1427,417.0,9.977219,0.0677,0.42,4.98
1428,1252.0,11.2366,0.1038,1.28,200.55
1429,635.0,1.977143,0.025,0.42,38.4
1430,1749.0,5.0037775,0.06608,2.08,1720.77
1431,1586.0,3.4095675,0.0486,1.34,1052.9
1432,604.0,5.0988179,0.04825,0.55,20.8
1433,1714.0,1.651144,0.02734,1.09,1423.0
1434,750.0,16.287,0.1174,0.83,36.03
1437,860.0,10.779,0.08809,0.85,73.35
1438,2480.0,0.446578,0.01055,0.85,4383.42
1439,1180.0,6.9839095,0.0723,1.23,404.92
1440,1061.0,14.574071,0.1291,1.5,248.86
1441,441.0,75.12375,0.332,1.06,9.6
1442,1082.0,1.548351,0.0251,0.66,240.2
1443,611.0,1.2391491,0.01223,0.19,23.4
1445,867.0,2.3266508,0.0296,0.61,94.1
1446,565.0,6.387597,0.052,0.54,14.26
1448,760.0,1.2652328,0.012,0.37,53.99
1450,906.0,20.33003,0.158,1.4,49.56
1454,1617.0,0.548177,0.01189,0.68,1138.0
1455,1370.0,10.33111,0.097,1.66,342.63
1456,1472.0,4.28088,0.0555,1.41,783.2
1458,318.0,225.11781,0.768,1.15,3.2
1459,722.0,16.364988,0.1208,0.88,38.24
1460,875.0,9.192522,0.0823,0.88,82.52
1461,1491.0,1.858703,0.0283,0.88,695.19
1462,861.0,1.1589,0.0164,0.45,92.5
1463,1395.0,2.8807198,0.04036,1.06,633.0
1464,509.0,10.688716,0.0814,0.6,11.18
1465,634.0,5.5382498,0.05251,0.6,26.9
1467,633.0,12.46103,0.098,0.73,28.36
1469,1862.0,0.490047,0.0113,0.73,2120.45
1470,674.0,16.06819,0.1189,0.87,34.32
1471,981.0,5.19672,0.056,0.87,154.57
1472,1074.0,4.0664428,0.04823,0.86,223.0
1473,1570.0,3.8016122,0.05222,1.44,1013.0
1474,1033.0,9.573096,0.0939,1.16,186.02
1475,1378.0,4.040301,0.0528,1.16,587.59
1476,1458.0,3.1774835,0.04469,1.11,753.9
1477,1295.0,6.607662,0.0743,1.5,469.0
1478,1512.0,3.4936264,0.0463,1.39,872.2
1479,463.0,4.5445697,0.0354,0.3,7.42
1480,1633.0,3.2443141,0.04611,1.54,1186.0
1481,1646.0,2.8989727,0.0421,1.47,1230.0
1482,759.0,3.438753,0.03845,0.62,55.4
1483,750.0,2.154849,0.027,0.51,54.0
1484,801.0,9.088516,0.0813,0.79,68.6
1485,1534.0,3.246075,0.0456,1.3,924.3
1486,690.0,3.936551,0.043,0.6,39.0
1487,1498.0,3.119999,0.04289,1.23,841.3
1488,1264.0,5.8768918,0.0675,1.42,425.0
1489,643.0,18.09547,0.153,1.83,28.49
1490,1488.0,2.0180231,0.03144,0.95,818.5
1491,604.0,2.59261842,0.02709,0.37,13.89
1492,1596.0,3.9014971,0.0505,1.67,1084.0
1493,1544.0,2.3505614,0.03386,1.07,947.8
1494,1471.0,3.5514058,0.0475,1.27,781.8
1495,1376.0,4.039709,0.0493,1.23,598.0
1496,1893.0,1.96229325,0.03185,1.25,2150.0
1497,1205.0,4.8084983,0.0569,1.07,352.0
1498,588.0,3.994,0.0269,0.36,28.24
1499,387.0,11.379573,0.0721,0.38,3.92
1500,488.0,5.6605731,0.04526,0.38,9.94
1501,581.0,3.3601538,0.03197,0.38,19.93
1502,531.0,3.6977104,0.0345,0.4,19.0
1504,1445.0,5.45664,0.0635,1.73,728.0
1505,1456.0,4.5207265,0.0571,1.48,750.9
1506,1431.0,2.9887615,0.04145,1.09,699.0
1507,1027.0,18.38818,0.1528,1.87,186.0
1508,1352.0,5.983944,0.0672,1.69,558.0
1510,603.0,49.2519,0.249,0.79,21.98
1511,556.0,23.2856,0.1511,0.79,15.96
1512,1041.0,4.93777,0.05741,0.88,277.75
1513,1060.0,0.3711281,0.0064,0.27,204.49
1514,1117.0,1.3060011,0.0202,0.65,62.71
