,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
1971,2.53475627,0.0339,2.8,8.25,2.07,0.0,1218.0,3.48,5998.0,1.11,1.07,0.02,2004.72
1972,20.310501,0.1549,2.6,7.27,2.27,0.0,931.0,29.16,6112.0,1.99,1.34,0.03,556.168
1973,2.36436901,0.0382,0.82,0.477,4.75,0.0,1752.0,3.15,6230.0,1.5,1.26,0.12,400.289
1974,6.24658,0.0731,15.323,257.4423,0.4,0.0519,2040.0,2.496,4550.0,6.3,1.31,0.11,1294.69
1975,13.93290318,0.1175,1.47,2.76,4.77,0.0,852.0,40.91,6154.0,1.23,1.17,0.08,309.596
1976,1.34059747,0.0247,1.22,1.98,5.99,0.0,1783.0,6.445,5973.0,1.12,1.11,0.15,290.843
1977,15.86621821,0.1225,1.2,1.87,5.95,0.0,879.0,29.39,6106.0,1.38,1.08,-0.15,352.0
1978,41.6979976,0.2359,2.11,5.1,2.98,0.0,537.0,56.91,6035.0,1.02,1.06,-0.09,757.791
1979,5.08274652,0.0572,1.41,2.57,5.04,0.0,928.0,22.716,5461.0,0.86,0.95,0.09,529.268
1980,3.02166863,0.0417,1.77,3.78,3.75,0.0,1332.0,3.23,6160.0,1.25,1.16,0.05,978.125
1981,62.9228557,0.302,2.53,6.94,2.35,0.0,462.0,24.0,5682.0,0.97,0.98,0.05,1369.24
1982,10.3507721,0.0907,2.01,4.7,3.18,0.0,842.0,7.2,5682.0,0.97,0.98,0.05,1369.24
1983,40.1099547,0.223,2.54,6.99,2.34,0.0,556.0,60.24,5647.0,0.93,0.95,0.0,1165.34
1984,3.51749439,0.0378,1.37,2.45,5.24,0.0,704.0,18.494,4184.0,0.57,0.59,-0.3,253.867
1985,6.9913086,0.0679,2.08,4.98,3.04,0.0,716.0,13.88,4836.0,0.73,0.78,-0.01,487.525
1987,1.592851,0.0273,1.64,3.33,4.15,0.0,2026.0,5.54,5777.0,1.02,1.07,0.12,628.257
1988,38.9853,0.227,8.08,29.9,0.31,0.06691,523.0,49.8,5774.0,0.96,1.02,0.05,628.257
1989,19.23891,0.143,8.29,43.4,0.42,0.0609,661.0,31.3,5774.0,0.96,1.02,0.05,628.257
1990,19.17891293,0.1392,2.68,7.65,2.18,0.0,640.0,29.2,5595.0,0.91,0.93,-0.06,1246.43
1991,5.8706191,0.0545,1.49,2.83,4.7,0.0,616.0,13.88,4223.0,0.62,0.65,-0.06,484.891
1992,8.0472642,0.077,2.39,6.3,2.54,0.0,855.0,7.48,5839.0,1.04,1.03,0.04,1519.25
1993,144.547396,0.5164,2.53,6.94,2.35,0.0,303.0,48.4,5262.0,0.81,0.84,-0.1,2334.93
1994,2.80624233,0.0328,1.54,2.99,4.5,0.0,771.0,13.469,4315.0,0.61,0.65,-0.16,540.134
1995,9.803224,0.0916,2.78,8.15,2.08,0.0,896.0,13.21,5603.0,0.85,0.87,-0.25,1162.91
1996,6.33855761,0.0699,3.03,9.43,1.86,0.0,1034.0,7.3,5820.0,0.99,1.0,-0.03,1285.59
1997,13.7521072,0.1015,2.81,8.3,2.06,0.0,556.0,17.4,4747.0,0.72,0.75,-0.04,570.727
1998,53.44945593,0.2881,6.41,33.6,0.701,0.0,486.0,80.697,5887.0,1.07,1.06,0.09,2340.58
1999,52.75875577,0.2944,8.89,58.6,0.458,0.0,540.0,65.231,5954.0,1.13,1.09,0.09,1712.12
2000,3.744439,0.0492,1.09,1.32,5.6,0.0,1328.0,9.75,5961.0,1.25,1.14,0.19,598.313
2001,70.6979061,0.328,1.76,3.75,3.78,0.0,417.0,82.82,5875.0,0.9,0.97,-0.21,420.817
2002,7.63846023,0.0797,1.13,1.51,5.75,0.0,1089.0,14.54,6194.0,1.29,1.19,0.08,886.588
2003,20.42228798,0.1536,1.84,4.04,3.56,0.0,785.0,25.49,6194.0,1.29,1.19,0.08,886.588
2004,6.24146367,0.067,1.52,2.92,4.57,0.0,1111.0,15.566,6098.0,1.16,1.1,-0.01,711.297
2005,18.11472949,0.1432,2.5,6.8,2.39,0.0,830.0,19.0,6187.0,1.35,1.21,0.11,651.318
2006,5.69919514,0.0622,1.23,2.04,6.02,0.0,964.0,18.429,5715.0,0.94,1.0,0.05,476.733
2007,12.98495573,0.1055,1.78,3.82,3.72,0.0,818.0,29.15,6116.0,1.09,1.06,-0.13,627.455
2008,3.98953967,0.0449,1.23,2.04,6.02,0.0,903.0,19.33,5476.0,0.87,0.9,-0.03,504.605
2009,4.44448017,0.0552,1.78,3.82,3.72,0.0,1217.0,3.62,5961.0,1.09,1.06,0.0,1375.18
2010,7.71468975,0.0915,2.66,7.56,2.21,0.0,1622.0,13.917,6761.0,1.74,1.46,0.03,601.324
2012,33.3855938,0.2012,2.57,7.13,2.31,0.0,580.0,39.8,5792.0,1.02,1.02,0.05,802.672
2013,25.9422033,0.165,1.93,4.38,3.35,0.0,501.0,49.72,5044.0,0.77,0.81,-0.03,791.625
2014,18.45847097,0.1301,2.12,5.14,2.96,0.0,632.0,25.0,5261.0,0.81,0.85,-0.06,602.176
2015,5.14438011,0.0549,1.43,2.63,4.94,0.0,923.0,14.6,5060.0,0.77,0.81,-0.03,820.913
2016,27.5073799,0.1771,2.9,8.75,1.97,0.0,569.0,38.9,5958.0,1.11,1.06,0.03,1242.62
2017,40.0686727,0.2234,3.94,14.7,1.32,0.0,560.0,53.46,6020.0,1.13,1.09,0.03,1082.16
2018,20.5533844,0.1542,3.75,13.5,1.41,0.0,749.0,23.8,6163.0,1.27,1.18,0.07,1182.22
2019,2.57885507,0.0362,1.99,4.62,3.22,0.0,1230.0,8.556,5902.0,1.08,1.05,0.04,879.683
2020,22.0459018,0.1572,3.74,13.5,1.42,0.0,640.0,14.1,5993.0,1.14,1.11,0.09,1976.05
2021,21.3587621,0.1539,2.78,8.15,2.08,0.0,691.0,28.56,5857.0,1.02,1.01,-0.01,1259.46
2022,191.2318,0.676,6.14,6.4,0.152,0.039,403.0,80.7,5600.0,1.82,1.1,-0.17,1232.9
2023,114.73635,0.481,13.49,324.2,0.729,0.036,478.0,57.4,5600.0,1.82,1.1,-0.17,1232.9
2024,40.4287755,0.2244,3.61,12.7,1.48,0.0,494.0,22.5,5664.0,0.95,0.97,0.02,939.455
2025,5.03251791,0.0575,2.05,4.86,3.1,0.0,1047.0,3.19,5614.0,0.89,0.93,-0.08,1593.13
2026,150.242127,0.5375,4.64,19.4,1.07,0.0,327.0,104.3,5541.0,0.91,0.92,-0.02,1195.54
2027,2.61703254,0.0331,1.63,3.29,4.17,0.0,996.0,9.88,4751.0,0.71,0.75,-0.07,646.667
2028,14.16399294,0.1057,2.49,6.76,2.41,0.0,694.0,25.755,5570.0,0.92,0.93,-0.01,586.137
2029,5.83376092,0.0687,2.4,6.35,2.52,0.0,1143.0,11.41,5754.0,1.0,1.0,0.04,2022.9
2030,15.59461874,0.122,2.9,8.75,1.97,0.0,718.0,23.42,5678.0,0.95,0.96,-0.03,1499.66
2031,3.14866453,0.039,2.21,5.52,2.81,0.0,1097.0,9.35,5333.0,0.84,0.88,0.04,1039.03
2032,3.94963138,0.0463,2.28,5.82,2.7,0.0,966.0,19.966,5047.0,0.78,0.82,0.01,850.327
2033,5.10137945,0.058,3.24,10.6,1.71,0.0,1050.0,15.4354,5836.0,1.06,1.04,0.09,1056.36
2034,20.38177573,0.1345,3.09,9.75,1.82,0.0,528.0,43.13,5020.0,0.77,0.81,-0.02,839.903
2035,76.13602028,0.3403,4.87,21.1,1.0,0.0,399.0,76.789,5653.0,0.91,0.96,-0.04,298.532
2036,85.35129427,0.3751,6.8,37.2,0.65,0.0,390.0,102.4237,5773.0,0.99,0.99,0.02,983.502
2037,8.02768059,0.0787,9.3,63.3,0.432,0.0,824.0,18.28,5535.0,0.93,0.96,0.12,1351.17
2038,7.8866311,0.0762,8.35,52.7,0.497,0.0,996.0,12.4195,5835.0,1.03,1.03,0.06,1506.58
2039,7.16892463,0.0779,1.69,3.5,3.98,0.0,1187.0,11.1,6350.0,1.55,1.3,0.07,568.676
2040,44.9309804,0.2654,2.54,6.99,2.34,0.0,565.0,24.1,6100.0,1.16,1.19,0.22,1619.03
2041,8.50699658,0.0802,1.68,3.46,4.01,0.0,900.0,13.46,5455.0,0.85,0.89,-0.07,839.255
2042,7.19303878,0.0744,1.78,3.82,3.72,0.0,995.0,16.25,5932.0,1.09,1.06,0.03,1661.28
2043,25.216751,0.163,1.27,0.6,1.6,0.0,559.0,15.44,5436.0,0.89,0.92,0.0,765.025
2044,17.91323,0.13,1.2,1.87,5.95,0.0,626.0,12.29,5436.0,0.89,0.87,-0.02,765.025
2045,12.513,0.1007,2.18,20.9,11.1,0.0,706.0,9.67,5499.0,1.24,0.92,0.0,765.025
2046,8.306,0.0766,1.97,4.54,3.26,0.0,809.0,7.36,5499.0,1.24,0.92,0.0,765.025
2047,394.6244904,1.1088,7.14,40.4,0.61,0.0,325.0,92.98,6059.0,1.64,1.23,0.12,822.134
2048,6.91134416,0.072,1.7,3.53,3.95,0.0,1086.0,9.13,5695.0,1.2,1.01,0.15,1378.47
2049,2.3432319,0.0315,1.18,1.76,5.89,0.0,1054.0,8.893,4940.0,0.77,0.83,0.15,513.103
2050,19.80792185,0.1399,2.48,6.71,2.42,0.0,624.0,43.23,5579.0,0.91,0.94,0.0,1127.12
2051,0.92785982,0.017,2.04,4.82,3.12,0.0,1361.0,2.94,4913.0,0.75,0.79,0.01,431.051
2052,2.61302086,0.0298,1.68,3.46,4.01,0.0,713.0,5.28,4128.0,0.57,0.59,-0.24,431.776
2053,2.05387982,0.0313,2.59,7.22,2.28,0.0,1523.0,7.369,5830.0,1.03,1.02,0.05,1165.66
2054,1.21956827,0.0204,1.6,3.19,4.28,0.0,1252.0,6.075,4848.0,0.73,0.78,-0.02,532.726
2055,124.4198398,0.479,5.23,23.8,0.914,0.0,416.0,270.02,5324.0,0.81,0.85,-0.09,998.961
2056,44.552169,0.25,2.2,5.48,2.83,0.0,572.0,43.0,6031.0,1.17,1.06,-0.07,1023.9
2057,27.434389,0.181,2.6,7.27,2.27,0.0,672.0,41.83,6031.0,1.17,1.06,-0.07,1023.9
2058,4.224537,0.052,1.38,2.48,5.19,0.0,1254.0,10.448,6031.0,1.17,1.06,-0.07,1023.9
2059,12.883,0.1072,2.36,20.2,8.44,0.0,865.0,6.24,6039.0,1.43,1.0,-0.07,1023.9
2060,8.726,0.0827,2.23,40.0,19.8,0.0,985.0,5.93,6039.0,1.43,1.0,-0.07,1023.9
2061,37.8144514,0.2341,2.57,7.13,2.31,0.0,626.0,34.29,6058.0,1.31,1.22,0.29,944.561
2062,15.74957994,0.1266,2.73,7.9,2.13,0.0,777.0,20.8,5770.0,0.96,0.98,-0.06,1104.04
2063,16.56059504,0.1144,2.56,7.08,2.32,0.0,701.0,16.3,5403.0,0.81,0.85,-0.18,901.907
2064,11.36112327,0.1013,2.73,7.9,2.13,0.0,869.0,11.5,5895.0,1.04,1.03,-0.01,980.035
2065,11.41909375,0.107,2.79,8.2,2.07,0.0,921.0,6.79,5954.0,1.11,1.08,0.08,2406.33
2066,13.32388301,0.0862,2.02,4.74,3.16,0.0,378.0,32.33,4554.0,0.66,0.7,-0.13,633.937
2067,18.7546998,0.1139,2.02,4.74,3.16,0.0,382.0,48.55,4339.0,0.62,0.64,-0.18,467.37
2068,7.1396941,0.075,2.06,4.9,3.08,0.0,965.0,14.179,5596.0,0.9,0.92,-0.08,1688.12
2069,5.62153941,0.0603,1.27,2.15,5.77,0.0,992.0,18.335,5732.0,0.97,0.99,0.02,593.54
2070,11.29695137,0.1033,1.7,3.53,3.95,0.0,907.0,9.9,6037.0,1.11,1.07,-0.02,1122.0
2071,5.169796,0.051,1.94,24.6,18.5,0.0,569.0,17.77,4648.0,0.59,0.58,-0.2,400.409
2072,20.09,0.11796,2.36,11.4,4.77,0.0,362.0,43.34,4082.0,0.61,0.66,-0.2,400.409
2073,9.77,0.07295,2.83,42.1,10.2,0.0,460.0,31.38,4082.0,0.61,0.66,-0.2,400.409
2074,6.88337562,0.0678,2.11,5.1,2.98,0.0,857.0,23.559,5698.0,0.97,0.98,0.03,1073.76
2075,0.56785714,0.0125,1.51,2.89,4.61,0.0,1848.0,4.126,5039.0,0.77,0.81,-0.02,575.322
2076,51.92927591,0.2742,5.63,27.0,0.831,0.0,574.0,77.98,5602.0,0.91,0.93,-0.06,2046.68
2077,4.48758907,0.0528,1.25,2.1,5.91,0.0,1305.0,12.25,6079.0,1.15,1.05,-0.12,779.596
2078,8.1818246,0.0759,1.84,4.04,3.56,0.0,981.0,25.74,5976.0,1.08,1.03,-0.08,807.85
2079,3.77360059,0.0453,1.53,2.96,4.54,0.0,1270.0,10.87,5976.0,1.08,1.03,-0.08,807.85
2080,4.51436633,0.055,1.87,4.16,3.5,0.0,1231.0,11.56,6035.0,1.22,1.15,0.14,1201.4
2081,4.16809082,0.0507,1.57,3.09,4.39,0.0,1277.0,11.831,5643.0,0.96,0.98,0.06,1389.27
2082,3.22296927,0.0412,1.77,3.78,3.75,0.0,1239.0,8.7562,5928.0,1.08,1.06,0.04,860.391
2083,1.92279873,0.029,1.31,2.27,5.55,0.0,1215.0,7.723,5191.0,0.8,0.84,-0.03,614.571
2084,127.8338098,0.5829,6.09,30.8,0.749,0.0,554.0,43.8,6260.0,1.36,1.23,0.09,1387.2
2086,5.902206,0.063,2.47,6.66,2.43,0.0,926.0,15.26,5428.0,0.95,0.96,0.211,904.326
2087,2.382961,0.034,1.77,3.78,3.75,0.0,1253.0,8.34,5428.0,0.95,0.96,0.211,904.326
2088,51.54,0.2626,5.34,13.9,0.494,0.007,450.0,64.7,5529.0,0.9,0.91,0.211,904.326
2089,26.44,0.1683,4.07,12.15,0.98,0.0033,562.0,41.47,5529.0,0.9,0.91,0.211,904.326
2090,33.1995648,0.1894,2.76,8.05,2.1,0.0,485.0,52.04,5279.0,0.81,0.86,-0.06,664.306
2091,10.03538581,0.0886,5.11,22.9,0.943,0.0,786.0,23.567,5638.0,0.92,0.94,-0.08,925.037
2092,3.99010623,0.0493,9.03,60.2,0.449,0.0,1124.0,9.6,5861.0,1.03,1.03,0.02,1484.46
2093,10.50682565,0.0895,10.24,74.5,0.381,0.0,668.0,23.8008,5286.0,0.85,0.9,0.16,983.697
2094,8.57503552,0.0888,4.11,15.8,1.25,0.0,1374.0,7.617,5028.0,3.42,1.25,-0.03,1259.28
2095,6.1469851,0.0695,2.12,5.14,2.96,0.0,1164.0,14.33,6162.0,1.22,1.15,0.01,2055.77
2096,19.12947337,0.1439,2.14,5.22,2.93,0.0,817.0,33.6,5743.0,0.93,0.95,-0.13,840.0
2097,10.11716531,0.1024,3.55,12.3,1.51,0.0,1163.0,8.91,6761.0,1.71,1.45,0.02,1482.74
2098,23.58447697,0.1583,2.7,7.75,2.16,0.0,730.0,17.1,5747.0,1.24,1.01,0.05,985.041
2099,4.59725385,0.055,1.93,4.38,3.35,0.0,1105.0,12.27,5803.0,1.04,1.03,0.1,1458.59
2100,20.837846,0.128,1.21,1.92,5.96,0.0,418.0,26.9,4500.0,0.59,0.65,-0.18,348.291
2101,12.04,0.08347,2.37,4.3,1.77,0.0,502.0,34.89,4385.0,0.59,0.64,-0.18,348.291
2102,5.955,0.0522,2.42,17.2,6.67,0.0,635.0,19.882,4385.0,0.59,0.64,-0.18,348.291
2103,55.63934,0.2901,3.01,9.32,1.88,0.0,478.0,52.5,5734.0,0.98,0.99,0.04,961.405
2104,0.63133235,0.0116,1.46,2.73,4.82,0.0,1322.0,4.447,4653.0,0.71,0.76,0.05,321.0
2105,117.93108781,0.4884,10.42,76.8,0.373,0.0,418.0,137.6,5965.0,1.06,1.04,-0.04,1492.95
2106,8.09219642,0.0764,1.14,1.55,5.75,0.0,1089.0,6.4,5770.0,1.16,0.99,0.0,361.896
2107,30.8638931,0.1978,2.89,8.7,1.98,0.0,743.0,28.6,6112.0,1.65,1.19,-0.06,638.49
2108,9.65185017,0.0872,1.14,1.55,5.75,0.0,890.0,17.2,5817.0,1.05,1.01,0.0,649.65
2109,14.37457351,0.1137,1.94,4.42,3.33,0.0,779.0,23.352,5817.0,1.05,1.01,0.0,649.65
2110,50.28638192,0.2678,3.79,13.8,1.39,0.0,543.0,61.77,5919.0,1.12,1.05,0.02,639.771
2111,40.0587473,0.2265,3.54,12.3,1.52,0.0,489.0,22.1,5507.0,0.9,0.93,0.06,780.585
2112,11.41928253,0.0795,2.0,4.66,3.2,0.0,419.0,21.83,4435.0,0.63,0.67,-0.17,440.426
2113,14.13176026,0.1106,2.85,8.5,2.02,0.0,675.0,14.7,5315.0,0.82,0.85,-0.09,1019.26
2115,0.9867873,0.0175,1.21,1.92,5.96,0.0,1054.0,6.493,4540.0,0.68,0.73,0.04,369.451
2116,4.64489,0.0491,1.6,4.13,3.75,0.0,629.0,17.69,4540.0,0.68,0.73,0.04,369.451
2117,3.07222,0.0372,1.53,6.75,7.04,0.0,722.0,12.8,4540.0,0.68,0.73,0.04,369.451
2118,9.52355,0.0792,2.74,6.74,1.22,0.0,495.0,31.94,4540.0,0.68,0.73,0.04,369.451
2119,7.05246,0.0648,2.67,6.93,1.38,0.0,547.0,22.94,4540.0,0.68,0.73,0.04,369.451
2120,3.5224991,0.0474,15.872,187.5197,0.27,0.0,1680.0,6.854,6213.0,1.49,1.21,-0.055,1021.87
2121,15.19419956,0.1214,2.781,8.15,2.08,0.0,893.0,17.3,5588.0,1.59,1.03,0.14,1509.084
2122,133.4605235,0.5167,6.88,37.9,0.64,0.0,433.0,73.8,5681.0,0.93,0.95,-0.07,1509.084
2123,13.71933369,0.1174,2.39,6.3,2.54,0.0,864.0,19.137,6224.0,1.29,1.19,0.03,972.274
2124,27.07237711,0.181,2.17,5.35,2.88,0.0,605.0,30.33,5680.0,0.95,0.96,-0.02,1315.26
2125,6.40087618,0.0662,1.3,2.24,5.6,0.0,1109.0,19.743,5475.0,1.09,0.93,0.09,817.584
2126,29.6193421,0.1817,1.68,3.46,4.01,0.0,580.0,20.5,5631.0,0.96,0.94,-0.02,492.122
2127,11.13125132,0.1036,2.11,5.1,2.98,0.0,952.0,20.34,5839.0,1.38,1.19,0.34,931.192
2128,4.24153639,0.0491,1.37,2.45,5.24,0.0,1177.0,10.7,5745.0,0.97,0.98,0.0,985.699
2129,11.30119217,0.0988,1.96,4.5,3.28,0.0,852.0,21.65,5971.0,1.12,1.09,0.08,1425.47
2130,14.5539759,0.1256,3.05,9.53,1.85,0.0,939.0,10.1,6383.0,1.47,1.3,0.06,1266.34
2131,13.73469807,0.101,2.18,5.39,2.86,0.0,634.0,45.57,5208.0,0.8,0.84,-0.05,703.168
2132,81.0659,0.386,3.49,4.1,0.53,0.012,511.0,63.68,6174.0,1.3,1.17,-0.073,1020.72
2133,52.0902,0.287,7.16,6.0,0.09,0.025,592.0,47.42,6174.0,1.3,1.17,-0.073,1020.72
2134,27.4029,0.187,3.72,5.9,0.62,0.03,734.0,30.9,6174.0,1.3,1.17,-0.073,1020.72
2135,13.4845,0.117,3.47,10.9,1.43,0.015,929.0,19.26,6174.0,1.3,1.17,-0.073,1020.72
2136,8.63847725,0.0951,2.12,5.14,2.96,0.0,1419.0,12.312,5870.0,1.02,1.01,-0.06,1480.16
2137,8.39846269,0.0835,2.55,7.04,2.33,0.0,984.0,8.54,6159.0,1.23,1.16,0.05,1775.8
2138,0.9283105,0.0159,1.28,2.18,5.71,0.0,1115.0,6.0,4248.0,0.62,0.65,-0.09,503.568
2139,53.5293487,0.2548,2.43,6.48,2.48,0.0,348.0,75.21,4838.0,0.74,0.81,0.09,485.318
2141,31.5922646,0.1967,1.58,3.12,4.35,0.0,688.0,19.2,5674.0,1.32,1.0,0.07,1303.72
2142,7.05395,0.0684,2.332,6.04,2.62,0.0,840.0,34.22,5411.49,0.87,0.94,-0.03,516.09
2143,4.29264638,0.0491,0.78,0.399,4.62,0.0,991.0,9.7,5521.0,0.89,0.93,0.01,516.09
2144,158.6853308,0.5444,3.21,10.4,1.73,0.0,350.0,52.8,5867.0,1.01,0.98,-0.14,446.844
2145,13.2140732,0.1019,2.89,8.7,1.98,0.0,629.0,16.8,5162.0,0.78,0.81,-0.1,1064.47
2146,0.67737516,0.015,0.89,0.64,4.99,0.0,2099.0,2.8794,5769.0,1.02,1.01,0.05,557.652
2148,7.09714223,0.0533,0.92,0.721,5.09,0.0,425.0,26.17,3804.0,0.44,0.46,-0.43,283.155
2149,3.75574426,0.0453,1.68,3.46,4.01,0.0,977.0,12.67,5102.0,0.77,0.81,-0.09,938.168
2150,5.72812599,0.0519,1.47,2.76,4.77,0.0,569.0,22.605,4043.0,0.56,0.58,-0.17,443.106
2151,4.89718784,0.0523,1.28,2.18,5.71,0.0,904.0,20.97,5071.0,0.78,0.83,0.05,727.904
2152,0.97486893,0.0187,1.19,1.81,5.9,0.0,1612.0,4.664,5468.0,0.84,0.92,-0.04,398.676
2153,11.0895723,0.1114,3.17,10.2,1.76,0.0,1422.0,8.84,6403.0,2.42,1.57,0.04,917.804
2154,3.74910006,0.047,1.43,2.63,4.94,0.0,1160.0,15.63,5850.0,1.01,1.04,0.05,547.026
2155,12.99207337,0.1071,1.82,3.97,3.62,0.0,866.0,16.683,5714.0,1.11,0.98,0.03,1130.21
2156,8.73485836,0.0843,1.82,3.97,3.62,0.0,890.0,14.62,5906.0,1.05,1.03,0.01,1393.85
2157,4.15244722,0.0616,1.4,2.54,5.09,0.0,1941.0,12.366,5598.0,0.92,0.94,-0.01,930.457
2158,1.47532231,0.0309,1.2,1.87,5.95,0.0,2740.0,4.913,5598.0,0.92,0.94,-0.01,930.457
2159,18.92540274,0.1694,2.3,5.9,2.66,0.0,1171.0,39.48,5598.0,0.92,0.94,-0.01,930.457
2160,3.57878087,0.04501,10.761,136.661,0.603,0.0,1440.0,9.764,5520.0,0.99,0.95,0.2,639.411
2161,15.9870174,0.1297,1.79,3.86,3.7,0.0,803.0,18.8,6186.0,1.28,1.19,0.06,1169.57
2162,7.42608998,0.0778,2.92,8.85,1.95,0.0,1037.0,15.83,6186.0,1.28,1.19,0.06,1169.57
2163,11.3910025,0.092,1.79,3.86,3.7,0.0,618.0,10.8,5108.0,0.78,0.82,-0.03,784.56
2164,161.5280101,0.5874,6.64,35.7,0.67,0.0,366.0,356.7,5694.0,0.94,0.96,-0.05,2251.03
2165,6.10027804,0.066,3.39,11.4,1.61,0.0,990.0,5.81,5992.0,1.15,1.1,0.09,2297.62
2166,27.6655226,0.1754,2.43,6.48,2.48,0.0,641.0,32.9,5901.0,1.06,1.05,0.04,1076.28
2167,7.33683936,0.0724,1.64,3.33,4.15,0.0,875.0,16.22,5557.0,0.89,0.92,-0.06,1047.84
2168,1.19655156,0.0205,1.22,1.98,5.99,0.0,1414.0,7.6,5166.0,0.8,0.84,0.01,962.459
2170,10.12804789,0.0874,2.03,4.78,3.14,0.0,767.0,23.39,5706.0,0.93,0.95,-0.09,830.707
2171,2.46697439,0.0333,1.48,2.79,4.73,0.0,1139.0,11.97,5322.0,0.85,0.89,0.08,792.336
2172,8.70419416,0.0772,3.06,9.59,1.84,0.0,748.0,20.4,5322.0,0.85,0.89,0.08,792.336
2173,1.5449298,0.0274,15.244,638.8383,1.1,0.0,2140.0,4.464,6409.0,1.32,1.2,-0.1,822.96
2174,41.805985,0.2329,2.27,5.77,2.71,0.0,533.0,53.71,5860.0,1.04,1.04,0.06,1073.48
2175,8.1934719,0.0785,1.53,2.96,4.54,0.0,1144.0,11.8,6228.0,1.42,1.16,-0.1,1502.32
2176,20.4966197,0.1447,2.12,5.14,2.96,0.0,843.0,24.8713,6228.0,1.42,1.16,-0.1,1502.32
2177,4.75793986,0.0547,1.69,3.5,3.98,0.0,1372.0,8.2,6228.0,1.42,1.16,-0.1,1502.32
2178,12.1097104,0.1019,2.48,6.71,2.42,0.0,1005.0,15.3,6228.0,1.42,1.16,-0.1,1502.32
2179,1.02267882,0.019,1.36,2.42,5.29,0.0,1734.0,5.785,6014.0,1.13,1.08,0.02,1068.68
2180,1.22486632,0.0219,1.12,1.46,5.71,0.0,1741.0,5.562,5282.0,0.79,0.82,-0.19,852.0
2181,2.85313364,0.0367,1.26,2.13,5.85,0.0,1016.0,9.1,5043.0,0.77,0.82,-0.01,399.034
2182,1.26909037,0.0214,1.76,3.75,3.78,0.0,1331.0,3.01,5043.0,0.77,0.82,-0.01,399.034
2183,14.5596237,0.116,2.01,4.7,3.18,0.0,758.0,20.086,5935.0,1.08,1.06,0.05,1770.27
2184,5.74772501,0.054,1.91,4.31,3.4,0.0,641.0,12.6,4346.0,0.65,0.68,-0.03,274.767
2185,18.82747265,0.1353,2.81,8.3,2.06,0.0,632.0,31.72,5373.0,0.83,0.87,-0.08,1232.29
2186,17.44490636,0.1263,2.46,6.62,2.44,0.0,679.0,32.38,5387.0,0.84,0.87,-0.06,760.43
2187,4.08899022,0.0533,1.62,3.26,4.21,0.0,1537.0,8.84,6160.0,1.23,1.15,0.03,1296.02
2188,9.42887179,0.093,3.07,9.64,1.83,0.0,1163.0,16.709,6160.0,1.23,1.15,0.03,1296.02
2189,8.8849116,0.0818,11.77,3209.9,11.0,0.57,767.0,19.77,5200.0,0.89,0.91,0.3,835.356
2190,17.31716585,0.1054,3.1,9.8,1.81,0.0,454.0,38.3,5009.0,0.75,0.79,-0.11,721.027
2191,7.40742793,0.0745,2.52,6.9,2.37,0.0,938.0,16.137,5934.0,1.1,1.07,0.08,1705.99
2417,1752.92067283,2.906141,12.8,1797.84225,4.71,0.923501,203.0,583.0,5837.0,1.06,1.06,0.17,85.3951
2437,3.98442,0.049,2.16,7.25,3.97,0.075,1311.0,10.11,5863.0,1.05,1.02,0.018,45.683
2446,11.8143,0.1066,7.398,34.9613,0.471,0.22,1089.0,13.11,5576.0,1.75,1.16,0.421,132.345
2467,55.087,0.262,3.89,42.44,3.98,0.197,385.0,64.676,5212.0,0.87,0.83,0.04,36.9941
2468,2041.54151819,3.167126,12.7,2108.25626,5.66,0.04915,156.0,669.0,5722.0,1.09,1.01,0.11,87.8049
2480,9.4897116,0.0805,2.12,8.3,4.8,0.05,751.0,24.2,5212.0,0.73,0.85,-0.23,21.5618
2495,9.1205,0.0906,2.466,12.7132,4.17,0.2,690.0,23.62,5089.0,0.72,0.81,-0.16,62.4491
2526,0.9809734,0.01782,22.754,1021.18779,0.48,0.0,1411.0,5.289,4590.0,0.72,0.78,0.18,61.7856
2556,3.58599,0.048,2.085,5.0,3.03,0.3,1572.0,7.87,6201.0,1.31,1.15,-0.14,31.964
2557,5.97293,0.0674,1.939,4.42,3.33,0.19,1326.0,11.06,6201.0,1.31,1.15,-0.14,31.964
2558,11.23,0.1027,2.164,5.32,2.88,0.28,1075.0,16.85,6201.0,1.31,1.15,-0.14,31.964
2566,19.3044,0.137,3.84,27.0,2.6,0.31,703.0,28.7,5620.0,0.98,0.92,-0.07,272.36
2567,1.6739035,0.0301,3.88,21.8,2.04,0.0,1841.0,5.21,5945.0,1.24,1.15,0.22,188.959
2568,14.6762429,0.1124,2.0,4.66,3.2,0.1,618.0,31.82,4927.0,0.76,0.82,0.07,188.33
2570,1.9741954,0.0242,1.79,3.86,3.7,0.09,798.0,10.89,3712.0,0.48,0.51,0.18,189.289
2572,3.313959,0.0475,15.98,266.9772,0.35,0.0,1649.0,6.42,6061.0,1.81,1.3,0.14,685.2
2573,4.733999,0.0581,5.33,59.4,2.22,0.18,1360.0,9.86,5599.0,1.76,1.17,0.36,477.295
