,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
94,CoRoT-22 b,CoRoT-22,9.75598,0.092,4.880,12.20000,0.249000,0.077000,885,17.3,5939.00,1.14,1.10,0.170,627.1580000,1, ,4.36,3.300
95,CoRoT-23 b,CoRoT-23,3.6313,0.048,11.770,889.90000,3.000000,0.160000,1660,6.85,5900.00,1.61,1.14,0.050,1060.9700000,1, ,4.30,7.200
96,CoRoT-24 b,CoRoT-24,5.1134,0.056,3.700,5.70000,0.900000,0.000000,1070,10.9,4950.00,0.86,0.91,0.300,591.5550000,2, ,4.55,11.000
97,CoRoT-24 c,CoRoT-24,11.759,0.098,5.000,28.00000,1.300000,0.000000,850,18.0,4950.00,0.86,0.91,0.300,591.5550000,2, ,4.55,11.000
98,CoRoT-25 b,CoRoT-25,4.86069,0.0578,12.110,85.81000,0.150000,0.000000,1330,10.2,6040.00,1.19,1.09,-0.010,1103.4800000,1, ,4.31,4.500
99,CoRoT-26 b,CoRoT-26,4.20474,0.0526,14.120,165.26000,0.280000,0.000000,1600,6.28,5590.00,1.79,1.09,0.010,1045.1800000,1, ,3.99,8.600
100,CoRoT-27 b,CoRoT-27,3.57532,0.0476,11.287,3302.11000,12.600000,0.065000,1500,9.48,5900.00,1.08,1.05,-0.100,1010.2800000,1, ,4.40,4.210
101,CoRoT-28 b,CoRoT-28,5.20851,0.0603,10.705,153.82972,0.690000,0.047000, ,7.29,5150.00,1.78,1.01,0.150,766.1830000,1, ,3.60,12.000
102,CoRoT-29 b,CoRoT-29,2.85057,0.0386,10.088,270.15550,1.450000,0.082000, ,9.22,5260.00,0.90,0.97,0.200,806.5070000,1, ,4.30,4.500
103,CoRoT-3 b,CoRoT-3,4.2568,0.05783,11.320,6883.91000,26.400000,0.000000,1695,7.8,6740.00,1.56,1.37,0.140,768.7710000,1, ,4.22,2.200
104,CoRoT-30 b,CoRoT-30,9.06005,0.0844,11.310,921.70700,3.450000,0.007000, ,21.0,5650.00,0.91,0.98,0.020,1032.2300000,1, ,4.40,3.000
105,CoRoT-31 b,CoRoT-31,4.62941,0.0586,16.365,266.97720,0.330000,0.020000, ,7.2,5700.00,2.15,1.25,0.000,2005.7600000,1, ,3.85,4.700
106,CoRoT-35 b,CoRoT-35,3.22748,0.0429,18.831,349.61125,0.290000,0.000000,1747,5.590832754538789,6390.00,1.65,1.01,-0.500,1123.2100000,1, ,4.01,6.100
107,CoRoT-36 b,CoRoT-36,5.616531,0.066,15.805,216.12332,0.250000,0.000000,1567,9.33691704958401,6730.00,1.52,1.32,-0.100,925.9580000,1, ,4.16,2.100
108,CoRoT-4 b,CoRoT-4,9.20205,0.09,13.340,228.83000,0.525000,0.000000,1074,17.36,6190.00,1.17,1.16,0.050,726.4120000,1,203.95,4.41,1.000
109,CoRoT-5 b,CoRoT-5,4.0378962,0.04947,15.558,148.42000,0.217000,0.090000,1438,9.54,6100.00,1.19,1.00,-0.250,882.4720000,1,786.29,4.19,6.900
110,CoRoT-6 b,CoRoT-6,8.886593,0.0855,13.068,940.74000,2.320000,0.100000,1017,17.94,6090.00,1.03,1.05,-0.200,645.2940000,1, ,4.43,2.500
111,CoRoT-7 b,CoRoT-7,0.85359163,0.017016,1.681,4.07661,9.355000,0.000000,1756,4.26,5275.00,0.83,0.82,0.050,159.9060000,3, ,4.50,1.800
112,CoRoT-7 c,CoRoT-7,3.698,0.046,2.830,8.40000,2.040000,0.000000, ,11.501713180178188,5256.00,0.86,0.90,0.060,159.9060000,3, ,4.52,1.800
113,CoRoT-7 d,CoRoT-7,8.966,,4.310,17.14200,1.180000, , ,,5250.00,0.84,0.92,0.020,159.9060000,3, ,4.57,1.800
114,CoRoT-8 b,CoRoT-8,6.21229,0.063,6.390,69.92000,1.600000,0.000000,870,17.6,5080.00,0.77,0.88,0.300,322.0370000,1, ,4.58,3.000
115,CoRoT-9 b,CoRoT-9,95.272656,0.4021,11.949,266.97720,0.860000,0.133000,420,89.9,5625.00,0.96,0.96,-0.010,412.9800000,1, ,4.54,6.000
116,CoRoTID 223977153 b,CoRoTID 223977153,6.71837,0.071,6.389,47.67450,1.100000, ,938,11.69,5970.00,0.79,1.08,0.000,576.6830000,1,132.26,4.67, 
117,DE CVn b,DE CVn,4098.1,5.75,12.400,3823.27330,11.000000,0.000000, ,2943.8908734979887,3579.00,0.42,0.51, ,30.5225000,1, ,4.80, 
118,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,0.36,11.900,9057.77000,29.500000,0.345000, ,, , ,0.07, ,20.7700000,1, , ,1.000
119,DH Tau b,DH Tau,3165.0796094172,330.0,30.264,3496.00000,0.693000, ,2200,262816.92435866094,4371.00,0.27,0.33, ,134.8460000,1, ,4.00,0.001
120,DMPP-1 b,DMPP-1,18.57,0.1462,5.290,24.27000,0.901000,0.083000,877,24.950541780023528,6196.00,1.26,1.21, ,62.5388000,4, ,4.41,2.010
121,DMPP-1 c,DMPP-1,6.584,0.0733,3.060,9.60000,1.840000,0.057000,1239,12.509402958110291,6196.00,1.26,1.21, ,62.5388000,4, ,4.41,2.010
122,DMPP-1 d,DMPP-1,2.882,0.0422,1.650,3.35000,4.100000,0.070000,1632,7.201866368789282,6196.00,1.26,1.21, ,62.5388000,4, ,4.41,2.010
123,DMPP-1 e,DMPP-1,5.516,0.0651,1.860,4.13000,3.530000,0.070000,1314,11.10998816607067,6196.00,1.26,1.21, ,62.5388000,4, ,4.41,2.010
124,DMPP-2 b,DMPP-2,5.2072,0.0664,14.300,138.89171,0.261000,0.078000,1000,8.021419509537068,6500.00,1.78,1.44, ,137.9400000,1, ,4.10,2.000
125,DMPP-3 A b,DMPP-3 A,6.6732,0.0662,1.410,2.58000,5.060000,0.140000,854,15.642989363925096,5138.00,0.91,0.87,0.180,45.2300000,1, ,4.30,10.900
126,DP Leo b,DP Leo,10220.0,8.19,12.700,1995.88832,5.350000,0.390000, ,176111.23176797185,13500.00,0.01,0.69, ,305.6840000,1, , , 
127,DS Tuc A b,DS Tuc A,8.138268,288.6525,5.700,413.17900, ,0.000000,850,20.35,5428.00,0.96,1.01,0.000,44.0622000,1,115.83,4.60,0.045
128,EPIC 201170410.02,EPIC 201170410,6.7987,0.0349,1.047,1.15000,5.510000,0.000000, ,26.80220647436864,3648.00,0.28,0.29,-0.048,134.0000000,1, ,5.00, 
129,EPIC 201238110 b,EPIC 201238110,28.1656,,1.870,4.16000,3.500000, , ,61.5,3587.00,0.37,0.41, ,159.2590000,1, ,4.78, 
130,EPIC 201427007 b,EPIC 201427007,0.72091,,1.500,2.86000,4.660000, , ,3.1,5633.00,0.94,0.93,-0.053,706.3910000,1, ,4.40, 
131,EPIC 201497682 b,EPIC 201497682,2.13174,,0.692,0.26000,4.310000, , ,,4991.00,0.55,0.78,-0.089,253.0260000,1, ,4.63, 
132,EPIC 201595106 b,EPIC 201595106,0.877214,288.6525,1.300,2.24000,5.600000, ,1874,5.8,5820.00,0.93,1.02,-0.010,232.1000000,1, ,4.60, 
133,EPIC 201615463 c,K2-166,3.80464,,1.220,1.98000,5.990000, , ,,5942.50,1.60,1.07,-0.051,476.8820000,2, ,4.09, 
134,EPIC 201754305 d,K2-16,2.71578,,1.030,1.08000,5.430000, , ,,4761.00,0.54,0.67,-0.330,334.9670000,3, ,4.63, 
135,EPIC 201757695.02,EPIC 201757695,2.0478,0.0296,0.908,0.68800,5.050000,0.000000, ,9.643860695474832,4520.00,0.66,0.73,-0.003,577.6000000,1, ,4.66, 
136,EPIC 201833600 c,K2-50,3.96151,,1.000,0.97200,5.340000, , ,12.4,4292.67,0.63,0.61,-0.113,257.4430000,2, ,4.74, 
137,EPIC 201841433 b,EPIC 201841433,4.1698,0.035,1.040,1.12000,5.470000, , ,11.5,5053.00,0.63,0.80,0.000,436.4880000,1, ,4.59, 
138,EPIC 205950854 c,K2-168,8.050722,288.6525,1.310,2.27000,5.550000, ,961,16.18,5502.70,0.83,0.88,-0.130,243.9350000,2, ,4.39, 
139,EPIC 206024342 b,EPIC 206024342,4.50756,,1.700,3.53000,3.950000, , ,13.9,5724.00,0.82,0.93,-0.220,369.8880000,3, ,4.59, 
140,EPIC 206024342 c,EPIC 206024342,0.911724,,1.400,2.54000,5.090000, , ,4.7,5724.00,1.10,0.93,-0.220,369.8880000,3, ,4.50, 
141,EPIC 206024342 d,EPIC 206024342,14.647531,,2.600,7.27000,2.270000, , ,29.0,5724.00,1.10,0.93,-0.220,369.8880000,3, ,4.50, 
142,EPIC 206032309 b,EPIC 206032309,2.87814,,1.010,1.01000,5.390000, , ,,3489.00,0.37,0.22, ,161.3650000,1, ,4.85, 
143,EPIC 206042996 b,EPIC 206042996,5.2986,,1.700,3.53000,3.950000, , ,16.0,4114.00,0.50,0.57,0.006,451.7690000,2, ,4.80, 
144,EPIC 206042996 c,EPIC 206042996,0.354884,,1.200,1.87000,5.950000, , ,2.6,4114.00,0.50,0.57,0.006,451.7690000,2, ,4.80, 
145,EPIC 206215704 b,EPIC 206215704,2.255436,,1.000,0.97200,5.340000, , ,17.0,3297.00,0.25,0.41,-0.330,109.8880000,1, ,4.90, 
146,EPIC 206317286 b,EPIC 206317286,1.58252,,0.960,0.84000,5.220000, , ,6.1,4864.00,0.67,0.71,0.019,314.3500000,2, ,4.60, 
147,EPIC 206317286 c,EPIC 206317286,17.515472,,2.094,5.03000,3.010000, , ,34.54,4752.00,0.76,0.83,0.019,314.3500000,2, ,4.60, 
148,EPIC 211822797 b,EPIC 211822797,21.1701963,0.1195,1.920,4.35000,3.380000,0.060000,431,44.37,4057.00,0.58,0.62,0.200,186.1970000,1,3.50,4.70,0.790
149,EPIC 211945201 b,EPIC 211945201,19.49221,0.1493,5.760,27.00000,0.650000,0.000000,817,35.63,6069.00,1.39,1.17,0.100,181.6900000,1,31.91,4.22,3.990
150,EPIC 212297394 b,EPIC 212297394,2.289363,288.6525,1.480,2.79000,4.730000, ,1149,8.53,5171.00,0.80,0.83,-0.030,418.3950000,2, ,4.55, 
