,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius_[earth_radius],planet_mass_or_mass*sin(i)_[earth_mass],planet_density_[g/cm**3],eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
945,HD 285968 b,HD 285968,8.78360000,0.066000,2.830,8.40000,2.040000,0.000000,450, ,3703.49,0.48,0.50,-0.100,9.4704500
946,HD 28678 b,HD 28678,380.20000000,1.180000,13.500,490.09386,1.090000,0.149000, , ,4972.00,6.48,1.53,-0.110,189.9080000
947,HD 29021 b,HD 29021,1362.30000000,2.280000,12.900,1420.69298,3.640000,0.459000, , ,5560.00,0.85,0.85,-0.240,30.9939000
948,HD 290327 b,HD 290327,2443.00000000,3.430000,13.300,772.32690,1.800000,0.080000, , ,5505.00,0.95,0.84,-0.140,56.4330000
949,HD 29399 b,HD 29399,892.70000000,1.913000,13.500,498.99060,1.110000,0.050000, , ,4845.00,4.50,1.17,0.140,44.1518000
950,HD 2952 b,HD 2952,311.60001000,1.230000,13.600,435.42710,0.951000,0.130000, , ,4844.00,10.76,1.97,0.000,110.1030000
951,HD 29985 b,HD 29985,20608.14048834,13.283797,12.800,1881.53397,4.930000,0.261318, , ,4678.00,0.57,0.75,-0.220,31.2707000
952,HD 30177 b,HD 30177,2514.53421506,3.603011,12.500,2761.28875,7.770000,0.206645, , ,5580.00,1.02,0.98,0.370,55.5867000
953,HD 30177 c,HD 30177,12085.45185585,10.273072,12.700,2084.54271,5.590000,0.038869, , ,5580.00,1.18,0.98,0.330,55.5867000
954,HD 30562 b,HD 30562,1157.00000000,2.340000,13.700,387.75260,0.829000,0.760000, , ,5882.00,1.61,1.12,0.200,26.1597000
955,HD 30669 b,HD 30669,1684.00000000,2.690000,14.300,149.37000,0.281000,0.180000, , ,5400.00,0.91,0.92,0.130,58.0844000
956,HD 30856 b,HD 30856,847.00000000,1.850000,13.500,491.68301,1.100000,0.061000, , ,4895.00,4.40,1.17,-0.060,131.1990000
957,HD 31253 b,HD 31253,466.00000000,1.260000,14.100,197.05460,0.386000,0.300000, , ,6130.00,1.75,1.70,0.170,58.1438000
958,HD 31527 b,HD 31527,16.55350000,0.125400,3.220,10.47000,1.720000,0.100000, , ,5898.00,1.07,0.96,-0.170,38.4473000
959,HD 31527 c,HD 31527,51.20530000,0.266300,3.850,14.16000,1.360000,0.040000, , ,5898.00,1.07,0.96,-0.170,38.4473000
