,planet_radius,planet_mass,planet_density
223,2.46,6.6,2.44
224,3.25,10.6,1.7
225,4.57,13.9,0.8
226,1.264,1.86,5.03
227,2.63,7.41,2.24
228,14.3,146.20107,0.275
229,9.32,63.56568,0.431
230,1.217,1.84,5.6
231,1.66,3.4,4.08
232,2.34,6.1,2.62
233,2.83,8.4,2.04
234,0.718,0.546,8.106
235,2.75,8.0,2.11
236,1.09,1.75,7.3
237,2.26,5.71,2.72
238,1.17,1.71,5.87
239,2.57,7.14,2.31
240,1.38,2.47,5.16
241,2.38,6.26,2.55
242,1.45,2.69,4.85
243,2.63,7.6,2.3
244,8.4,53.83,0.499
245,3.33,11.07,1.65
246,4.22,16.57,1.21
247,2.33,6.043,2.63
248,6.27,32.422,0.723
249,2.14,5.223,2.93
250,4.17,22.1,1.8
251,3.69,13.2,1.44
252,1.305,2.82,7.0
253,13.0,1271.3,3.18
254,2.13,5.2,2.96
255,2.17,5.36,2.88
256,4.11,15.8,1.25
257,2.21,5.5,2.8
258,1.17,1.7,5.83
259,1.49,2.82,4.68
260,12.5,104.244,0.293
261,2.23,5.6,2.77
262,1.77,3.8,3.77
263,1.45,2.7,4.87
264,1.45,2.7,4.87
265,1.99,4.6,3.21
266,3.33,11.09,1.65
267,12.8,1837.01057,4.81
268,12.3,4271.00959,12.6
269,1.77,3.79832,3.76
270,2.48,6.69167,2.41
271,12.0,7764.94529,24.7
272,1.93,4.4,3.36
273,2.89,8.7,1.98
274,2.95,9.0,1.93
275,4.32,17.2,1.17
276,4.14,16.0,1.24
277,3.77,13.64,1.4
278,1.53,2.96,4.54
279,14.0,216.0,0.433
280,13.9,286.04557,0.585
281,14.0,223.11554,0.447
282,12.9,1404.8086,3.6
283,13.3,723.2235,1.69
284,14.0,226.9846,0.455
285,2.51,6.83,2.37
286,3.92,14.6,1.33
287,1.88,4.2,3.47
288,2.67,7.6,2.19
289,13.3,718.2922,1.68
290,9.6,66.74397,0.415
291,4.67,19.66,1.06
292,3.07,9.65,1.83
293,12.5,3051.24439,8.58
294,1.577,4.91,6.93
295,1.241,0.84,2.42
296,2.022,4.04,2.69
297,16.477,6261.21962,8.222423
298,33.6,6356.0,0.921
299,20.176,5000.0,3.35
300,14.179,3591.3,6.92
301,13.776,533.95172,1.12
302,14.818,259.66581,0.439
303,3.66,13.02,1.46
304,2.24,5.63,2.75
305,2.46,6.624,2.45
306,14.785,166.86075,0.282
307,4.36,26.69772,1.68
308,13.3,731.009,1.71
309,10.749,67.059,0.3192
310,14.258,270.462,0.362
311,12.3,4538.421,13.4
312,15.917,1093.3352,1.56
313,11.882,616.5902,1.96
314,14.448,1332.605,2.42
315,11.769,184.3414,0.64
316,13.1,1080.6,2.64
317,11.153,62.61,0.25
318,12.689,92.802,0.25
319,10.66,2765.121,7.29
320,9.718,2302.899,13.78
321,12.442,1547.8321,4.6
322,12.89,785.0401,2.14
323,12.218,425.8922,1.406
324,14.572,238.3725,0.44
325,12.722,180.84527,0.483
326,7.062,22.2481,0.4
327,11.43,197.05,0.76
328,13.585,198.953,0.44
329,13.115,279.6904,0.79
330,10.536,206.5895,0.855
331,16.141,263.7989,0.309
332,12.218,721.4741,2.18
333,22.194,216.1244,0.108
334,20.737,292.4036,0.2
335,13.417,1058.3739,2.5
336,14.93,335.62848,0.55
337,14.314,587.41341,1.175
338,13.204,371.528,0.89
339,9.247,84.857,0.59
340,17.609,190.372,0.19
341,14.28,213.255,0.403
342,17.038,152.5584,0.15
343,22.978,378.2177,0.204
344,14.348,331.801,0.61
345,13.63,210.395,0.39
346,13.922,111.871,0.23
347,13.0,1271.3,3.18
348,15.984,283.492,0.38
349,14.392,156.684,0.28
350,17.822,699.226,0.75
351,13.563,311.4734,0.642
352,14.437,429.0705,0.78
353,14.493,98.20947,0.178
354,11.31,259.98494,0.98
355,14.773,471.65972,0.8
356,10.581,241.5508,1.118
357,13.249,184.97706,0.435
358,16.926,734.1873,0.75
359,19.504,448.1403,0.332
360,14.93,118.23217,0.194
361,12.588,489.45575,1.347
362,16.589,419.5356,0.558
363,18.282,182.43351,0.164
364,10.077,335.94463,1.8
365,12.027,241.86742,0.77
366,12.543,195.14664,0.54
367,19.089,184.34048,0.144
368,21.185,167.49641,0.096
369,17.822,248.86089,0.242
370,23.371,108.0622,0.052
371,12.016,230.10892,0.727
372,18.786,1137.8314,1.02
373,16.926,584.8072,0.712
374,20.961,2154.8874,1.54
375,15.693,406.8224,0.568
376,15.614,238.05467,0.342
377,14.594,589.55,1.03
378,10.862,167.17858,0.7
379,18.03,263.7989,0.315
380,7.76,759.6137,1.12
381,13.585,172.58169,0.377
382,11.646,340.39593,1.191
383,12.386,689.6911,1.97
384,14.572,1039.3041,1.86
385,8.709,425.25654,3.5
386,14.897,629.14449,1.1169
387,13.092,427.463,1.05
388,10.682,870.8542,3.89
389,20.849,467.2101,0.29
390,15.637,718.2958,1.03
391,14.123,194.82979,0.38
392,19.616,206.5895,0.153
393,16.814,168.4499,0.18
394,13.384,213.58176,0.48
395,14.022,207.54299,0.411
396,15.48,340.382,0.51
397,13.171,224.38798,0.543
398,18.383,279.6904,0.243
399,14.0,292.4036,0.58
400,13.787,378.85336,0.79
401,16.029,299.07803,0.4
402,16.41,388.38826,0.484
403,12.92,1022.14128,2.12
404,6.793,31.46517,0.55
405,6.882,23.51942,0.403
406,17.598,200.2329,0.202
407,11.433,420.471,1.55
408,17.71,505.3497,0.49
409,14.908,3082.951,5.1
410,15.693,597.5204,0.83
411,13.227,82.95363,0.191
412,11.96,177.9848,0.56
413,14.415,222.481,0.41
414,10.122,54.98459,0.28
415,12.52,117.27927,0.331
416,8.967,77.23269,0.589
417,8.575,112.19399,0.986
418,10.223,75.323,0.39
419,12.666,123.9537,0.33
420,15.805,244.09344,0.34
421,15.491,711.9392,1.06
422,15.02,189.10885,0.303
423,11.377,239.32479,0.77
424,14.022,292.72143,0.587
425,18.921,191.33366,0.155
426,12.767,1000.21101,2.65
427,12.274,327.3649,0.96
428,12.621,256.17098,0.7
429,12.3,4036.441,11.9
430,11.187,101.38777,0.399
431,12.924,210.40346,0.537
432,13.395,1080.622,2.47
433,11.825,56.89157,0.076
434,13.529,305.1168,0.67
435,18.82,305.1168,0.245
436,16.825,260.93843,0.3
437,15.816,1694.0339,2.34
438,18.887,460.8535,0.374
439,13.809,410.0007,0.856
440,10.593,183.38791,0.46
441,6.311,38.1396,0.83
442,15.513,4100.007,6.64
443,11.478,117.5971,0.42
444,8.097,39.85588,0.411
445,11.568,464.02947,1.64
446,9.909,156.05375,0.878
447,12.094,835.57088,2.58
448,13.058,436.69623,1.077
449,9.785,43.86054,0.259
450,13.85,266.02371,0.626
451,77.342,239000.0,2.84
452,13.5,511.7063,1.14
453,13.8,327.3649,0.684
454,3.68,13.1,1.44
455,3.45,11.75,1.57
456,5.39,25.1,0.881
457,5.24,23.9,0.913
458,4.91,21.4,0.993
459,9.4,64.4,0.426
460,10.6,79.4575,0.367
461,8.47,54.0311,0.489
462,14.2,130.3103,0.25
463,12.9,1570.0802,4.02
464,12.6,2593.4928,7.12
465,13.5,483.1016,1.08
