,planet_radius,planet_mass,planet_density
934,8.24,51.48846,0.506
935,12.7,2155.40718,5.78
936,12.9,1525.57635,3.91
937,2.199,18.496,9.56
938,4.23,7.943,0.577
939,3.25,5.681,0.909
940,12.8,1853.51476,4.86
941,12.1,6224.47064,19.3
942,12.1,98.81588,0.307
943,13.7,368.67,0.788
944,13.8,311.4734,0.651
945,2.83,8.4,2.04
946,13.5,490.09386,1.09
947,12.9,1420.69298,3.64
948,13.3,772.3269,1.8
949,13.5,498.9906,1.11
950,13.6,435.4271,0.951
951,12.8,1881.53397,4.93
952,12.5,2761.28875,7.77
953,12.7,2084.54271,5.59
954,13.7,387.7526,0.829
955,14.3,149.37,0.281
956,13.5,491.68301,1.1
957,14.1,197.0546,0.386
958,3.22,10.47,1.72
959,3.85,14.16,1.36
960,3.46,11.82,1.57
961,1.627,4.73,5.5
962,2.923,10.67,2.35
963,2.09,5.03,3.03
964,3.09,9.74,1.81
965,13.1,966.16,2.36
966,14.0,222.481,0.446
967,14.3,152.5584,0.287
968,13.6,476.74261,1.04
969,13.7,400.46379,0.856
970,13.9,282.86728,0.579
971,9.32,63.56568,0.431
972,9.718,77.55052,0.464
973,12.5,104.56607,0.294
974,12.5,2892.1,8.14
975,13.4,638.8383,1.46
976,13.5,556.2025,1.24
977,13.9,260.6206,0.533
978,8.42,53.5,0.492
979,6.07,30.7,0.754
980,4.26,16.8,1.19
981,6.88,37.9,0.64
982,13.6,120.6,0.263
983,13.0,1195.0408,2.99
984,14.0,238.37131,0.477
985,10.1,72.46524,0.386
986,14.0,214.53525,0.43
987,14.1,207.22516,0.406
988,14.0,221.20968,0.443
989,13.2,854.9627,2.04
990,13.1,1013.8777,2.48
991,8.56,54.98431,0.482
992,14.0,127.132,0.255
993,14.1,206.34463,0.404
994,12.4,3320.46746,9.57
995,12.5,3082.31534,8.67
996,12.4,3889.98524,11.2
997,1.83,4.0,3.59
998,2.39,6.3,2.54
999,1.83,4.0,3.59
1000,2.85,8.5,2.02
1001,1.83,4.0,3.59
1002,2.46,6.6,2.44
1003,3.04,9.5,1.86
1004,2.13,5.2,2.96
1005,2.56,7.1,2.33
1006,13.2,858.141,2.05
1007,12.9,1484.2661,3.8
1008,13.2,807.25,1.93
1009,12.1,5838.29,18.1
1010,13.5,542.78936,1.21
1011,13.5,508.528,1.14
1012,13.3,708.7609,1.66
1013,13.3,689.66,1.61
1014,13.9,257.4423,0.527
1015,3.89,14.4,1.34
1016,4.12,15.8915,1.25
1017,13.4,612.45841,1.4
1018,14.2,176.03781,0.338
1019,12.6,2479.19613,6.81
1020,13.2,810.4665,1.94
1021,14.1,184.33,0.361
1022,3.52,12.19,1.54
1023,2.91,8.81,1.96
1024,13.5,568.89,1.27
1025,9.03,60.16492,0.449
1026,14.2,174.4878,0.335
1027,14.3,137.62039,0.259
1028,12.0,7574.93226,24.1
1029,10.0,71.8,0.395
1030,5.02,22.2481,0.966
1031,13.0,111.42,0.279
1032,13.3,753.23,1.76
1033,13.3,753.23,1.76
1034,13.3,731.009,1.71
1035,13.4,597.5204,1.36
1036,12.6,2330.0,6.4
1037,12.3,4417.837,13.0
1038,13.5,484.69075,1.08
1039,13.5,513.29545,1.15
1040,6.2,31.783,0.733
1041,13.5,519.96988,1.16
1042,13.2,931.2419,2.22
1043,12.9,1574.464,4.03
1044,3.62,12.77,1.48
1045,3.87,14.31,1.36
1046,13.7,384.5743,0.822
1047,2.45,7.8,2.9
1048,4.49,18.4,1.12
1049,13.5,494.54348,1.1
1050,13.8,334.67499,0.7
1051,13.0,1230.0021,3.08
1052,12.8,1837.0574,4.81
1053,13.5,534.27223,1.19
1054,12.5,104.88,0.295
1055,3.71,13.3,1.43
1056,12.8,1893.34292,4.96
1057,12.6,2425.0429,6.66
1058,12.7,2199.3836,5.9
1059,12.7,2065.895,5.54
1060,13.8,336.8998,0.704
1061,13.3,797.7533,1.86
1062,12.2,5538.75835,16.8
1063,12.0,7882.56267,25.1
1064,13.3,731.0,1.71
1065,12.5,2773.33249,7.8
1066,2.15,5.27,2.91
1067,2.67,7.61,2.2
1068,12.31,79.4575,0.234
1069,14.2,168.4499,0.323
1070,2.99,10.8,2.2
1071,2.9,11.1,2.5
1072,4.41,17.8,1.14
1073,13.2,813.64072,1.94
1074,14.2,155.7367,0.299
1075,13.6,411.58985,0.899
1076,13.4,645.1949,1.47
1077,12.8,1906.9,5.0
1078,12.4,3426.60694,9.88
1079,13.3,768.2868,1.79
1080,13.1,973.0,2.38
1081,12.9,1540.0,3.94
1082,13.5,533.9544,1.19
1083,13.1,975.7381,2.39
1084,13.4,626.1251,1.43
1085,12.3,4767.4261,14.1
1086,13.1,966.19836,2.36
1087,3.17,10.2,1.76
1088,3.46,11.8,1.57
1089,4.45,18.1,1.13
1090,12.8,1900.0,4.98
1091,13.4,633.43519,1.45
1092,11.1,85.8141,0.345
1093,13.5,561.92344,1.26
1094,13.1,1071.53588,2.62
1095,12.1,5948.05833,18.4
1096,12.8,1736.44828,4.55
1097,13.0,1325.38828,3.32
1098,12.8,1716.49961,4.5
1099,13.1,978.9164,2.39
1100,13.3,715.09,1.67
1101,13.7,353.42696,0.755
1102,2.79,10.2,2.58
1103,2.39,9.7,3.88
1104,13.5,531.83222,1.19
1105,12.5,2894.47226,8.14
1106,12.6,2652.63439,7.29
1107,14.2,155.7367,0.299
1108,13.8,317.83,0.665
1109,12.8,1792.5612,4.7
1110,13.2,861.3193,2.06
1111,9.6,66.7443,0.415
1112,13.0,1249.0719,3.12
1113,4.12,15.9,1.25
1114,14.1,203.41018,0.399
1115,2.4,6.3566,2.53
1116,2.72,7.86,2.15
1117,2.42,6.44,2.5
1118,13.6,425.8922,0.93
1119,11.994,1392.0954,5.08
1120,1.613,5.6,7.4
1121,13.2,890.0,2.13
1122,14.2,162.09249,0.311
1123,12.5,3257.74117,9.17
1124,12.3,4443.24113,13.1
1125,14.0,218.531,0.438
1126,12.1,6547.0,20.3
1127,1.19,1.83,5.97
1128,1.18,1.75,5.85
1129,1.81,3.93,3.64
1130,1.81,3.93,3.64
1131,12.8,1891.0,4.95
1132,5.38,25.0,0.882
1133,13.8,332.1,0.694
1134,13.5,486.2799,1.09
1135,3.72,13.38,1.43
1136,2.06,3.63,2.82
1137,13.0,1303.103,3.26
1138,13.6,476.745,1.04
1139,13.5,540.3,1.21
1140,12.0,7838.32346,24.9
1141,12.0,7057.73298,22.4
1142,13.3,762.78818,1.78
1143,12.3,4576.72906,13.5
1144,13.3,762.8,1.78
1145,13.4,635.66,1.45
1146,12.3,4327.36,12.8
1147,12.2,4958.12315,15.0
1148,12.4,3756.73177,10.8
1149,12.5,2790.43,7.85
1150,13.6,425.89007,0.93
1151,12.9,1455.6614,3.73
1152,13.8,324.1866,0.678
1153,12.5,2987.58703,8.41
1154,12.6,2415.406,6.64
1155,13.1,1032.9475,2.52
1156,14.1,209.76675,0.411
1157,12.7,2129.461,5.71
1158,12.7,1938.7,5.2
1159,12.5,3223.13586,9.07
1160,18.495,3729.12221,3.24
1161,12.6,2479.0,6.81
1162,12.4,3464.32964,9.98
1163,12.7,2056.3601,5.52
1164,13.4,572.07,1.31
1165,1.03,1.09,5.48
1166,1.05,1.14,5.41
1167,0.913,0.7,5.05
1168,12.7,2002.31896,5.37
1169,15.39,225.34147,0.34
1170,23.203,1398.452,0.62
1171,12.78,378.2,1.06
1172,14.011,451.3186,0.83
1173,15.805,2316.9807,8.09
1174,13.6,435.409,0.951
1175,10.9,82.6358,0.351
1176,11.131,179.89178,0.715
1177,12.778,263.7989,0.64
1178,2.043,6.26,2.92
1179,1.08,1.26,5.5
1180,2.69,7.7,2.17
1181,1.66,3.41,4.1
1182,1.21,1.91,5.92
1183,12.993,232.33373,0.62
1184,11.561,188.15536,0.72
1185,15.278,355.9696,0.54
1186,16.7,1274.44,1.61
1187,10.468,6992.0,33.5
1188,10.4,4386.054,21.4
1189,12.6,2542.62726,6.98
1190,11.433,772.3269,2.79
1191,12.823,293.03926,0.764
1192,12.778,432.2488,1.21
1193,13.45,152.55,0.37
1194,13.787,457.6752,0.84
1195,14.1,196.411,0.385
1196,17.71,158.915,0.118
1197,17.901,467.2101,0.479
1198,16.376,255.85315,0.346
1199,11.545,425.8922,1.59
1200,18.271,200.2329,0.193
1201,11.657,1875.197,7.0
1202,16.365,133.4886,0.141
1203,15.524,692.8694,1.02
1204,13.899,402.05495,0.88
1205,10.559,220.565,1.104
1206,11.657,95.349,0.35
1207,18.159,371.8611,0.354
1208,16.018,231.69807,0.332
1209,11.198,170.99254,0.717
1210,12.5,3003.37,8.45
1211,12.666,807.2882,2.47
1212,18.719,270.1555,0.13
1213,21.633,352.7913,0.131
1214,13.787,529.81995,1.115
1215,20.512,292.4036,0.201
1216,14.235,340.06,0.69
1217,15.244,228.8376,0.3697
1218,15.917,908.9938,1.596
1219,14.46,731.009,0.87
1220,13.227,441.7837,0.94
1221,13.047,187.512,0.499
1222,14.908,305.1168,0.55
1223,12.442,92.1707,0.291
1224,14.796,343.2564,0.665
1225,12.89,136.6669,0.388
1226,15.693,746.9005,1.144
1227,12.464,492.62,1.5
1228,14.247,403.945,0.823
1229,15.805,117.5971,0.173
1230,14.796,165.2716,0.262
1231,15.805,851.7844,1.423
1232,9.864,174.8065,0.378
1233,11.545,117.5971,0.326
1234,8.687,274.276,2.4
1235,16.029,308.2951,0.45
1236,11.769,204.68252,0.693
1237,10.536,143.0235,0.583
1238,14.908,193.8763,0.329
1239,17.71,187.5197,0.167
1241,12.038,677.61356,2.28
1242,14.24,146.2,0.29
1243,13.07,466.8287,1.325
1244,12.184,502.15,1.64
1245,12.442,117.5971,0.288
1246,16.814,254.264,0.415
1247,1.808,6.77,6.29
1248,3.567,14.2,1.72
1249,13.5,500.0,1.12
1250,12.64,363.6,0.989
1251,13.159,607.0553,1.467
1252,10.604,306.38812,1.418
1253,12.33,276.5121,0.811
1254,10.424,565.714,2.939
1255,12.576,167.49641,0.464
1256,13.1,1010.6994,2.47
1257,12.33,270.1555,0.742
1258,14.807,376.94638,0.612
1259,14.235,88.989,0.186
1260,13.787,1093.3352,2.54
1261,13.002,572.07,1.53
1262,14.874,750.39663,1.26
1263,14.572,225.6593,0.378
1264,11.209,177.9848,0.412
1265,17.856,665.21819,0.689
1266,10.761,835.8929,3.24
1267,17.363,151.916,0.172
1268,15.917,772.3269,0.89
1269,8.631,73.1009,0.65
1270,13.664,282.54945,0.651163
1271,13.563,270.1555,0.703
1272,11.994,139.8452,0.382
1273,15.468,394.1092,0.622
1274,10.783,280.95,1.17
1275,13.787,212.9461,0.444
1276,11.99,95.345,0.32
1277,16.388,98.841,0.132
1278,12.117,295.89973,0.914
1279,13.787,731.009,1.62
1280,12.89,317.83,0.815
1281,15.861,366.77398,0.506
1282,18.147,632.47853,0.621987
1283,18.383,254.264,0.224
1284,12.442,1341.2426,3.821
1285,14.011,311.4734,0.66
1286,14.908,181.1631,0.32
1287,16.477,159.55066,0.21
1288,9.528,47.03884,0.318
1289,13.271,95.03117,0.237
1290,13.899,286.047,0.61
1291,8.58,55.2,0.48
1292,13.899,3241.84975,6.6
1293,20.288,527.5978,0.37
1294,17.71,161.45764,0.172
1295,16.87,271.74465,0.31
1296,13.54,314.6517,0.74
1297,16.107,104.88337,0.135
1298,13.451,1172.7927,2.84
1299,17.598,149.3801,0.16
1300,10.985,344.52772,1.5
1301,12.285,508.528,1.6
1302,20.961,247.9074,0.082
1303,14.617,178.30263,0.33
1304,16.814,133.4886,0.16
1306,7.062,32.10083,0.54
1307,14.123,209.13214,0.44
1308,12.644,676.9779,1.96
1309,13.473,594.3421,1.42
1310,11.209,1652.716,6.9
1311,12.812,791.3967,2.2
1312,12.218,88.35674,0.284
1313,13.675,394.1092,0.572
1314,15.468,174.8065,0.28
1315,11.994,886.7457,3.1
1316,11.19,182.43442,0.64
1317,5.717,40.68224,1.3
1318,17.374,123.9537,0.15
1319,13.305,100.43378,0.250651
1320,11.994,2688.8418,8.54
1321,15.805,171.6282,0.263
1322,13.9,124.58874,0.255
1323,8.474,91.21675,0.831
1324,12.498,87.40325,0.263
1325,10.088,282.8687,1.6
1326,9.528,139.8452,0.95
1327,17.15,266.9772,0.31
1328,13.563,854.9627,1.98
1329,16.141,775.5052,1.1
1330,15.468,2809.6172,2.25
1331,8.967,37.18611,0.31
1332,12.218,387.7526,1.2
1333,15.468,479.9233,0.773
1334,14.572,603.877,1.16
1335,13.563,368.6828,0.88
1337,10.05,130.3103,0.84
1338,13.675,85.8141,0.2
1339,9.976,390.9309,2.34
1340,13.675,114.4188,0.222
1341,10.424,317.83,1.6
1342,14.695,52.3466,0.097
1343,9.38,64.2,0.427
1344,10.435,90.3,0.41
1345,13.899,190.698,0.43
1346,14.773,285.72917,0.521
1347,19.649,367.72747,0.266
1348,16.511,1541.4755,2.0
1349,21.712,465.62095,0.267
1350,15.693,390.9309,0.7
1351,16.141,163.36462,0.233
1352,11.882,95.349,0.3445
1353,15.009,562.24127,0.97
1354,15.793,150.96925,0.228
1355,13.877,162.09249,0.333
1356,12.442,251.0857,0.632
1357,13.2,115.0,0.275
1358,10.536,30.5,0.134
1359,11.433,514.8846,1.86
1360,10.761,572.094,2.65
1361,12.745,404.263,1.074
1362,17.127,473.547,0.55
1363,16.029,162.0933,0.24
1364,14.908,400.4658,0.53
1365,12.106,1001.12,4.14
1366,16.623,271.415,0.348
1367,12.4,3559.696,10.3
1368,14.0,222.481,0.446
1369,8.74,57.0,0.469
1370,6.41,33.6,0.701
1371,5.59,26.7,0.84
1372,10.27,74.9,0.38
1373,13.1,1017.056,2.49
1376,12.2,5085.28,15.4
1377,12.3,4767.45,14.1
1378,12.3,4449.62,13.1
1379,13.7,407.0,0.87
1380,13.384,568.9157,1.31
1381,18.046,247.9074,0.099
1382,14.975,607.03,0.994
1383,15.244,473.5667,0.884
1384,12.666,266.9772,0.712
1385,1.04,1.11,5.42
1386,1.02,1.05,5.44
1387,12.33,1906.98,5.59
1388,12.3,4449.62,13.1
1389,12.4,3426.2074,9.87
1390,12.8,1716.282,4.5
1391,13.1,1086.9786,2.66
1392,12.5,104.88337,0.295
1393,12.5,3178.0,8.94
1394,13.3,794.5,1.86
1395,12.7,1938.763,5.2
1396,0.755,0.326,4.16278
1397,1.129,1.321,5.055986
1398,1.045,1.039,5.022904
1399,0.92,0.692,4.901605
1400,0.788,0.388,4.366784
1401,1.097,1.308,5.463993
1402,1.116,1.374,5.441939
1403,12.4,3591.461,10.4
1404,2.765,9.1,2.34
1405,9.55,55.30242,0.35
1408,13.126,211.99261,0.515
1409,11.994,301.9385,0.962
1410,3.444,39.09,5.2
1412,2.587,9.6,3.06
1413,1.704,4.53,5.02
1414,1.27,2.15,5.77
1415,2.926,18.467,4.03
1416,6.71,36.4,0.662
1417,2.02,5.3,3.5
1418,1.85,4.0,3.4
1419,2.63,9.32,2.82
1420,2.28,9.79,4.51
1421,2.474,6.68,2.42
1422,2.701,7.76,2.16
1423,2.049,4.85,3.1
1424,0.953,0.818,5.19
1425,1.073,1.25,5.56
1426,2.6,7.27,2.27
1427,0.914,0.704,5.07
1428,13.115,392.83788,0.957
1429,5.25,23.6,0.91
1430,19.851,279.6904,0.195
1431,11.882,2011.8639,6.58
1432,3.76,13.6,1.41
1433,11.433,464.98529,1.7
1434,2.32,3.0,1.3
1435,2.67,16.0,4.6
1436,2.53,11.95,4.1
1437,2.878,5.4,1.3
1438,1.423,1.59,3.0
1439,12.229,1910.14873,5.74
1440,12.173,1147.36055,3.5
1441,11.31,419.5335,1.6
1442,2.03,4.78,3.14
1443,0.903,0.674,5.03
1445,5.82,61.5,1.72
1446,9.303,127.13136,0.93
1447,5.22,23.7,0.916
1449,5.351,24.8,0.889
1450,11.882,1036.12061,3.39
1451,3.99,15.05,1.3
1452,6.35,33.12,0.711
1453,2.09,5.03,3.03
1454,1.166,1.42,4.89
1455,11.097,486.2799,1.96
1456,12.442,734.18362,2.09
1457,10.536,168.44906,0.791
1458,12.53,732.0,2.06
1459,4.07,15.6,1.27
1460,3.1,9.8,1.81
1461,1.91,4.31,3.4
1462,2.82,8.35,2.05
1463,13.26,252.35576,0.595
1464,2.415,6.41,2.5
1465,2.266,5.76,2.72
1466,16.813,143.02278,0.165
1467,3.29,9.9,1.36
1468,1.49,2.83,4.7
1469,1.28,3.07,8.0
1470,5.09,16.42,0.685
1471,2.68,7.17,2.05
1472,13.305,136.66622,0.32
1473,13.574,457.67291,1.01
1474,2.74,7.95,2.12
1475,1.72,3.61,3.9
1476,13.047,232.01474,0.57
1477,12.274,55.61997,0.165
1478,14.28,129.03833,0.243
1479,6.0,16.5,0.424
1480,13.137,352.78953,0.85
1481,18.495,330.54154,0.289
1482,12.0,85.3,0.27
1483,11.321,222.47988,0.85
1484,12.599,324.18498,0.89
1485,13.081,311.47184,0.76
1486,8.295,82.63539,0.8
1487,23.539,375.03752,0.065
1488,12.229,530.77344,1.6
1489,12.801,1598.35906,4.19
1490,12.98,721.47048,1.82
1491,11.4,211.35589,0.78
1492,16.432,197.05361,0.245
1493,13.159,533.95172,1.28
1494,12.845,117.59651,0.304
1495,15.278,225.65817,0.34
1496,18.114,309.8827,0.287
1497,17.262,139.8445,0.15
1498,2.65,7.51,2.22
1499,2.133,4.78,2.72
1500,2.355,6.15,2.6
1501,1.206,1.58,4.97
1502,2.77,8.8,2.28
1503,19.728,193.87533,0.139
1504,12.072,69.28659,0.216
1505,14.46,79.4571,0.144
1506,13.641,260.61929,0.563
1507,7.163,43.86032,0.65
1508,10.929,63.88351,0.269
1509,2.75,8.0,2.11
1510,10.133,208.81326,1.11
1511,8.676,26.69759,0.225
1513,1.25,2.1,5.91
1514,1.8,3.89,3.67
1515,10.368,105.83686,0.52
1516,1.68,3.46,4.01
1517,2.94,8.96,1.94
1518,1.44,2.67,4.91
1519,8.608,71.51139,0.61
1520,10.088,508.52545,2.72
1522,1.62,3.26,4.21
1523,2.194,5.45,2.84
1524,14.37,502.16888,0.93
1525,11.153,203.41018,0.8
1526,13.4,117.27868,0.268
1527,11.321,310.83618,1.18
1528,3.03,13.8,2.73
1529,3.51,26.0,3.31
1530,19.84,298.7587,0.06
1531,11.4,206.58846,0.76
1532,11.321,875.61726,3.32
1533,8.0,18.75188,0.34
1534,10.1,177.98391,0.76
1535,10.761,260.61929,1.14
1536,2.19,6.37,3.34
1537,15.098,1595.4986,2.55
1538,2.04,4.82,3.12
1539,3.232,10.5,1.71
1540,3.497,12.0,1.54
1541,2.518,6.89,2.37
1542,1.3,2.24,5.6
1543,2.61,7.32,2.26
1544,16.141,731.00534,0.955
1545,12.52,1398.44499,3.9
1546,11.299,133.4886,0.509
1547,13.978,638.8351,1.28
1548,12.89,209.7678,0.54
1549,1.31,2.27,5.55
1550,11.657,68.01528,0.252
1551,12.778,731.00534,2.0
1552,1.258,2.57,5.52
1553,16.141,222.47988,0.28
1554,2.87,3.94,0.915
1555,2.287,7.72,3.6
1556,2.207,3.86,1.98
1557,2.572,3.01,0.976
1558,1.669,4.77,5.62
1559,1.152,1.5,5.4
1560,3.14,10.8,1.91
1564,5.05,26.78,1.14
1565,10.817,1722.6386,7.53
1566,5.34,28.3,0.94
1567,3.09,48.8,9.44
1568,1.9,6.36,5.0
1569,13.8,333.71983,0.698
1570,5.44,26.1,0.89
1571,1.41,2.57,5.04
1572,12.173,251.40353,0.76
1573,1.7,3.78,4.21
1574,11.063,200.2319,0.81
1575,2.06,41.31769,8.6
1576,14.1,182.11568,0.357
1577,1.79,4.91,4.7
1578,16.69,387.7526,0.49
1579,13.888,314.6517,0.64
1580,14.415,375.0394,0.686
1582,15.244,1004.33777,1.56
1583,14.067,797.7533,1.68
1584,11.882,270.47333,0.88
1585,2.064,6.64,4.15
1586,1.28,3.21,8.41
1587,1.672,4.82,5.6
1588,3.46,11.8,1.57
1589,1.397,3.87,7.8
1590,1.17,1.71,5.87
1591,16.701,991.62463,1.17
1592,3.96,9.0,0.795
1593,1.36,2.42,5.29
1594,6.85,33.0,0.56
1595,15.648,753.2571,1.08
1596,3.42,22.4,3.08
1597,9.427,113.14691,0.743
1598,13.798,94.71287,0.198
1599,11.0,84.0,0.347
1600,5.24,42.0,1.3
1601,12.218,5879.82553,18.0
1602,5.59,26.7,0.84
1603,4.14,24.6,1.9
1604,9.1,96.4,0.71
1605,1.56,2.2,3.18
1606,2.37,13.5,5.57
1607,3.12,11.84,2.14
1608,2.76,13.2,3.45
1609,2.41,8.56,3.35
1610,11.456,140.16233,0.513
1611,2.93,13.6,2.98
1612,2.759,6.63,1.73
1613,2.726,9.5,2.57
1614,3.78,14.8,1.51
1615,3.51,5.3,0.7
1616,2.51,8.8,3.21
1617,3.01,8.1,1.63
1618,1.694,5.9,6.7
1619,3.65,15.4,1.74
1620,9.572,66.5,0.417
1621,2.72,7.85,2.14
1622,2.415,6.28,2.45
1623,14.572,375.03752,0.666
1624,2.53,6.94,2.35
1625,3.88,14.3,1.35
1626,2.639,7.46,2.23
1627,4.627,19.3,1.07
1628,2.879,8.64,1.99
1629,1.9,4.27,3.42
1630,16.814,309.56642,0.38
1631,3.65,12.9,1.46
1632,14.572,1064.72516,1.89
1633,1.791,9.95,9.32
1634,2.651,2.5,0.771906
1635,2.587,13.5,4.30062
1636,3.1,9.78,1.8
1637,2.265,10.15,4.85
1638,16.701,212.94503,0.25
1639,12.52,617.22586,1.847
1640,11.25,942.0,3.64
1641,4.72,20.0,1.05
1642,13.5,527.5978,1.18
1643,9.079,1207.7,8.87
1644,12.666,3082.82,8.34
1645,12.3,4131.62,12.2
1646,1.83,4.0,3.59
1647,14.011,1906.98,3.81
1648,1.11,1.4,5.63
1649,13.0,1334.886,3.34
1650,12.5,2860.0,8.05
1651,12.2,5085.0,15.4
1652,11.31,378.2177,1.43
1653,14.404,117.91493,0.216
1654,19.055,597.5204,0.502
1655,11.904,212.31044,0.692
1656,12.408,1373.0256,3.95
1657,12.722,1938.763,5.1
1658,12.285,1369.8473,4.0
1659,14.056,792.635,1.573
1660,17.295,233.92288,0.248
1661,12.812,411.27202,1.076
1662,1.03,1.07,5.38
1663,12.6,2475.8957,6.8
1664,13.4,597.5204,1.36
1665,14.2,171.6282,0.329
1666,13.9,252.64307,1.84
1667,55.25309000000002,382.8,23.0
1668,13.3,794.575,1.86
1669,1.8,3.9,3.67
1670,1.91,4.3,3.39
1671,0.338,0.02,2.85
1672,1.22,1.97,5.96
1673,10.548,734.16,3.44
1676,22.866,635.66,0.292
1677,30.488,953.49,0.185
1678,12.3,4449.62,13.1
1679,18.046,1430.175,1.25
1680,15.278,441.77,0.68
1681,15.244,327.351,0.42
1682,12.666,320.995,0.41
1683,13.45,375.02,0.85
1684,12.251,400.449,1.2
1685,11.422,174.799,0.65
1686,14.011,197.046,0.4
1687,6.79,37.1,0.651
1688,13.3,699.2225,1.63
1689,1.38,2.48,5.19
1690,1.39,2.5,5.12
1691,12.3,4513.16338,13.3
1692,12.5,3248.20632,9.14
1693,13.1,1090.15144,2.66
1694,13.1,1036.12061,2.53
1695,14.2,162.09249,0.311
1696,12.7,1976.89269,5.3
1697,12.9,1400.0,3.58
1698,14.0,240.0,0.481
1699,14.1,210.0,0.412
1700,2.83,8.4,2.04
1701,13.2,890.0,2.13
1702,13.5,570.0,1.27
1703,2.41,6.4,2.51
1704,13.6,425.89007,0.93
1705,12.9,1500.0,3.84
1706,1.82,3.96,3.61
1707,3.81,13.93,1.38
1708,12.3,101.70509,0.3
1709,2.37,6.228,2.57
1710,4.73,20.1,1.04
1711,4.18,16.3,1.23
1712,2.41,6.4,2.51
1713,2.15,5.27,2.91
1714,3.92,14.62011,1.33
1715,14.0,240.0,0.481
1716,1.94,4.43,3.33
1717,12.4,3585.0,10.3
1718,13.5,505.0,1.13
1719,13.1,959.84179,2.35
1720,12.8,1760.0,4.61
1721,14.2,160.0,0.307
1722,2.95,9.0,1.93
1723,14.2,130.0,0.249
1724,14.0,127.0,0.254
1725,1.62,3.269,4.23
1726,13.9,250.0,0.512
1727,1.11,1.43,5.75
1728,12.3,4253.0,12.6
1729,14.0,225.65817,0.452
1730,14.3,140.0,0.263
1731,13.0,1330.0,3.33
1732,13.0,1300.0,3.25
1733,14.3,138.0,0.259
1734,4.42,17.9,1.14
1735,13.2,807.0,1.93
1736,4.86,21.0,1.01
1737,13.1,1100.0,2.69
1738,14.0,230.0,0.461
1739,14.2,180.0,0.345
1740,11.0,83.7,0.346
1741,8.59,55.3,0.479
1742,13.0,1169.60854,2.93
1743,14.1,181.16219,0.355
1744,14.2,160.0,0.307
1745,13.2,860.0,2.05
1746,14.1,200.0,0.392
1747,12.5,3020.0,8.5
1748,1.16,1.66,5.84
1749,11.6,92.0,0.324
1750,12.3,4100.0,12.1
1751,6.56,35.0,0.681
1752,8.39,53.1,0.494
1753,14.3,150.0,0.282
1754,13.6,120.0,0.262
1755,13.2,868.0,2.07
1756,13.4,588.0,1.34
1757,13.9,270.0,0.552
1758,7.72,46.1,0.551
1759,13.9,280.0,0.573
1760,14.2,170.0,0.326
1761,9.01,60.0,0.451
1762,12.9,1500.0,3.84
1763,8.74,57.0,0.469
1764,4.72,20.0,1.05
1765,10.7,80.0,0.359
1766,14.3,144.0,0.271
1767,11.1,86.0,0.346
1768,14.0,231.0,0.463
1769,2.21,5.5,2.8
1770,3.84,14.1,1.37
1771,13.0,1200.0,3.0
1772,13.2,830.0,1.98
1773,12.8,1760.7782,4.61
1774,13.3,730.978,1.71
1775,12.3,4497.2945,13.3
1776,13.3,731.0,1.71
1777,12.6,2329.6,6.4
1778,11.994,921.707,2.93
1779,12.218,295.5819,0.89
1780,14.863,425.57437,0.711
1781,12.733,72.78307,0.194
1782,3.18,20.6,3.45
1783,16.589,756.4354,0.31
1784,11.467,203.09235,0.74
1785,13.608,165.27077,0.36
1786,14.202,194.82881,0.374
1787,14.908,750.07504,1.25
1788,11.994,947.12865,3.02
1789,17.878,235.1942,0.226
1790,13.563,129.99182,0.28
1791,13.899,242.8209,0.5
1792,14.572,211.99155,0.38
1793,12.33,238.68913,0.74
1794,4.977,29.24036,1.395
1795,12.801,1538.2972,4.02
1796,11.747,66.10864,0.223
1797,9.158,109.33352,0.78
1798,13.507,687.14846,1.43
1799,14.908,258.07796,0.42
1800,14.3,146.2018,0.275
1801,14.0,127.132,0.255
1802,12.3,101.7056,0.3
1803,13.3,692.8694,1.62
1804,12.7,2126.2827,5.7
1805,12.0,7532.571,24.0
1806,14.1,190.0,0.372
1807,13.0,1200.0,3.0
1808,3.37,11.3,1.62
1809,12.2,5720.91133,17.3
1810,14.1,200.0,0.392
1811,13.2,890.0,2.13
1812,6.42,33.7,0.7
1813,1.62,3.24,4.19
1814,13.2,871.0,2.08
1815,2.48,6.7,2.41
1816,12.6,2700.0,7.42
1817,12.4,3690.0,10.6
1818,12.9,1500.0,3.84
1819,4.43,18.0,1.14
1820,4.29,17.0,1.18
1821,5.99,30.0,0.767
1822,13.6,480.0,1.05
1823,11.1,86.0,0.346
1824,2.99,9.2,1.89
1825,14.2,170.0,0.326
1826,12.4,3500.0,10.1
1827,13.2,830.0,1.98
1828,9.64,67.3,0.413
1829,3.21,10.4,1.73
1830,13.0,1300.0,3.25
1831,5.18,23.4,0.925
1832,13.5,540.30829,1.21
1833,1.63,3.3,4.19
1834,17.15,985.273,1.07
1835,17.901,1175.971,1.5
1836,9.976,257.431,1.4
1839,4.72,29.32,1.536
1840,2.3,8.6,3.9
1841,1.332,2.62,6.1
1842,1.147,1.54,5.57
1843,1.305,2.87,7.1
1844,3.71,13.3,1.43
1847,2.31,5.95,2.65
1848,1.12,1.46,5.71
1849,4.7,30.8,1.7
1850,1.303,2.25,5.59
1852,0.982,1.4,10.6
