,orbital_period_[days],equilibrium_temperature_[k],orbit_semi-major_axis_[au])
1771,316.1705542759765,55.0,3.6
1778,4.43527,1448.0,0.058
1779,2.4997,1345.0,0.035
1780,0.882059,1284.0,0.01677
1781,3.3569866,952.0,0.0382
1782,1.3373508,1650.0,0.019
1783,1.6753728,1434.0,0.023
1784,2.823093,1101.0,0.0388
1785,3.4678796,1499.0,0.0479
1786,4.0764326,1327.0,0.0504
1787,1.5433897,1357.0,0.0236
1788,54.18915,688.0,0.313
1789,4.511164,1468.0,0.063
1790,3.05125,1381.0,0.0448
1791,3.24253,1457.0,0.0391
1792,4.84532,1177.0,0.0523
1793,3.27623,1146.0,0.0441
1794,3.5357173,1143.0,0.0403
1795,4.119027,1605.0,0.0549
1796,7.532806,1257.0,0.0757
1797,35.45533,435.0,0.201
1798,0.7668944,1332.0,0.0143
1799,2.647298,790.0,0.0326
1832,564.101554224999,34.0,5.9
1834,2.82406,2100.0,0.047
1835,2.14877381,2594.0,0.040352
1839,0.792052,1978.0,0.01679
1840,12.2519,353.0,0.07673
1841,0.768448,892.0,0.01211
1842,3.1239035,508.0,0.02661
1843,5.3587657,424.0,0.03813
1845,8.457463,272.0,0.03984
1846,2.7299025,396.0,0.01875
1847,4.989963,370.0,0.029392
1848,0.948005,650.0,0.00969
1849,4.052037,700.0,0.0417
1850,0.46292913,805.0,0.00622
1851,3.81433,617.0,0.0404
1852,3.694247,511.0,0.0331
1853,0.8602322,830.0,0.01251
1854,1.9495378,595.0,0.01848
1855,3.77792,709.0,0.02734
1856,24.73694,379.0,0.0957
1857,12.796,342.0,0.0717
1858,7.4507245,416.0,0.0486
1859,3.6906777,553.0,0.0304
1860,2.2531136,627.0,0.02191
1861,8.781,330.0,0.048
1862,1.4015,965.0,0.02091
1863,5.99185702,1355.0,0.0681
1864,5.65377733,1020.0,0.0626
1865,2.70730672,1709.0,0.0397
1866,3.77059058,1272.0,0.0474
1867,28.26731672,517.0,0.1701
1868,1.15116651,957.0,0.0177
1869,22.08557563,352.0,0.13
1870,20.16034462,510.0,0.1339
1871,82.5342519,260.0,0.3104
1872,0.53835431,2386.0,0.0127
1873,9.91723428,903.0,0.0883
1874,4.60358,810.0,0.0503
1875,7.96431535,805.0,0.0734
1876,17.76080053,368.0,0.1085
1877,105.3033148,351.0,0.4238
1878,56.4349938,465.0,0.276
1879,116.331901,323.0,0.4451
1880,43.0342272,484.0,0.2327
1881,60.0855082,485.0,0.3148
1882,15.7738221,955.0,0.1291
1883,4.46975774,1103.0,0.0535
1884,11.55102504,845.0,0.1005
1885,1.54168,1592.0,0.0256
1886,8.0880135,792.0,0.0753
1887,49.6221509,546.0,0.2726
1888,26.85328322,544.0,0.162
1889,105.9564148,324.0,0.4217
1890,1.97034246,1599.0,0.0303
1891,4.19449651,577.0,0.0419
1892,49.6077331,402.0,0.2508
1893,7.03932553,1060.0,0.0734
1894,9.59070716,1087.0,0.0827
1895,16.736525,464.0,0.139
1897,2.58664,1328.0,0.0356
1898,1.6829346,1270.0,0.0272
1899,34.1731714,465.0,0.2027
1900,5.70940492,644.0,0.052
1901,3.69298373,745.0,0.0389
1902,198.7112502,258.0,0.6253
1903,13.22713379,638.0,0.1027
1904,99.747622,391.0,0.3907
1905,134.2527298,393.0,0.512
1906,13.5225106,652.0,0.1063
1907,9.97683705,802.0,0.0849
1908,12.05707239,689.0,0.0984
1909,16.87727414,642.0,0.1245
1910,3.12686223,1391.0,0.0414
1911,16.2385,711.0,0.1235
1912,14.80074836,1912.0,0.1633
1913,9.7678805,749.0,0.0852
1914,5.90741354,769.0,0.0559
1915,5.24867263,1056.0,0.0596
1916,14.53244172,664.0,0.1083
1917,16.78176602,545.0,0.118
1918,9.10967112,873.0,0.0862
1919,88.40655258,410.0,0.392
1920,130.3546919,369.0,0.5183
1921,71.52530845,340.0,0.3091
1922,98.7180406,360.0,0.3982
1923,11.5231,927.0,0.1017
1924,8.6893073,782.0,0.0774
1925,7.76846622,841.0,0.0749
1926,26.9644317,573.0,0.1773
1927,11.79162572,857.0,0.1002
1928,31.0033814,616.0,0.2037
1929,43.3167737,459.0,0.2288
1930,49.7701438,455.0,0.2559
1931,44.96417488,379.0,0.2298
1932,17.42395198,722.0,0.1311
1933,59.6225257,486.0,0.3059
1935,2.50806,997.0,0.03106
1936,14.878296,692.0,0.1153
1937,52.6298417,544.0,0.2689
1938,153.343364,377.0,0.5545
1939,67.668827,495.0,0.3214
1940,10.56134221,867.0,0.0954
1941,4.88083852,879.0,0.0527
1942,55.6738309,384.0,0.2658
1943,14.20443009,602.0,0.1041
1944,1.9214374,1276.0,0.0279
1945,8.03755877,744.0,0.0719
1946,71.4517775,561.0,0.3475
1948,4.72674,1037.0,0.053
1949,0.92103214,2362.0,0.0192
1950,3.9324613,894.0,0.0444
1951,9.1149903,906.0,0.0866
1952,52.0688601,524.0,0.2739
1953,33.8678531,394.0,0.1805
1954,61.0370117,610.0,0.3359
1955,6.93366476,1104.0,0.0715
1956,0.93846683,1876.0,0.0182
1957,51.300634,492.0,0.2716
1958,100.8274113,364.0,0.4029
1959,6.53192704,907.0,0.065
1960,49.3568,637.0,0.2754
1961,26.723,781.0,0.1829
1962,13.749,975.0,0.1174
1963,11.04603384,869.0,0.0981
1964,4.85386933,1052.0,0.0569
1965,2.97041437,991.0,0.0378
1966,32.2968798,503.0,0.1885
1967,4.59489604,1319.0,0.0566
1968,4.40966548,1192.0,0.0544
1969,5.93911982,1357.0,0.0699
1970,10.29672521,1129.0,0.1009
1971,2.53475627,1218.0,0.0339
1972,20.310501,931.0,0.1549
1973,2.36436901,1752.0,0.0382
1974,6.24658,2040.0,0.0731
1975,13.93290318,852.0,0.1175
1976,1.34059747,1783.0,0.0247
1977,15.86621821,879.0,0.1225
1978,41.6979976,537.0,0.2359
1979,5.08274652,928.0,0.0572
1980,3.02166863,1332.0,0.0417
1981,62.9228557,462.0,0.302
1982,10.3507721,842.0,0.0907
1983,40.1099547,556.0,0.223
1984,3.51749439,704.0,0.0378
1985,6.9913086,716.0,0.0679
1987,1.592851,2026.0,0.0273
1988,38.9853,523.0,0.227
1989,19.23891,661.0,0.143
1990,19.17891293,640.0,0.1392
1991,5.8706191,616.0,0.0545
1992,8.0472642,855.0,0.077
1993,144.547396,303.0,0.5164
1994,2.80624233,771.0,0.0328
1995,9.803224,896.0,0.0916
1996,6.33855761,1034.0,0.0699
1997,13.7521072,556.0,0.1015
1998,53.44945593,486.0,0.2881
1999,52.75875577,540.0,0.2944
2000,3.744439,1328.0,0.0492
2001,70.6979061,417.0,0.328
2002,7.63846023,1089.0,0.0797
2003,20.42228798,785.0,0.1536
2004,6.24146367,1111.0,0.067
2005,18.11472949,830.0,0.1432
2006,5.69919514,964.0,0.0622
2007,12.98495573,818.0,0.1055
2008,3.98953967,903.0,0.0449
2009,4.44448017,1217.0,0.0552
2010,7.71468975,1622.0,0.0915
2012,33.3855938,580.0,0.2012
2013,25.9422033,501.0,0.165
2014,18.45847097,632.0,0.1301
2015,5.14438011,923.0,0.0549
2016,27.5073799,569.0,0.1771
2017,40.0686727,560.0,0.2234
2018,20.5533844,749.0,0.1542
2019,2.57885507,1230.0,0.0362
2020,22.0459018,640.0,0.1572
2021,21.3587621,691.0,0.1539
2022,191.2318,403.0,0.676
2023,114.73635,478.0,0.481
2024,40.4287755,494.0,0.2244
2025,5.03251791,1047.0,0.0575
2026,150.242127,327.0,0.5375
2027,2.61703254,996.0,0.0331
2028,14.16399294,694.0,0.1057
2029,5.83376092,1143.0,0.0687
2030,15.59461874,718.0,0.122
2031,3.14866453,1097.0,0.039
2032,3.94963138,966.0,0.0463
2033,5.10137945,1050.0,0.058
2034,20.38177573,528.0,0.1345
2035,76.13602028,399.0,0.3403
2036,85.35129427,390.0,0.3751
2037,8.02768059,824.0,0.0787
2038,7.8866311,996.0,0.0762
2039,7.16892463,1187.0,0.0779
2040,44.9309804,565.0,0.2654
2041,8.50699658,900.0,0.0802
2042,7.19303878,995.0,0.0744
2043,25.216751,559.0,0.163
2044,17.91323,626.0,0.13
2045,12.513,706.0,0.1007
2046,8.306,809.0,0.0766
2047,394.6244904,325.0,1.1088
2048,6.91134416,1086.0,0.072
2049,2.3432319,1054.0,0.0315
2050,19.80792185,624.0,0.1399
2051,0.92785982,1361.0,0.017
2052,2.61302086,713.0,0.0298
2053,2.05387982,1523.0,0.0313
2054,1.21956827,1252.0,0.0204
2055,124.4198398,416.0,0.479
2056,44.552169,572.0,0.25
2057,27.434389,672.0,0.181
2058,4.224537,1254.0,0.052
2059,12.883,865.0,0.1072
2060,8.726,985.0,0.0827
2061,37.8144514,626.0,0.2341
2062,15.74957994,777.0,0.1266
2063,16.56059504,701.0,0.1144
2064,11.36112327,869.0,0.1013
2065,11.41909375,921.0,0.107
2066,13.32388301,378.0,0.0862
2067,18.7546998,382.0,0.1139
2068,7.1396941,965.0,0.075
2069,5.62153941,992.0,0.0603
2070,11.29695137,907.0,0.1033
2071,5.169796,569.0,0.051
2072,20.09,362.0,0.11796
2073,9.77,460.0,0.07295
2074,6.88337562,857.0,0.0678
2075,0.56785714,1848.0,0.0125
2076,51.92927591,574.0,0.2742
2077,4.48758907,1305.0,0.0528
2078,8.1818246,981.0,0.0759
2079,3.77360059,1270.0,0.0453
2080,4.51436633,1231.0,0.055
2081,4.16809082,1277.0,0.0507
2082,3.22296927,1239.0,0.0412
2083,1.92279873,1215.0,0.029
2084,127.8338098,554.0,0.5829
2086,5.902206,926.0,0.063
2087,2.382961,1253.0,0.034
2088,51.54,450.0,0.2626
2089,26.44,562.0,0.1683
2090,33.1995648,485.0,0.1894
2091,10.03538581,786.0,0.0886
2092,3.99010623,1124.0,0.0493
2093,10.50682565,668.0,0.0895
2094,8.57503552,1374.0,0.0888
2095,6.1469851,1164.0,0.0695
2096,19.12947337,817.0,0.1439
2097,10.11716531,1163.0,0.1024
2098,23.58447697,730.0,0.1583
2099,4.59725385,1105.0,0.055
2100,20.837846,418.0,0.128
2101,12.04,502.0,0.08347
2102,5.955,635.0,0.0522
2103,55.63934,478.0,0.2901
2104,0.63133235,1322.0,0.0116
2105,117.93108781,418.0,0.4884
2106,8.09219642,1089.0,0.0764
2107,30.8638931,743.0,0.1978
2108,9.65185017,890.0,0.0872
2109,14.37457351,779.0,0.1137
2110,50.28638192,543.0,0.2678
2111,40.0587473,489.0,0.2265
2112,11.41928253,419.0,0.0795
2113,14.13176026,675.0,0.1106
2115,0.9867873,1054.0,0.0175
2116,4.64489,629.0,0.0491
2117,3.07222,722.0,0.0372
2118,9.52355,495.0,0.0792
2119,7.05246,547.0,0.0648
2120,3.5224991,1680.0,0.0474
2121,15.19419956,893.0,0.1214
2122,133.4605235,433.0,0.5167
2123,13.71933369,864.0,0.1174
2124,27.07237711,605.0,0.181
2125,6.40087618,1109.0,0.0662
2126,29.6193421,580.0,0.1817
2127,11.13125132,952.0,0.1036
2128,4.24153639,1177.0,0.0491
2129,11.30119217,852.0,0.0988
2130,14.5539759,939.0,0.1256
2131,13.73469807,634.0,0.101
2132,81.0659,511.0,0.386
2133,52.0902,592.0,0.287
2134,27.4029,734.0,0.187
2135,13.4845,929.0,0.117
2136,8.63847725,1419.0,0.0951
2137,8.39846269,984.0,0.0835
2138,0.9283105,1115.0,0.0159
2139,53.5293487,348.0,0.2548
2140,1.97376093,753.0,0.025
2141,31.5922646,688.0,0.1967
2142,7.05395,840.0,0.0684
2143,4.29264638,991.0,0.0491
2144,158.6853308,350.0,0.5444
2145,13.2140732,629.0,0.1019
2146,0.67737516,2099.0,0.015
2148,7.09714223,425.0,0.0533
2149,3.75574426,977.0,0.0453
2150,5.72812599,569.0,0.0519
2151,4.89718784,904.0,0.0523
2152,0.97486893,1612.0,0.0187
2153,11.0895723,1422.0,0.1114
2154,3.74910006,1160.0,0.047
2155,12.99207337,866.0,0.1071
2156,8.73485836,890.0,0.0843
2157,4.15244722,1941.0,0.0616
2158,1.47532231,2740.0,0.0309
2159,18.92540274,1171.0,0.1694
2160,3.57878087,1440.0,0.04501
2161,15.9870174,803.0,0.1297
2162,7.42608998,1037.0,0.0778
2163,11.3910025,618.0,0.092
2164,161.5280101,366.0,0.5874
2165,6.10027804,990.0,0.066
2166,27.6655226,641.0,0.1754
2167,7.33683936,875.0,0.0724
2168,1.19655156,1414.0,0.0205
2169,3.7705521,1302.0,0.0493
2170,10.12804789,767.0,0.0874
2171,2.46697439,1139.0,0.0333
2172,8.70419416,748.0,0.0772
2173,1.5449298,2140.0,0.0274
2174,41.805985,533.0,0.2329
2175,8.1934719,1144.0,0.0785
2176,20.4966197,843.0,0.1447
2177,4.75793986,1372.0,0.0547
2178,12.1097104,1005.0,0.1019
2179,1.02267882,1734.0,0.019
2180,1.22486632,1741.0,0.0219
2181,2.85313364,1016.0,0.0367
2182,1.26909037,1331.0,0.0214
2183,14.5596237,758.0,0.116
2184,5.74772501,641.0,0.054
2185,18.82747265,632.0,0.1353
2186,17.44490636,679.0,0.1263
2187,4.08899022,1537.0,0.0533
2188,9.42887179,1163.0,0.093
2189,8.8849116,767.0,0.0818
2190,17.31716585,454.0,0.1054
2191,7.40742793,938.0,0.0745
2192,1752.92067283,203.0,2.906141
2207,58.43,298.0,0.26
2211,1628.0,176.0,2.73
2212,3.98442,1311.0,0.049
2221,11.8143,1089.0,0.1066
2233,1.0391353,2042.0,0.02085
2234,3.6451398,1344.0,0.04813
2238,3165.0796094172,1000.0,55.7
2242,55.087,385.0,0.262
2243,2041.54151819,156.0,3.167126
2255,9.4897116,751.0,0.0805
2270,9.1205,690.0,0.0906
2277,22000.0,1300.0,17.0
2301,0.9809734,1411.0,0.01782
2304,3165.0796094172,1500.0,92.0
2313,47000.0,2300.0,30.0
2315,3165.0796094172,2700.0,740.0
2316,3165.0796094172,2450.0,345.0
2322,7.713057,1060.0,0.0787
2324,10.28891,757.0,0.089
2325,16.84,642.0,0.124
2328,3165.0796094172,1200.0,20.3
2329,27000.0,171.0,18.0
2331,3.58599,1572.0,0.048
2332,5.97293,1326.0,0.0674
2333,11.23,1075.0,0.1027
2334,170000.0,1200.0,68.0
2335,69000.0,1200.0,38.0
2336,37000.0,1300.0,24.0
2337,20815.6,1150.0,16.4
2341,19.3044,703.0,0.137
2342,1.6739035,1841.0,0.0301
2343,14.6762429,618.0,0.1124
2345,1.9741954,798.0,0.0242
2346,8.2669928,928.0,0.0833
2347,3.313959,1649.0,0.0475
2348,4.733999,1360.0,0.0581
2349,39.93767,734.0,0.2257
2350,13.86387,575.0,0.1027
2351,5.3518,1309.0,0.057
2353,5.817685,1098.0,0.0642
2354,11.3909311,701.0,0.0943
2355,20.272615,619.0,0.143
2357,1.2916,868.0,0.0189
2358,5.444017,537.0,0.0492
2360,7.727283,666.0,0.0698
2361,8.28212,1003.0,0.0802
2363,5.1857539,738.0,0.0629
2364,2.2193023,769.0,0.0373
2365,30.951524,338.0,0.1649
2366,6.413651,442.0,0.049
2368,7.385655,601.0,0.0656
2369,3.588163,809.0,0.0411
2372,39.91488,511.0,0.2114
2374,0.369311,2062.0,0.0095
2375,9.1751,1586.0,0.0916
2379,26.5841,296.0,0.1346
2381,17.307137,425.0,0.11728
2383,0.179719,1471.0,0.0058
2384,2.35309,1157.0,0.03385
2385,3.56004,1012.0,0.04461
2386,5.40479,888.0,0.05893
2387,8.26146,757.0,0.0782
2388,12.75758,653.0,0.10447
2389,41.96797,445.0,0.23109
2390,28.380619,524.0,0.1796
2391,8.36802,488.0,0.0627
2392,6.569188,962.0,0.068
2393,0.2803244,2039.0,0.00716
2395,2.6446,534.0,0.0248
2402,11.8104,676.0,0.091
2404,3.835476,566.0,0.0373
2405,32.6479,337.0,0.1716
2406,7.51574,497.0,0.0614
2407,3.67626,715.0,0.0405
2408,7.95486,552.0,0.0677
2409,6.342,708.0,0.0562
2410,13.85,583.0,0.0946
2411,40.718,381.0,0.1937
2412,0.813143,1347.0,0.0149
2414,10.06049,794.0,0.0887
2415,5.90279,948.0,0.0622
2416,12.42205,684.0,0.1013
2417,7.6188,658.0,0.0667
2418,19.07863,485.0,0.1229
2421,9.45889,631.0,0.0795
2427,8.52695,1140.0,0.0858
2428,9.97857,1131.0,0.0999
2429,19.660302,331.0,0.11283
2431,0.658524,1515.0,0.01306
2432,7.814,664.0,0.0679
2433,14.697,538.0,0.1035
2437,19.562307,455.0,0.126
2443,32.939623,284.0,0.1429
2444,8.962,363.0,0.06
2445,8.8656511,802.0,0.0734
2446,6.894256,962.0,0.0706
2447,4.7369683,969.0,0.0526
2449,10.787992,787.0,0.0932
2450,22.620344,615.0,0.1527
2451,16.9780102,533.0,0.1685
2455,0.77401,1815.0,0.0164
2456,2.871512,1173.0,0.0392
2457,7.149584,865.0,0.072
2458,13.606629,698.0,0.1106
2459,1.742169,1692.0,0.0289
2460,7.810253,1026.0,0.0785
2461,2.588309,1197.0,0.0361
2462,6.679195,872.0,0.068
2463,7.9222,854.0,0.074
2464,11.8993,745.0,0.0971
2465,2.5081,1252.0,0.0344
2469,4.162817,939.0,0.049
2470,14.786889,739.0,0.1184
2472,15.852975,720.0,0.1208
2475,8.357881,848.0,0.0806
2479,3.2253993,913.0,0.0382
2480,7.3744897,694.0,0.0662
2492,9.325038,500.0,0.076
2493,15.50192,420.0,0.107
2496,9.795647,542.0,0.0785
2498,8.596802,1006.0,0.0834
2500,2.1748,1103.0,0.028
2506,0.381073,2100.0,0.009
2507,13.683256,758.0,0.1104
2509,15.387063,801.0,0.1211
2510,0.50557,2271.0,0.0127
2511,4.562546,1091.0,0.0549
2512,4.47904,1002.0,0.0516
2513,10.09489,764.0,0.0886
2514,15.87209,902.0,0.134
2515,3.27108,1120.0,0.0413
2517,2.69828,914.0,0.0338
2518,0.584216,1818.0,0.0131
2519,8.32727,750.0,0.0769
2520,2.86041,1529.0,0.0409
2522,11.168454,1030.0,0.10356
2523,2.4675,1121.0,0.03308
2524,7.06005,790.0,0.06666
2525,24.3645,523.0,0.15224
2526,2.18053539,1828.0,0.03558
2527,3.20466,1587.0,0.046
2528,5.24,502.0,0.0441
2529,7.775,427.0,0.0576
2530,10.115,399.0,0.0685
2531,20.88977,709.0,0.154
2532,42.3391,560.0,0.247
2533,6.034,586.0,0.0513
2534,20.523,389.0,0.1159
2535,26.8199,507.0,0.1567
2536,6.51389,416.0,0.0494
2537,11.54182,1035.0,0.1087
2538,24.94598,801.0,0.1817
2539,21.06884,638.0,0.1418
2540,11.89307,923.0,0.0959
2541,5.76918,977.0,0.0602
2542,2.25021,979.0,0.0304
2543,6.49424,688.0,0.0615
2544,7.17256,886.0,0.0699
2545,12.409,1061.0,0.1151
2546,3.48456408,494.0,0.0287
2547,4.01457,958.0,0.0459
2548,9.30075,437.0,0.0694
2549,13.81513,639.0,0.1041
2550,4.00167,1238.0,0.0506
2551,4.09639,791.0,0.0448
2552,12.11839,551.0,0.0923
2553,1.96417,1034.0,0.0274
2554,5.52011,845.0,0.0578
2555,1.60588,789.0,0.0216
2556,19.0921,831.0,0.149
2557,15.48043,795.0,0.1271
2558,14.5665,430.0,0.0962
2559,2.6266657,1957.0,0.0404
2560,11.633478,1046.0,0.1034
2561,50.818947,470.0,0.2573
2562,5.840002,496.0,0.05023
2563,19.482,490.0,0.1249
2564,2.151676,1136.0,0.0308
2565,9.327527,696.0,0.0819
2569,4.144965,1429.0,0.0531
2570,6.771315,902.0,0.06702
2571,1.543069,1203.0,0.0247
2572,4.400028,848.0,0.0497
2573,8.562421,893.0,0.077
2574,14.4536756,747.0,0.1007
2575,11.7195663,849.0,0.0729
2576,14.1330314,655.0,0.0964
2577,3.2809626,1166.0,0.0277
2578,8.4388385,653.0,0.0881
2579,18.718269,583.0,0.1291
2580,6.326763,958.0,0.0675
2581,3.334966,1711.0,0.0488
2582,7.122605,879.0,0.067
2583,2.260455,568.0,0.0214
2584,19.89526,787.0,0.1461
2585,8.687721,665.0,0.0773
2586,4.169783,1057.0,0.0499
2587,1.921036,1186.0,0.0291
2588,4.795069,653.0,0.04771
2589,3.471745,1089.0,0.03817
2590,7.138048,741.0,0.0824
2591,10.45582,620.0,0.1178
2592,14.76289,501.0,0.18041
2593,27.359,347.0,0.1768
2594,14.893291,804.0,0.1206
2595,31.393463,226.0,0.164
2596,13.156969,753.0,0.107
2597,3.2588321,1171.0,0.04217
2598,9.21165,1230.0,0.0923
2599,48.36685,676.0,0.305
2600,2.225177,1301.0,0.03261
2601,16.9841,795.0,0.13
2604,4.024867,852.0,0.0451
2605,10.054626,504.0,0.074
2606,24.646582,374.0,0.1345
2607,44.55646,282.0,0.2097
2608,4.098503,1092.0,0.04839
2612,1.133,841.0,0.0147
2613,5.26,423.0,0.0582
2614,6.22,432.0,0.0542
2615,7.01,456.0,0.0911
2616,26.68,641.0,0.1516
2617,8.992,837.0,0.0795
2618,20.66093,634.0,0.13843
2619,31.71701,550.0,0.18422
2620,4.34934,1066.0,0.04899
2621,1.995,698.0,0.0142
2622,2.298,701.0,0.041
2623,8.205,635.0,0.0594
2624,24.93,318.0,0.1275
2625,3.262,707.0,0.0331
2626,6.93,423.0,0.0419
2627,1.256,1114.0,0.0198
2628,12.4551225,650.0,0.1016
2629,5.424865,850.0,0.0409
2641,2.9956348,1687.0,0.0442
2654,2.399964,979.0,0.031
2655,5.608352,766.0,0.055
2664,5.7385647,1066.0,0.0632
2665,21.0267366,624.0,0.1599
2666,16.3488637,735.0,0.145
2667,11.2510285,888.0,0.0863
2668,1.422614,1224.0,0.0223
2669,5.3410507,788.0,0.05574
2677,4.44117,974.0,0.0511
2678,6.42904,861.0,0.0654
2679,14.09189,663.0,0.1103
2691,4.01593,1266.0,0.04994
2692,10.56103,916.0,0.09514
2710,4.60543,1670.0,0.05708
2724,10.003417,563.0,0.078
2743,3.471149,939.0,0.03784
2745,5.657,1211.0,0.06
2746,1.7292684,1074.0,0.0224
2747,19.1541,889.0,0.13821
2751,5.73594,565.0,0.0532
2752,10.93241,456.0,0.0818
2754,3.535055,2004.0,0.054
2755,12.20772,665.0,0.098
2757,2.849258,912.0,0.03486
2764,30.94191,615.0,0.1898
2765,3.00265,1400.0,0.045
2773,5.06963,1372.0,0.05983
2776,28.67992,651.0,0.1814
2787,8.199796,693.0,0.076
2789,10.35239,631.0,0.0856
2790,5.06416,801.0,0.0532
2801,9.726618,979.0,0.094
2804,18.4498,314.0,0.091
2805,13.733314,502.0,0.096
2808,10.1346454,474.0,0.0525
2809,8.406726,1499.0,0.086
2810,10.136448,1092.0,0.0974
2811,18.251985,1113.0,0.1597
2812,1.217514,2233.0,0.02466
2813,4.1662739,1377.0,0.0525
2814,4.7361,1712.0,0.06229
2815,5.031623,1800.0,0.06708
2816,1.7100566,1970.0,0.03005
2817,3.32944,1642.0,0.04613
2818,0.9689951,2453.0,0.02044
2819,3.0801716,2087.0,0.04881
2820,2.8717518,2085.0,0.0455
2821,4.6117093,1935.0,0.0637
2822,4.11379,1715.0,0.05497
2823,3.4741085,2262.0,0.0542
2824,3.6127647,2051.0,0.05224
2825,2.255251,1561.0,0.03302
2826,5.5514926,1459.0,0.06969
2827,2.70339,1816.0,0.04123
2828,2.9895932,1823.0,0.04317
2829,7.8457,1313.0,0.07939
2831,2.73477,2048.0,0.04415
2832,3.24406,1675.0,0.0455
2833,1.4811235,4050.0,0.03462
2842,440.7813,308.0,1.1455
2849,572.3847,264.0,1.4062
2910,17.855182,911.0,0.154
2911,86.647661,511.0,0.382
2912,1.763588,2550.0,0.03641
2913,10.91647,758.0,0.098
2915,20.4415,660.0,0.14728
2916,13.6088,755.0,0.112293
2917,134.4628,412.0,0.5135
2918,284.215,321.0,0.8453
2919,34.169,475.0,0.1949
2920,7.685,613.0,0.0634
2921,3.90512,1046.0,0.0477
2922,21.185,785.0,0.1462
2923,31.828,686.0,0.1911
2924,7.008151,1062.0,0.074
2925,8.719375,987.0,0.089
2926,59.73667,520.0,0.32
2927,91.93913,450.0,0.42
2928,124.9144,407.0,0.48
2929,210.60697,342.0,0.71
2930,331.60059,294.0,1.01
2931,141.241671,347.0,0.534
2932,0.412,1180.0,0.008
2935,6.8430344,805.0,0.0678
2936,24.278553,432.0,0.1456
2937,3.743208,1486.0,0.05119
2938,10.423648,1012.0,0.1013
2939,22.342989,806.0,0.1684
2940,54.32031,584.0,0.3046
2941,4.2881785,1022.0,0.0504
2942,21.512,597.0,0.1467
2943,1.706291,1459.0,0.0269
2945,0.837491,2130.0,0.0172
2946,45.2946,584.0,0.241
2947,6.88705,1155.0,0.072
2948,12.8159,939.0,0.109
2949,35.3331,670.0,0.2143
2950,120.0181272,473.0,0.5337
2951,14.30511983,693.0,0.1129
2952,9.18186,804.0,0.084
2953,4.33642933,1453.0,0.0564
2954,3.55485691,1157.0,0.0444
2955,5.28789787,1661.0,0.0671
2956,6.49801525,1026.0,0.0669
2957,19.76172042,791.0,0.1464
2958,5.18500207,652.0,0.048
2959,12.43931193,627.0,0.0951
2960,11.35011917,403.0,0.0796
2961,3.4876812,1513.0,0.0474
2962,6.02976,1413.0,0.0684
2963,34.2685705,477.0,0.193
2964,5.75322197,920.0,0.0633
2965,5.50860439,934.0,0.0585
2966,18.93054959,766.0,0.137
2967,16.57110363,614.0,0.121
2968,16.00494214,1040.0,0.1396
2969,1.95452434,1540.0,0.0307
2970,105.6551369,407.0,0.4389
2971,7.23400469,831.0,0.0702
2972,49.1013514,498.0,0.253
2973,1.41122985,1164.0,0.0221
2974,5.28696,792.0,0.0552
2975,7.07142,719.0,0.067
2976,10.3117,634.0,0.0862
2977,16.1457,546.0,0.1162
2978,27.4536,457.0,0.1655
2979,96.9151496,325.0,0.3878
2980,13.47469571,634.0,0.1034
2981,10.99469878,512.0,0.0805
2982,62.1387714,524.0,0.301
2983,66.4162133,376.0,0.3033
2984,37.3229493,1654.0,0.3344
2985,36.5156053,425.0,0.1977
2986,1.9078052,1268.0,0.0295
2987,2.51462432,1217.0,0.0354
2988,4.41769648,790.0,0.047
2989,15.9654,872.0,0.1269
2990,179.612,389.0,0.6372
2991,19.32952416,529.0,0.1338
2992,1.22621732,2024.0,0.0218
2993,3.29011795,802.0,0.0361
2994,7.56052806,914.0,0.0761
2995,12.12400943,675.0,0.0965
2996,2.71407755,1301.0,0.0386
2997,122.8808058,326.0,0.4629
2998,1.06378867,1650.0,0.0198
2999,148.4603382,285.0,0.5238
3000,7.1276598,784.0,0.0692
3001,0.93488424,2080.0,0.0184
3002,11.427548,852.0,0.094
3003,23.668205,668.0,0.153
3004,51.755394,515.0,0.257
3005,201.1214,300.0,0.6559
3006,24.7576421,644.0,0.1688
3007,10.13202575,574.0,0.0756
3008,38.5053398,532.0,0.2159
3009,6.77408868,1058.0,0.0741
3010,26.41045478,512.0,0.1616
3011,14.37508035,786.0,0.1167
3012,56.1886887,503.0,0.2939
3013,3.18897601,1309.0,0.0434
3014,6.92101021,619.0,0.059
3015,3.27346074,625.0,0.0349
3016,5.4122,1418.0,0.066
3017,7.1262,997.0,0.0711
3018,15.3787546,1039.0,0.1313
3019,21.1284569,935.0,0.1622
3020,25.96200249,850.0,0.1891
3021,34.8538276,522.0,0.2046
3022,2.41435165,953.0,0.0315
3023,4.30655689,1177.0,0.054
3024,2.29503623,1304.0,0.0331
3025,27.495606,590.0,0.1629
3026,14.08827448,724.0,0.1138
3027,110.96546,239.0,0.3679
3028,3.76419105,908.0,0.044
3029,6.16486,1021.0,0.0648
3030,13.5708,785.0,0.1096
3031,23.9802,649.0,0.1602
3032,43.8445,531.0,0.2395
3033,46.8779367,484.0,0.2495
3034,2.75798267,1332.0,0.0384
3035,9.30412078,583.0,0.0748
3036,14.07971466,931.0,0.1176
3037,16.54080322,570.0,0.1183
3038,3.60930891,1092.0,0.0455
