,orbital_period_[days],equilibrium_temperature_[k],orbit_semi-major_axis_[au])
386,0.83784,2069.0,0.0174
387,1.354133,1577.0,0.023
388,4.7228124,858.0,0.05025
389,2.1605156,1654.0,0.03397
390,1.3484978,2166.0,0.0238
391,4.2986432,1277.0,0.05163
392,3.3023881,1918.0,0.04735
393,4.637038,1659.0,0.0611
394,3.1810781,1253.0,0.04131
395,4.6058749,1212.0,0.05475
396,3.547851,1648.0,0.0485
397,3.1743516,1414.0,0.04354
398,3.37796,1823.0,0.0478
399,2.8126548,1437.0,0.04024
400,2.5495551,1429.0,0.03727
401,2.1061607,1445.0,0.03166
402,1.8209993,2037.0,0.03199
403,4.175186,1203.0,0.0523
404,4.3315366,1085.0,0.04913
405,4.375021,1294.0,0.05036
406,4.5776348,1645.0,0.06007
407,2.516729,1315.0,0.0362
408,3.2642736,2101.0,0.04997
409,4.193649,1710.0,0.0583
410,2.292102,1856.0,0.03689
411,4.3888497,1003.0,0.04944
412,2.7439004,1161.0,0.03649
413,4.1876244,1518.0,0.05511
414,4.7423729,1054.0,0.05367
415,3.9228038,853.0,0.04269
416,3.1316666,955.0,0.03769
417,4.1480467,835.0,0.04515
418,4.763387,1025.0,0.0542
420,3.3488702,1553.0,0.04639
421,1.36665436,1834.0,0.02498
422,3.8537768,1312.0,0.04753
423,2.5441765,1429.0,0.037
424,4.2042001,1367.0,0.05412
425,4.324799,1902.0,0.06043
426,2.350621,1413.0,0.03493
427,4.2180896,1721.0,0.05798
428,5.416081,1128.0,0.06112
429,1422.0,176.0,2.504
430,3.3252725,713.0,0.03623
431,3.560829,1528.0,0.04708
432,7.817953,1226.0,0.07908
433,3.2768837,1237.0,0.04163
434,3.0566527,1398.0,0.04026
435,4.908897,1793.0,0.06562
436,3.105161,1634.0,0.04497
437,3.1414391,1998.0,0.04714
438,1.6091788,2193.0,0.03032
439,3.5862202,1741.0,0.05071
440,2.2252577,1296.0,0.03211
441,3.185315,1084.0,0.04012
442,1.8882378,2730.0,0.03632
443,3.7955202,587.0,0.03745
444,7.3279474,739.0,0.066517
445,1.73185606,895.0,0.02384
446,2.7886556,772.0,0.032742
447,1.9416423,940.0,0.02658
448,3.0876262,828.0,0.03607
449,3.583893,1324.0,0.04667
450,1.915291,1746.0,0.0312
482,9.55237,1153.0,0.0907
483,21.05704,886.0,0.1536
486,3165.0796094172,1800.0,650.0
490,10.8985,890.0,0.102
491,3.795963,1099.0,0.04527
492,6.203449,932.0,0.062
493,14.175685,708.0,0.1074
494,19.590025,636.0,0.1367
503,520.1,259.0,1.259
510,10.18271,957.0,0.113
511,2.541,1371.0,0.035
512,6.744,990.0,0.068
538,3700.0,145.0,5.0
544,6.1335,1509.0,0.07
571,10.70871,720.0,0.0925
586,11.57797,905.0,0.0964
587,27.59221,677.0,0.1721
588,107.245,431.0,0.425
593,1.62116,2130.0,0.02732
594,479.9,370.0,1.2163
601,11.53533,1228.0,0.1097
637,2.87589,1626.0,0.04364
649,4.75615,1001.0,0.0522
650,17.1784,642.0,0.1268
689,9.6392,900.0,0.09286
694,8.4282,650.0,0.08
701,1207.0,159.0,2.16
702,75.74,400.0,0.341
713,6.404,900.0,0.07
717,225.67371788,345.0,0.764552
723,21.21663,883.0,0.16278
753,17.471278,769.0,0.1334
758,4.1374354,863.0,0.048
767,2.21857567,1209.0,0.03126
770,2854.0,150.0,3.9
775,8.8803256,880.0,0.0804
776,28.579743,600.0,0.1752
777,38.353037,540.0,0.2132
778,101.12,390.0,0.407
779,2200.0,125.0,3.2
780,284.0,278.0,0.812
781,24.3556,486.0,0.15
782,74.72,355.0,0.32
783,525.8,185.0,1.18
801,3.308958,2132.0,0.05208
802,3165.0796094172,1040.0,487.1
803,0.926118,2141.0,0.018
816,9350.0,1429.0,9.6
817,2090.0,1182.0,3.53
825,16.202159,632.0,0.1163
826,18.315,660.0,0.1207
827,40.114,508.0,0.2036
828,90.309,388.0,0.3499
834,3.52474859,1459.0,0.04707
838,223.8,380.0,0.768
846,1.008035,2128.0,0.02012
847,4.78503,1265.0,0.056798
866,7.78993,701.0,0.0695
873,3.092926,1015.0,0.03876
874,6.76458,782.0,0.0653
875,46.859,410.0,0.237
876,22.717,523.0,0.1463
881,6.03607,1073.0,0.06356
890,14.2767,789.0,0.1228
898,5.09071,573.0,0.051
906,17.667087,543.0,0.1162
907,29.79749,467.0,0.1646
908,3.97664,909.0,0.04298
909,7.90754,723.0,0.068
910,12.1621839,630.0,0.0906
912,13.671,470.0,0.0932
925,2.76953,709.0,0.02933
926,5.70588,557.0,0.04749
929,4.12688,2061.0,0.0568
936,654.5,261.0,1.552
937,22.89104,881.0,0.1357
938,56.00819,585.0,0.308
939,84.25999,506.0,0.411
945,8.7836,450.0,0.066
961,0.95965428,1777.0,0.01802
962,29.8464948,565.0,0.1783
963,8.4783,860.0,0.07703
964,102.09,375.0,0.4048
967,3.38773,990.0,0.04
972,18.71204,876.0,0.1436
1001,4.3123,910.0,0.0468
1002,9.6184,696.0,0.0799
1003,20.432,541.0,0.1321
1004,51.76,398.0,0.247
1005,197.8,255.0,0.6
1015,149.61,337.0,0.554
1046,119.27,405.0,0.52
1047,14.339156,943.0,0.1202
1055,29.04992,1133.0,0.229
1066,7.10793,886.0,0.0719
1067,20.5453,622.0,0.1458
1102,6.398042,714.0,0.0604
1103,18.87974,498.0,0.1242
1107,3.50927,1260.0,0.05
1115,5.39792,826.0,0.06
1116,15.299,584.0,0.1134
1117,24.451,499.0,0.1551
1119,111.4367,405.0,0.4565
1120,0.719573,2302.0,0.0166
1132,102.54,448.0,0.4123
1133,39.8458,614.0,0.2196
1136,6.26790772,1170.0,0.068647
1146,3165.0796094172,1900.0,55.0
1160,8617.50951973,1612.0,10.019926
1165,4.65626,357.0,0.02851
1166,3.05989,410.0,0.02156
1167,2.02087,471.0,0.01634
1169,2.8641424,1743.0,0.04421
1170,3.7650007,1577.0,0.0815
1171,4.1877558,1230.0,0.0515
1172,4.12508,1630.0,0.05524
1173,3.19154,1729.0,0.0476
1176,2.61586178,1328.0,0.0368
1177,3.94153,1210.0,0.0488
1178,6.00127,790.0,0.05706
1179,15.564,250.0,0.0672
1183,1.7522239,2470.0,0.0234
1184,2.663416,2198.0,0.0282
1185,1.0187068,2000.0,0.01855
1186,3.352057,1500.0,0.047
1187,1023.0237537499988,450.0,8.0
1188,1.4079405,163.0,0.0204
1189,3165.0796094172,340.0,2500.0
1190,5.75251,1480.0,0.0717
1191,2.96264036,1171.0,0.03762
1192,2.07276,1555.0,0.03303
1193,3.4252602,1285.0,0.0453
1194,2.18467,1570.0,0.03416
1196,3.95019,1604.0,0.055
1197,2.7325321,1942.0,0.04211
1198,2.1746742,1871.0,0.0348
1199,2.798581,1160.0,0.037
1200,3.916243,1840.0,0.0562
1201,3.3564227,1120.0,0.0427
1202,4.954,1772.0,0.06431
1203,1.682795,2050.0,0.02946
1204,2.6556777,1452.0,0.039
1205,8.5234865,797.0,0.0771
1206,4.971252,1120.0,0.059
1207,2.70579,2190.0,0.0447
1208,2.7164762,1623.0,0.03908
1209,3.06785234,825.0,0.0344
1211,8.15872,875.0,0.0801
1212,3.66238,1716.0,0.0519
1213,2.17518,2470.0,0.03488
1214,1.36002854,1715.0,0.02335
1215,1.809886,2160.0,0.033
1216,2.484193,1710.0,0.0375
1217,2.13775,1926.0,0.03443
1218,4.08722,1790.0,0.05512
1219,2.21673,2210.0,0.03711
1220,2.90367,2049.0,0.04622
1221,3.7130203,1387.0,0.04853
1222,4.9546416,1487.0,0.0617
1223,3.86814,963.0,0.04525
1224,5.0843,1490.0,0.06206
1225,4.61442,1003.0,0.05179
1226,4.08605,1570.0,0.0546
1227,2.3114243,1480.0,0.0334
1228,1.5732918,1689.0,0.02648
1229,4.37808,1470.0,0.0574
1230,4.41195,1475.0,0.0571
1231,3.8559,1624.0,0.0521
1232,4.305,1479.0,0.05548
1233,3.36101,1184.0,0.04217
1234,7.919585,670.0,0.0697
1235,5.01718,1270.0,0.0562
1236,2.83891856,1338.0,0.03769
1237,4.6171,1216.0,0.05614
1238,4.46563,1300.0,0.0558
1239,3.69364,1759.0,0.04988
1241,3.3098443,1053.0,0.04101
1242,1.7497798,1315.0,0.0272
1243,1.9551,1395.0,0.0293
1244,1.6284279,1706.0,0.0267
1245,2.78174,1400.0,0.0379
1246,2.14363,2035.0,0.03444
1249,588.8,247.0,1.393
1250,4.1591492,1275.0,0.052
1251,1.43036763,1636.0,0.02335
1252,3.126089,1153.0,0.03963
1253,2.423804,1337.0,0.03453
1254,0.813475,1427.0,0.0142
1255,4.9816819,1021.0,0.0561
1256,421.0,241.0,1.07
1257,3.0524,1244.0,0.04022
1258,1.33823147,1673.0,0.0226
1259,4.055259,1166.0,0.0486
1260,6.87188,1250.0,0.07522
1261,3.577469,1232.0,0.0446
1262,1.53736596,1733.0,0.02677
1263,3.16158,1338.0,0.04317
1264,4.31768,1250.0,0.0524
1265,1.21987,2782.0,0.0239
1266,2.71866,1388.0,0.0394
1267,3.4059096,1307.0,0.04659
1268,1.84683,2020.0,0.0315
1269,3.92273,970.0,0.0457
1270,3.40883495,1456.0,0.0442
1271,2.7566,1650.0,0.04
1272,3.76483,1210.0,0.0473
1273,2.34121,1772.0,0.03651
1274,2.9444256,1077.0,0.0376
1275,3.53269,1502.0,0.047
1276,4.322482,1340.0,0.052
1277,4.8996284,1379.0,0.06
1278,2.152175,1311.0,0.03144
1279,2.8786765,1620.0,0.0408
1280,5.367753,1500.0,0.0663
1281,0.78883852,2113.0,0.01652
1282,2.724033,3353.0,0.05053
1283,5.147878,1760.0,0.0653
1284,5.026799,1378.0,0.06
1285,9.38755,1160.0,0.0904
1286,5.1817,1480.0,0.0627
1287,4.1117771,1111.0,0.04632
1288,3.3769848,1479.0,0.0451
1289,4.5195064,1186.0,0.05427
1290,3.409264,1540.0,0.048
1292,0.94145223,2429.0,0.02024
1293,3.3448285,2470.0,0.0558
1294,3.071722,1142.0,0.03957
1295,3.899052,1721.0,0.0535
1296,3.0652907,1571.0,0.04403
1297,4.2337005,1528.0,0.05503
1298,1.38665318,1880.0,0.0248
1299,5.477433,1740.0,0.0694
1300,3.8186244,1642.0,0.0504
1301,2.34478022,1422.0,0.0337
1302,3.73543,1755.0,0.0515
1303,5.6114118,1604.0,0.0681
1304,4.153658,1340.0,0.0519
1305,2.0219596,2329.0,0.0365
1306,5.44354,1270.0,0.0641
1307,3.465509,1624.0,0.04823
1308,1.7771255,1610.0,0.02818
1309,1.6096884,1638.0,0.0266
1310,9.62468,910.0,0.0871
1311,5.4060425,1557.0,0.0673
1312,3.7684952,1119.0,0.0452
1313,3.1186,1389.0,0.0415
1314,3.840401,1850.0,0.0538
1315,3.656333,1590.0,0.0517
1316,3.951623,1193.0,0.0499
1317,3.836169,970.0,0.0453
1318,3.332609,1700.0,0.048
1319,4.5334775,1312.0,0.055
