,orbit_semi-major_axis_[au]),equilibrium_temperature_[k],insolation_flux_earth,orbital_period_[days]
672,1.57, , ,811.3
673,1.12, , ,359.51001
674,1.5, , ,521.0
675,288.6525,1478,794.22,2.178
680,2.1, , ,820.2
681,0.11, , ,12.62
682,0.8, , ,248.4
683,2.32, , ,1184.1
684,1.032, , ,351.0
685,1.492, , ,577.2
686,3.584, , ,2149.0
687,1.5, , ,645.0
688,4.17, , ,3947.0
689,0.09286,900, ,9.6392
690,0.934, , ,307.9
691,0.85, , ,279.3
692,0.36, , ,75.523
693,2.12, , ,990.0
694,0.08,650, ,8.4282
695,0.362, , ,75.2203
696,2.39, , ,1272.0
697,0.14, , ,17.24
698,0.87, , ,280.17
699,0.23, , ,40.0
700,1.331, , ,641.472
701,2.16,159,0.16,1207.0
702,0.341,400,6.29,75.74
703,0.103, , ,12.458
704,0.2292, , ,41.763
705,1.13, , ,434.5
706,0.94, , ,270.0
707,5.42, , ,5144.0
708,1.32, , ,420.77
709,0.1512, , ,20.6532
710,0.1192, , ,15.1479
711,0.292241, , ,58.11187301
712,2.840843, , ,1753.10959642
713,0.07,900, ,6.404
714,10.932103, , ,14773.93271605
715,1.36, , ,533.0
716,6.469422, , ,6707.49126331
717,0.764552,345, ,225.67371788
718,3.073402, , ,1818.82339336
719,2.24, , ,1145.0
720,1.31, , ,359.89999
721,1.32, , ,550.0
722,2.57, , ,1532.0
723,0.16278,883,17.44,21.21663
724,1.16, , ,323.6
725,1.7, , ,582.0
726,2.306105, , ,1276.07604009
727,0.975, , ,298.43
729,1.42, , ,623.8
730,0.06296, ,83.50,6.4898
731,0.11878, ,23.50,16.8191
732,0.246, , ,44.505
733,1.14, , ,410.10001
734,0.5137, , ,110.9
735,0.34, , ,71.484
736,0.1214, , ,14.479
737,0.0443, , ,3.092514
738,0.843, , ,213.72
739,3.87, , ,2278.0
740,1.46, , ,396.03
741,0.343, , ,105.911
742,1.4, , ,510.9
743,7.420228, , ,7593.40511644
744,1.592, , ,564.1
745,0.087639, , ,10.28510117
746,17.521435, , ,28982.41764205
747,0.08, , ,9.3743
748,1.76, , ,962.0
749,3.0, , ,2172.0
750,1.85, , ,956.0
751,1.459291, , ,624.87403922
752,5.581571, , ,4667.97840705
753,0.1334,769,58.10,17.471278
754,0.94, , ,286.6
755,1.334, , ,484.3
756,1.92, , ,836.4
757,0.077, , ,6.83776
758,0.048,863,145.00,4.1374354
759,2.1, , ,1019.74
760,0.0426, , ,3.0965828
761,4.89, , ,3810.0
762,1.82, , ,766.0
763,1.203, , ,461.2
764,11.958319, , ,14583.81038324
765,0.111, , ,14.288
766,0.197, , ,33.688
767,0.03126,1209,356.00,2.21857567
768,0.092, , ,11.72
769,2.405224, , ,1143.59857585
770,3.9,150, ,2854.0
771,0.1304, , ,17.111
772,2.231, , ,1176.45
773,5.5, , ,4885.0
774,2.746858, , ,1603.38923493
775,0.0804,880,100.00,8.8803256
776,0.1752,600,21.00,28.579743
777,0.2132,540,14.30,38.353037
778,0.407,390,3.90,101.12
779,3.2,125, ,2200.0
780,0.812,278,0.99,284.0
781,0.15,486, ,24.3556
782,0.32,355, ,74.72
783,1.18,185, ,525.8
784,1.063, , ,340.94
785,11.043187, , ,13092.18347776
786,0.14, , ,18.20132
787,2.51, , ,1378.0
788,5.02, , ,3638.0
789,1.1, , ,402.0
790,2.37, , ,1333.0
791,2.07, , ,1035.7
792,0.425988, , ,99.62167078
793,1.305, , ,466.2
794,0.0974, , ,11.8482
795,0.1964, , ,33.9239
796,1.565, , ,606.3
797,1.96, , ,852.5
798,2.41, , ,1260.0
799,1.566, , ,517.8
800,2.342, , ,946.6
801,0.05208,2132,3440.00,3.308958
802,487.1,1040, ,3165.0796094172
803,0.018,2141,3474.00,0.926118
804,1.768964, , ,512.53519584
805,5.068253, , ,2481.07226962
806,2.73, , ,1552.9
807,2.2, , ,1120.0
808,3.183074, , ,2041.11538546
809,0.211213, , ,34.95875432
810,7.444845, , ,7325.64666214
811,2.55, , ,1733.0
812,0.177326, , ,25.33798092
813,0.896, , ,279.8
814,0.461, , ,96.045
815,1.74, , ,673.2
816,9.6,1429, ,9350.0
817,3.53,1182, ,2090.0
818,0.0529, , ,5.3135
819,0.1004, , ,13.8905
820,0.1647, , ,29.158
821,0.3374, , ,85.5073
822,1.3649, , ,597.0643
823,0.586, , ,160.07
824,2.112, , ,1155.7
825,0.1163,632,26.50,16.202159
826,0.1207,660, ,18.315
827,0.2036,508, ,40.114
828,0.3499,388, ,90.309
829,0.509, , ,147.02
830,0.524, , ,130.08
831,2.1, , ,875.5
832,0.95, , ,380.85001
833,1.05, , ,352.7
834,0.04707,1459,758.36,3.52474859
835,1.487, , ,649.918
836,1.13, , ,442.19
837,1.148, , ,354.1
838,0.768,380,3.44,223.8
839,2.656, , ,1558.0
840,0.143, , ,25.201
841,0.03, , ,2.24571
842,1.19, , ,380.7
843,1.89, , ,882.70001
844,13.0, , ,17000.0
845,0.099068, , ,11.12214173
846,0.02012,2128,3253.81,1.008035
847,0.056798,1265, ,4.78503
848,0.362, , ,84.288
849,3.078036, , ,1854.84423702
850,0.057638, , ,5.75999
851,0.067393, , ,7.28243
852,0.08799, , ,10.86499
853,0.15417, , ,25.1967
854,0.05, , ,3.93404
855,1.282, , ,567.94
856,2.56, , ,1311.0
857,2.497, , ,1334.28
858,0.198, , ,35.45
859,0.528, , ,154.43
860,0.61, , ,148.60001
861,0.46, , ,118.45
862,0.1455, , ,22.6786
863,0.2586, , ,53.7357
864,0.08, , ,7.12682
865,5.32, , ,4270.0
866,0.0695,701,42.63,7.78993
867,2.44502, , ,1301.36009179
868,0.037863, , ,2.52220686
869,4.56, , ,3501.3
870,3.748429, , ,2560.19774386
871,0.69, , ,225.7
872,5.935698, , ,5478.68860928
873,0.03876,1015,176.20,3.092926
874,0.0653,782,62.10,6.76458
875,0.237,410,4.72,46.859
876,0.1463,523,12.38,22.717
877,0.3753, , ,94.2
878,3.11, , ,2247.0
879,0.94, , ,275.5
880,3.2, , ,2093.3
881,0.06356,1073,224.02,6.03607
882,0.048559, , ,3.83482856
883,5.657321, , ,4789.87297306
884,1.6, , ,672.09998
885,2.729, , ,1728.0
886,3.396, , ,2266.4
887,4.94, , ,3724.7
888,0.74, , ,218.47
889,1.25, , ,456.1
890,0.1228,789,91.65,14.2767
891,8.416586, , ,8615.41549088
892,2.306, , ,1173.0
893,1.83, , ,871.0
894,5.14, , ,3999.0
895,1.34, , ,572.38
896,2.373375, , ,1202.05198926
897,0.191, , ,26.6904
898,0.051,573,26.00,5.09071
