,planet_mass,planet_radius,planet_density
223,6.6,2.46,2.44
224,10.6,3.25,1.7
225,13.9,4.57,0.8
226,1.86,1.264,5.03
227,7.41,2.63,2.24
228,146.20107,14.3,0.275
229,63.56568,9.32,0.431
230,1.84,1.217,5.6
231,3.4,1.66,4.08
232,6.1,2.34,2.62
233,8.4,2.83,2.04
234,0.546,0.718,8.106
235,8.0,2.75,2.11
236,1.75,1.09,7.3
237,5.71,2.26,2.72
238,1.71,1.17,5.87
239,7.14,2.57,2.31
240,2.47,1.38,5.16
241,6.26,2.38,2.55
242,2.69,1.45,4.85
243,7.6,2.63,2.3
244,53.83,8.4,0.499
245,11.07,3.33,1.65
246,16.57,4.22,1.21
247,6.043,2.33,2.63
248,32.422,6.27,0.723
249,5.223,2.14,2.93
250,22.1,4.17,1.8
251,13.2,3.69,1.44
252,2.82,1.305,7.0
253,1271.3,13.0,3.18
254,5.2,2.13,2.96
255,5.36,2.17,2.88
256,15.8,4.11,1.25
257,5.5,2.21,2.8
258,1.7,1.17,5.83
259,2.82,1.49,4.68
260,104.244,12.5,0.293
261,5.6,2.23,2.77
262,3.8,1.77,3.77
263,2.7,1.45,4.87
264,2.7,1.45,4.87
265,4.6,1.99,3.21
266,11.09,3.33,1.65
267,1837.01057,12.8,4.81
268,4271.00959,12.3,12.6
269,3.79832,1.77,3.76
270,6.69167,2.48,2.41
271,7764.94529,12.0,24.7
272,4.4,1.93,3.36
273,8.7,2.89,1.98
274,9.0,2.95,1.93
275,17.2,4.32,1.17
276,16.0,4.14,1.24
277,13.64,3.77,1.4
278,2.96,1.53,4.54
279,216.0,14.0,0.433
280,286.04557,13.9,0.585
281,223.11554,14.0,0.447
282,1404.8086,12.9,3.6
283,723.2235,13.3,1.69
284,226.9846,14.0,0.455
285,6.83,2.51,2.37
286,14.6,3.92,1.33
287,4.2,1.88,3.47
288,7.6,2.67,2.19
289,718.2922,13.3,1.68
290,66.74397,9.6,0.415
291,19.66,4.67,1.06
292,9.65,3.07,1.83
293,3051.24439,12.5,8.58
294,4.91,1.577,6.93
295,0.84,1.241,2.42
296,4.04,2.022,2.69
297,6261.21962,16.477,8.222423
298,6356.0,33.6,0.921
299,5000.0,20.176,3.35
300,3591.3,14.179,6.92
301,533.95172,13.776,1.12
302,259.66581,14.818,0.439
303,13.02,3.66,1.46
304,5.63,2.24,2.75
305,6.624,2.46,2.45
306,166.86075,14.785,0.282
307,26.69772,4.36,1.68
308,731.009,13.3,1.71
309,67.059,10.749,0.3192
