,planet_mass,planet_radius,planet_density
953,2084.54271,12.7,5.59
954,387.7526,13.7,0.829
955,149.37,14.3,0.281
956,491.68301,13.5,1.1
957,197.0546,14.1,0.386
958,10.47,3.22,1.72
959,14.16,3.85,1.36
960,11.82,3.46,1.57
961,4.73,1.627,5.5
962,10.67,2.923,2.35
963,5.03,2.09,3.03
964,9.74,3.09,1.81
965,966.16,13.1,2.36
966,222.481,14.0,0.446
967,152.5584,14.3,0.287
968,476.74261,13.6,1.04
969,400.46379,13.7,0.856
970,282.86728,13.9,0.579
971,63.56568,9.32,0.431
972,77.55052,9.718,0.464
973,104.56607,12.5,0.294
974,2892.1,12.5,8.14
975,638.8383,13.4,1.46
976,556.2025,13.5,1.24
977,260.6206,13.9,0.533
978,53.5,8.42,0.492
979,30.7,6.07,0.754
980,16.8,4.26,1.19
981,37.9,6.88,0.64
982,120.6,13.6,0.263
983,1195.0408,13.0,2.99
984,238.37131,14.0,0.477
985,72.46524,10.1,0.386
986,214.53525,14.0,0.43
987,207.22516,14.1,0.406
988,221.20968,14.0,0.443
989,854.9627,13.2,2.04
990,1013.8777,13.1,2.48
991,54.98431,8.56,0.482
992,127.132,14.0,0.255
993,206.34463,14.1,0.404
994,3320.46746,12.4,9.57
995,3082.31534,12.5,8.67
996,3889.98524,12.4,11.2
997,4.0,1.83,3.59
998,6.3,2.39,2.54
999,4.0,1.83,3.59
1000,8.5,2.85,2.02
1001,4.0,1.83,3.59
1002,6.6,2.46,2.44
1003,9.5,3.04,1.86
1004,5.2,2.13,2.96
1005,7.1,2.56,2.33
1006,858.141,13.2,2.05
1007,1484.2661,12.9,3.8
1008,807.25,13.2,1.93
1009,5838.29,12.1,18.1
1010,542.78936,13.5,1.21
1011,508.528,13.5,1.14
1012,708.7609,13.3,1.66
1013,689.66,13.3,1.61
1014,257.4423,13.9,0.527
1015,14.4,3.89,1.34
1016,15.8915,4.12,1.25
1017,612.45841,13.4,1.4
1018,176.03781,14.2,0.338
1019,2479.19613,12.6,6.81
1020,810.4665,13.2,1.94
1021,184.33,14.1,0.361
1022,12.19,3.52,1.54
1023,8.81,2.91,1.96
1024,568.89,13.5,1.27
1025,60.16492,9.03,0.449
1026,174.4878,14.2,0.335
1027,137.62039,14.3,0.259
1028,7574.93226,12.0,24.1
1029,71.8,10.0,0.395
1030,22.2481,5.02,0.966
1031,111.42,13.0,0.279
1032,753.23,13.3,1.76
1033,753.23,13.3,1.76
1034,731.009,13.3,1.71
1035,597.5204,13.4,1.36
1036,2330.0,12.6,6.4
1037,4417.837,12.3,13.0
1038,484.69075,13.5,1.08
1039,513.29545,13.5,1.15
1040,31.783,6.2,0.733
1041,519.96988,13.5,1.16
1042,931.2419,13.2,2.22
1043,1574.464,12.9,4.03
1044,12.77,3.62,1.48
1045,14.31,3.87,1.36
1046,384.5743,13.7,0.822
1047,7.8,2.45,2.9
1048,18.4,4.49,1.12
1049,494.54348,13.5,1.1
1050,334.67499,13.8,0.7
1051,1230.0021,13.0,3.08
1052,1837.0574,12.8,4.81
1053,534.27223,13.5,1.19
1054,104.88,12.5,0.295
1055,13.3,3.71,1.43
1056,1893.34292,12.8,4.96
1057,2425.0429,12.6,6.66
1058,2199.3836,12.7,5.9
1059,2065.895,12.7,5.54
1060,336.8998,13.8,0.704
1061,797.7533,13.3,1.86
1062,5538.75835,12.2,16.8
1063,7882.56267,12.0,25.1
1064,731.0,13.3,1.71
1065,2773.33249,12.5,7.8
1066,5.27,2.15,2.91
1067,7.61,2.67,2.2
1068,79.4575,12.31,0.234
1069,168.4499,14.2,0.323
1070,10.8,2.99,2.2
1071,11.1,2.9,2.5
1072,17.8,4.41,1.14
1073,813.64072,13.2,1.94
1074,155.7367,14.2,0.299
1075,411.58985,13.6,0.899
1076,645.1949,13.4,1.47
1077,1906.9,12.8,5.0
1078,3426.60694,12.4,9.88
1079,768.2868,13.3,1.79
1080,973.0,13.1,2.38
1081,1540.0,12.9,3.94
1082,533.9544,13.5,1.19
1083,975.7381,13.1,2.39
1084,626.1251,13.4,1.43
1085,4767.4261,12.3,14.1
1086,966.19836,13.1,2.36
1087,10.2,3.17,1.76
1088,11.8,3.46,1.57
1089,18.1,4.45,1.13
1090,1900.0,12.8,4.98
1091,633.43519,13.4,1.45
1092,85.8141,11.1,0.345
1093,561.92344,13.5,1.26
1094,1071.53588,13.1,2.62
1095,5948.05833,12.1,18.4
1096,1736.44828,12.8,4.55
1097,1325.38828,13.0,3.32
1098,1716.49961,12.8,4.5
1099,978.9164,13.1,2.39
1100,715.09,13.3,1.67
1101,353.42696,13.7,0.755
1102,10.2,2.79,2.58
1103,9.7,2.39,3.88
1104,531.83222,13.5,1.19
1105,2894.47226,12.5,8.14
1106,2652.63439,12.6,7.29
1107,155.7367,14.2,0.299
1108,317.83,13.8,0.665
1109,1792.5612,12.8,4.7
1110,861.3193,13.2,2.06
1111,66.7443,9.6,0.415
1112,1249.0719,13.0,3.12
1113,15.9,4.12,1.25
1114,203.41018,14.1,0.399
1115,6.3566,2.4,2.53
1116,7.86,2.72,2.15
1117,6.44,2.42,2.5
1118,425.8922,13.6,0.93
1119,1392.0954,11.994,5.08
1120,5.6,1.613,7.4
1121,890.0,13.2,2.13
1122,162.09249,14.2,0.311
1123,3257.74117,12.5,9.17
1124,4443.24113,12.3,13.1
1125,218.531,14.0,0.438
1126,6547.0,12.1,20.3
1127,1.83,1.19,5.97
1128,1.75,1.18,5.85
1129,3.93,1.81,3.64
1130,3.93,1.81,3.64
1131,1891.0,12.8,4.95
1132,25.0,5.38,0.882
1133,332.1,13.8,0.694
1134,486.2799,13.5,1.09
1135,13.38,3.72,1.43
1136,3.63,2.06,2.82
1137,1303.103,13.0,3.26
1138,476.745,13.6,1.04
1139,540.3,13.5,1.21
1140,7838.32346,12.0,24.9
1141,7057.73298,12.0,22.4
1142,762.78818,13.3,1.78
1143,4576.72906,12.3,13.5
1144,762.8,13.3,1.78
1145,635.66,13.4,1.45
1146,4327.36,12.3,12.8
1147,4958.12315,12.2,15.0
1148,3756.73177,12.4,10.8
1149,2790.43,12.5,7.85
1150,425.89007,13.6,0.93
1151,1455.6614,12.9,3.73
1152,324.1866,13.8,0.678
1153,2987.58703,12.5,8.41
1154,2415.406,12.6,6.64
1155,1032.9475,13.1,2.52
1156,209.76675,14.1,0.411
1157,2129.461,12.7,5.71
1158,1938.7,12.7,5.2
1159,3223.13586,12.5,9.07
1160,3729.12221,18.495,3.24
1161,2479.0,12.6,6.81
1162,3464.32964,12.4,9.98
1163,2056.3601,12.7,5.52
1164,572.07,13.4,1.31
1165,1.09,1.03,5.48
1166,1.14,1.05,5.41
1167,0.7,0.913,5.05
1168,2002.31896,12.7,5.37
1169,225.34147,15.39,0.34
1170,1398.452,23.203,0.62
1171,378.2,12.78,1.06
1172,451.3186,14.011,0.83
1173,2316.9807,15.805,8.09
1174,435.409,13.6,0.951
1175,82.6358,10.9,0.351
1176,179.89178,11.131,0.715
1177,263.7989,12.778,0.64
1178,6.26,2.043,2.92
1179,1.26,1.08,5.5
1180,7.7,2.69,2.17
1181,3.41,1.66,4.1
1182,1.91,1.21,5.92
1183,232.33373,12.993,0.62
1184,188.15536,11.561,0.72
1185,355.9696,15.278,0.54
1186,1274.44,16.7,1.61
1187,6992.0,10.468,33.5
1188,4386.054,10.4,21.4
1189,2542.62726,12.6,6.98
1190,772.3269,11.433,2.79
1191,293.03926,12.823,0.764
1192,432.2488,12.778,1.21
1193,152.55,13.45,0.37
1194,457.6752,13.787,0.84
1195,196.411,14.1,0.385
1196,158.915,17.71,0.118
1197,467.2101,17.901,0.479
1198,255.85315,16.376,0.346
1199,425.8922,11.545,1.59
1200,200.2329,18.271,0.193
1201,1875.197,11.657,7.0
1202,133.4886,16.365,0.141
1203,692.8694,15.524,1.02
1204,402.05495,13.899,0.88
1205,220.565,10.559,1.104
1206,95.349,11.657,0.35
1207,371.8611,18.159,0.354
1208,231.69807,16.018,0.332
1209,170.99254,11.198,0.717
1210,3003.37,12.5,8.45
1211,807.2882,12.666,2.47
1212,270.1555,18.719,0.13
1213,352.7913,21.633,0.131
1214,529.81995,13.787,1.115
1215,292.4036,20.512,0.201
1216,340.06,14.235,0.69
1217,228.8376,15.244,0.3697
1218,908.9938,15.917,1.596
1219,731.009,14.46,0.87
1220,441.7837,13.227,0.94
1221,187.512,13.047,0.499
1222,305.1168,14.908,0.55
1223,92.1707,12.442,0.291
1224,343.2564,14.796,0.665
1225,136.6669,12.89,0.388
1226,746.9005,15.693,1.144
1227,492.62,12.464,1.5
1228,403.945,14.247,0.823
1229,117.5971,15.805,0.173
1230,165.2716,14.796,0.262
1231,851.7844,15.805,1.423
1232,174.8065,9.864,0.378
1233,117.5971,11.545,0.326
1234,274.276,8.687,2.4
1235,308.2951,16.029,0.45
1236,204.68252,11.769,0.693
1237,143.0235,10.536,0.583
1238,193.8763,14.908,0.329
1239,187.5197,17.71,0.167
1241,677.61356,12.038,2.28
1242,146.2,14.24,0.29
1243,466.8287,13.07,1.325
1244,502.15,12.184,1.64
1245,117.5971,12.442,0.288
1246,254.264,16.814,0.415
1247,6.77,1.808,6.29
1248,14.2,3.567,1.72
1249,500.0,13.5,1.12
1250,363.6,12.64,0.989
1251,607.0553,13.159,1.467
1252,306.38812,10.604,1.418
1253,276.5121,12.33,0.811
1254,565.714,10.424,2.939
1255,167.49641,12.576,0.464
1256,1010.6994,13.1,2.47
1257,270.1555,12.33,0.742
1258,376.94638,14.807,0.612
1259,88.989,14.235,0.186
1260,1093.3352,13.787,2.54
1261,572.07,13.002,1.53
1262,750.39663,14.874,1.26
1263,225.6593,14.572,0.378
1264,177.9848,11.209,0.412
1265,665.21819,17.856,0.689
1266,835.8929,10.761,3.24
1267,151.916,17.363,0.172
1268,772.3269,15.917,0.89
1269,73.1009,8.631,0.65
1270,282.54945,13.664,0.651163
1271,270.1555,13.563,0.703
1272,139.8452,11.994,0.382
1273,394.1092,15.468,0.622
1274,280.95,10.783,1.17
1275,212.9461,13.787,0.444
1276,95.345,11.99,0.32
1277,98.841,16.388,0.132
1278,295.89973,12.117,0.914
1279,731.009,13.787,1.62
1280,317.83,12.89,0.815
1281,366.77398,15.861,0.506
1282,632.47853,18.147,0.621987
1283,254.264,18.383,0.224
1284,1341.2426,12.442,3.821
1285,311.4734,14.011,0.66
1286,181.1631,14.908,0.32
1287,159.55066,16.477,0.21
1288,47.03884,9.528,0.318
1289,95.03117,13.271,0.237
1290,286.047,13.899,0.61
1291,55.2,8.58,0.48
1292,3241.84975,13.899,6.6
1293,527.5978,20.288,0.37
1294,161.45764,17.71,0.172
1295,271.74465,16.87,0.31
1296,314.6517,13.54,0.74
1297,104.88337,16.107,0.135
1298,1172.7927,13.451,2.84
1299,149.3801,17.598,0.16
1300,344.52772,10.985,1.5
1301,508.528,12.285,1.6
1302,247.9074,20.961,0.082
1303,178.30263,14.617,0.33
1304,133.4886,16.814,0.16
1306,32.10083,7.062,0.54
1307,209.13214,14.123,0.44
1308,676.9779,12.644,1.96
1309,594.3421,13.473,1.42
1310,1652.716,11.209,6.9
1311,791.3967,12.812,2.2
1312,88.35674,12.218,0.284
1313,394.1092,13.675,0.572
1314,174.8065,15.468,0.28
1315,886.7457,11.994,3.1
1316,182.43442,11.19,0.64
1317,40.68224,5.717,1.3
1318,123.9537,17.374,0.15
1319,100.43378,13.305,0.250651
1320,2688.8418,11.994,8.54
1321,171.6282,15.805,0.263
1322,124.58874,13.9,0.255
1323,91.21675,8.474,0.831
1324,87.40325,12.498,0.263
1325,282.8687,10.088,1.6
1326,139.8452,9.528,0.95
1327,266.9772,17.15,0.31
1328,854.9627,13.563,1.98
1329,775.5052,16.141,1.1
1330,2809.6172,15.468,2.25
1331,37.18611,8.967,0.31
1332,387.7526,12.218,1.2
1333,479.9233,15.468,0.773
1334,603.877,14.572,1.16
1335,368.6828,13.563,0.88
1337,130.3103,10.05,0.84
1338,85.8141,13.675,0.2
1339,390.9309,9.976,2.34
1340,114.4188,13.675,0.222
1341,317.83,10.424,1.6
1342,52.3466,14.695,0.097
1343,64.2,9.38,0.427
1344,90.3,10.435,0.41
1345,190.698,13.899,0.43
1346,285.72917,14.773,0.521
1347,367.72747,19.649,0.266
1348,1541.4755,16.511,2.0
1349,465.62095,21.712,0.267
1350,390.9309,15.693,0.7
1351,163.36462,16.141,0.233
1352,95.349,11.882,0.3445
1353,562.24127,15.009,0.97
1354,150.96925,15.793,0.228
1355,162.09249,13.877,0.333
1356,251.0857,12.442,0.632
1357,115.0,13.2,0.275
1358,30.5,10.536,0.134
1359,514.8846,11.433,1.86
1360,572.094,10.761,2.65
1361,404.263,12.745,1.074
1362,473.547,17.127,0.55
1363,162.0933,16.029,0.24
1364,400.4658,14.908,0.53
1365,1001.12,12.106,4.14
1366,271.415,16.623,0.348
1367,3559.696,12.4,10.3
1368,222.481,14.0,0.446
1369,57.0,8.74,0.469
1370,33.6,6.41,0.701
1371,26.7,5.59,0.84
1372,74.9,10.27,0.38
1373,1017.056,13.1,2.49
1376,5085.28,12.2,15.4
1377,4767.45,12.3,14.1
1378,4449.62,12.3,13.1
1379,407.0,13.7,0.87
1380,568.9157,13.384,1.31
1381,247.9074,18.046,0.099
1382,607.03,14.975,0.994
1383,473.5667,15.244,0.884
1384,266.9772,12.666,0.712
1385,1.11,1.04,5.42
1386,1.05,1.02,5.44
1387,1906.98,12.33,5.59
1388,4449.62,12.3,13.1
1389,3426.2074,12.4,9.87
1390,1716.282,12.8,4.5
1391,1086.9786,13.1,2.66
1392,104.88337,12.5,0.295
1393,3178.0,12.5,8.94
1394,794.5,13.3,1.86
1395,1938.763,12.7,5.2
1396,0.326,0.755,4.16278
1397,1.321,1.129,5.055986
1398,1.039,1.045,5.022904
1399,0.692,0.92,4.901605
1400,0.388,0.788,4.366784
1401,1.308,1.097,5.463993
1402,1.374,1.116,5.441939
1403,3591.461,12.4,10.4
1404,9.1,2.765,2.34
1405,55.30242,9.55,0.35
1408,211.99261,13.126,0.515
1409,301.9385,11.994,0.962
1410,39.09,3.444,5.2
1412,9.6,2.587,3.06
1413,4.53,1.704,5.02
1414,2.15,1.27,5.77
1415,18.467,2.926,4.03
1416,36.4,6.71,0.662
1417,5.3,2.02,3.5
1418,4.0,1.85,3.4
1419,9.32,2.63,2.82
1420,9.79,2.28,4.51
1421,6.68,2.474,2.42
1422,7.76,2.701,2.16
1423,4.85,2.049,3.1
1424,0.818,0.953,5.19
1425,1.25,1.073,5.56
1426,7.27,2.6,2.27
1427,0.704,0.914,5.07
1428,392.83788,13.115,0.957
1429,23.6,5.25,0.91
1430,279.6904,19.851,0.195
1431,2011.8639,11.882,6.58
1432,13.6,3.76,1.41
1433,464.98529,11.433,1.7
1434,3.0,2.32,1.3
1435,16.0,2.67,4.6
1436,11.95,2.53,4.1
1437,5.4,2.878,1.3
1438,1.59,1.423,3.0
1439,1910.14873,12.229,5.74
1440,1147.36055,12.173,3.5
1441,419.5335,11.31,1.6
1442,4.78,2.03,3.14
1443,0.674,0.903,5.03
1445,61.5,5.82,1.72
1446,127.13136,9.303,0.93
1447,23.7,5.22,0.916
1449,24.8,5.351,0.889
1450,1036.12061,11.882,3.39
1451,15.05,3.99,1.3
1452,33.12,6.35,0.711
1453,5.03,2.09,3.03
1454,1.42,1.166,4.89
1455,486.2799,11.097,1.96
1456,734.18362,12.442,2.09
1457,168.44906,10.536,0.791
1458,732.0,12.53,2.06
1459,15.6,4.07,1.27
1460,9.8,3.1,1.81
1461,4.31,1.91,3.4
1462,8.35,2.82,2.05
1463,252.35576,13.26,0.595
1464,6.41,2.415,2.5
1465,5.76,2.266,2.72
1466,143.02278,16.813,0.165
1467,9.9,3.29,1.36
1468,2.83,1.49,4.7
1469,3.07,1.28,8.0
1470,16.42,5.09,0.685
1471,7.17,2.68,2.05
1472,136.66622,13.305,0.32
1473,457.67291,13.574,1.01
1474,7.95,2.74,2.12
1475,3.61,1.72,3.9
1476,232.01474,13.047,0.57
1477,55.61997,12.274,0.165
1478,129.03833,14.28,0.243
1479,16.5,6.0,0.424
1480,352.78953,13.137,0.85
1481,330.54154,18.495,0.289
1482,85.3,12.0,0.27
1483,222.47988,11.321,0.85
1484,324.18498,12.599,0.89
1485,311.47184,13.081,0.76
1486,82.63539,8.295,0.8
1487,375.03752,23.539,0.065
1488,530.77344,12.229,1.6
1489,1598.35906,12.801,4.19
1490,721.47048,12.98,1.82
1491,211.35589,11.4,0.78
1492,197.05361,16.432,0.245
1493,533.95172,13.159,1.28
1494,117.59651,12.845,0.304
1495,225.65817,15.278,0.34
1496,309.8827,18.114,0.287
1497,139.8445,17.262,0.15
1498,7.51,2.65,2.22
1499,4.78,2.133,2.72
1500,6.15,2.355,2.6
1501,1.58,1.206,4.97
1502,8.8,2.77,2.28
1503,193.87533,19.728,0.139
1504,69.28659,12.072,0.216
1505,79.4571,14.46,0.144
1506,260.61929,13.641,0.563
1507,43.86032,7.163,0.65
1508,63.88351,10.929,0.269
1509,8.0,2.75,2.11
1510,208.81326,10.133,1.11
1511,26.69759,8.676,0.225
1513,2.1,1.25,5.91
1514,3.89,1.8,3.67
1515,105.83686,10.368,0.52
1516,3.46,1.68,4.01
1517,8.96,2.94,1.94
1518,2.67,1.44,4.91
1519,71.51139,8.608,0.61
1520,508.52545,10.088,2.72
1522,3.26,1.62,4.21
1523,5.45,2.194,2.84
1524,502.16888,14.37,0.93
1525,203.41018,11.153,0.8
1526,117.27868,13.4,0.268
1527,310.83618,11.321,1.18
1528,13.8,3.03,2.73
1529,26.0,3.51,3.31
1530,298.7587,19.84,0.06
1531,206.58846,11.4,0.76
1532,875.61726,11.321,3.32
1533,18.75188,8.0,0.34
1534,177.98391,10.1,0.76
1535,260.61929,10.761,1.14
1536,6.37,2.19,3.34
1537,1595.4986,15.098,2.55
1538,4.82,2.04,3.12
1539,10.5,3.232,1.71
1540,12.0,3.497,1.54
1541,6.89,2.518,2.37
1542,2.24,1.3,5.6
1543,7.32,2.61,2.26
1544,731.00534,16.141,0.955
1545,1398.44499,12.52,3.9
1546,133.4886,11.299,0.509
1547,638.8351,13.978,1.28
1548,209.7678,12.89,0.54
1549,2.27,1.31,5.55
1550,68.01528,11.657,0.252
1551,731.00534,12.778,2.0
1552,2.57,1.258,5.52
1553,222.47988,16.141,0.28
1554,3.94,2.87,0.915
1555,7.72,2.287,3.6
1556,3.86,2.207,1.98
1557,3.01,2.572,0.976
1558,4.77,1.669,5.62
1559,1.5,1.152,5.4
1560,10.8,3.14,1.91
1564,26.78,5.05,1.14
1565,1722.6386,10.817,7.53
1566,28.3,5.34,0.94
1567,48.8,3.09,9.44
1568,6.36,1.9,5.0
1569,333.71983,13.8,0.698
1570,26.1,5.44,0.89
1571,2.57,1.41,5.04
1572,251.40353,12.173,0.76
1573,3.78,1.7,4.21
1574,200.2319,11.063,0.81
1575,41.31769,2.06,8.6
1576,182.11568,14.1,0.357
1577,4.91,1.79,4.7
1578,387.7526,16.69,0.49
1579,314.6517,13.888,0.64
1580,375.0394,14.415,0.686
1582,1004.33777,15.244,1.56
1583,797.7533,14.067,1.68
1584,270.47333,11.882,0.88
1585,6.64,2.064,4.15
1586,3.21,1.28,8.41
1587,4.82,1.672,5.6
1588,11.8,3.46,1.57
1589,3.87,1.397,7.8
1590,1.71,1.17,5.87
1591,991.62463,16.701,1.17
1592,9.0,3.96,0.795
1593,2.42,1.36,5.29
1594,33.0,6.85,0.56
1595,753.2571,15.648,1.08
1596,22.4,3.42,3.08
1597,113.14691,9.427,0.743
1598,94.71287,13.798,0.198
1599,84.0,11.0,0.347
1600,42.0,5.24,1.3
1601,5879.82553,12.218,18.0
1602,26.7,5.59,0.84
1603,24.6,4.14,1.9
1604,96.4,9.1,0.71
1605,2.2,1.56,3.18
1606,13.5,2.37,5.57
1607,11.84,3.12,2.14
1608,13.2,2.76,3.45
1609,8.56,2.41,3.35
1610,140.16233,11.456,0.513
1611,13.6,2.93,2.98
1612,6.63,2.759,1.73
1613,9.5,2.726,2.57
1614,14.8,3.78,1.51
1615,5.3,3.51,0.7
1616,8.8,2.51,3.21
1617,8.1,3.01,1.63
1618,5.9,1.694,6.7
1619,15.4,3.65,1.74
1620,66.5,9.572,0.417
1621,7.85,2.72,2.14
1622,6.28,2.415,2.45
1623,375.03752,14.572,0.666
1624,6.94,2.53,2.35
1625,14.3,3.88,1.35
1626,7.46,2.639,2.23
1627,19.3,4.627,1.07
1628,8.64,2.879,1.99
1629,4.27,1.9,3.42
1630,309.56642,16.814,0.38
1631,12.9,3.65,1.46
1632,1064.72516,14.572,1.89
1633,9.95,1.791,9.32
1634,2.5,2.651,0.771906
1635,13.5,2.587,4.30062
1636,9.78,3.1,1.8
1637,10.15,2.265,4.85
1638,212.94503,16.701,0.25
1639,617.22586,12.52,1.847
1640,942.0,11.25,3.64
1641,20.0,4.72,1.05
1642,527.5978,13.5,1.18
1643,1207.7,9.079,8.87
1644,3082.82,12.666,8.34
1645,4131.62,12.3,12.2
1646,4.0,1.83,3.59
1647,1906.98,14.011,3.81
1648,1.4,1.11,5.63
1649,1334.886,13.0,3.34
1650,2860.0,12.5,8.05
1651,5085.0,12.2,15.4
1652,378.2177,11.31,1.43
1653,117.91493,14.404,0.216
1654,597.5204,19.055,0.502
1655,212.31044,11.904,0.692
1656,1373.0256,12.408,3.95
1657,1938.763,12.722,5.1
1658,1369.8473,12.285,4.0
1659,792.635,14.056,1.573
1660,233.92288,17.295,0.248
1661,411.27202,12.812,1.076
1662,1.07,1.03,5.38
1663,2475.8957,12.6,6.8
1664,597.5204,13.4,1.36
1665,171.6282,14.2,0.329
1666,252.64307,13.9,1.84
1667,382.8,55.25309000000002,23.0
1668,794.575,13.3,1.86
1669,3.9,1.8,3.67
1670,4.3,1.91,3.39
1671,0.02,0.338,2.85
1672,1.97,1.22,5.96
1673,734.16,10.548,3.44
1676,635.66,22.866,0.292
1677,953.49,30.488,0.185
1678,4449.62,12.3,13.1
1679,1430.175,18.046,1.25
1680,441.77,15.278,0.68
1681,327.351,15.244,0.42
1682,320.995,12.666,0.41
1683,375.02,13.45,0.85
1684,400.449,12.251,1.2
1685,174.799,11.422,0.65
1686,197.046,14.011,0.4
1687,37.1,6.79,0.651
1688,699.2225,13.3,1.63
1689,2.48,1.38,5.19
1690,2.5,1.39,5.12
1691,4513.16338,12.3,13.3
1692,3248.20632,12.5,9.14
1693,1090.15144,13.1,2.66
1694,1036.12061,13.1,2.53
1695,162.09249,14.2,0.311
1696,1976.89269,12.7,5.3
1697,1400.0,12.9,3.58
1698,240.0,14.0,0.481
1699,210.0,14.1,0.412
1700,8.4,2.83,2.04
1701,890.0,13.2,2.13
1702,570.0,13.5,1.27
1703,6.4,2.41,2.51
1704,425.89007,13.6,0.93
1705,1500.0,12.9,3.84
1706,3.96,1.82,3.61
1707,13.93,3.81,1.38
1708,101.70509,12.3,0.3
1709,6.228,2.37,2.57
1710,20.1,4.73,1.04
1711,16.3,4.18,1.23
1712,6.4,2.41,2.51
1713,5.27,2.15,2.91
1714,14.62011,3.92,1.33
1715,240.0,14.0,0.481
1716,4.43,1.94,3.33
1717,3585.0,12.4,10.3
1718,505.0,13.5,1.13
1719,959.84179,13.1,2.35
1720,1760.0,12.8,4.61
1721,160.0,14.2,0.307
1722,9.0,2.95,1.93
1723,130.0,14.2,0.249
1724,127.0,14.0,0.254
1725,3.269,1.62,4.23
1726,250.0,13.9,0.512
1727,1.43,1.11,5.75
1728,4253.0,12.3,12.6
1729,225.65817,14.0,0.452
1730,140.0,14.3,0.263
1731,1330.0,13.0,3.33
1732,1300.0,13.0,3.25
1733,138.0,14.3,0.259
1734,17.9,4.42,1.14
1735,807.0,13.2,1.93
1736,21.0,4.86,1.01
1737,1100.0,13.1,2.69
1738,230.0,14.0,0.461
1739,180.0,14.2,0.345
1740,83.7,11.0,0.346
1741,55.3,8.59,0.479
1742,1169.60854,13.0,2.93
1743,181.16219,14.1,0.355
1744,160.0,14.2,0.307
1745,860.0,13.2,2.05
1746,200.0,14.1,0.392
1747,3020.0,12.5,8.5
1748,1.66,1.16,5.84
1749,92.0,11.6,0.324
1750,4100.0,12.3,12.1
1751,35.0,6.56,0.681
1752,53.1,8.39,0.494
1753,150.0,14.3,0.282
1754,120.0,13.6,0.262
1755,868.0,13.2,2.07
1756,588.0,13.4,1.34
1757,270.0,13.9,0.552
1758,46.1,7.72,0.551
1759,280.0,13.9,0.573
1760,170.0,14.2,0.326
1761,60.0,9.01,0.451
1762,1500.0,12.9,3.84
1763,57.0,8.74,0.469
1764,20.0,4.72,1.05
1765,80.0,10.7,0.359
1766,144.0,14.3,0.271
1767,86.0,11.1,0.346
1768,231.0,14.0,0.463
1769,5.5,2.21,2.8
1770,14.1,3.84,1.37
1771,1200.0,13.0,3.0
1772,830.0,13.2,1.98
1773,1760.7782,12.8,4.61
1774,730.978,13.3,1.71
1775,4497.2945,12.3,13.3
1776,731.0,13.3,1.71
1777,2329.6,12.6,6.4
1778,921.707,11.994,2.93
1779,295.5819,12.218,0.89
1780,425.57437,14.863,0.711
1781,72.78307,12.733,0.194
1782,20.6,3.18,3.45
1783,756.4354,16.589,0.31
1784,203.09235,11.467,0.74
1785,165.27077,13.608,0.36
1786,194.82881,14.202,0.374
1787,750.07504,14.908,1.25
1788,947.12865,11.994,3.02
1789,235.1942,17.878,0.226
1790,129.99182,13.563,0.28
1791,242.8209,13.899,0.5
1792,211.99155,14.572,0.38
1793,238.68913,12.33,0.74
1794,29.24036,4.977,1.395
1795,1538.2972,12.801,4.02
1796,66.10864,11.747,0.223
1797,109.33352,9.158,0.78
1798,687.14846,13.507,1.43
1799,258.07796,14.908,0.42
1800,146.2018,14.3,0.275
1801,127.132,14.0,0.255
1802,101.7056,12.3,0.3
1803,692.8694,13.3,1.62
1804,2126.2827,12.7,5.7
1805,7532.571,12.0,24.0
1806,190.0,14.1,0.372
1807,1200.0,13.0,3.0
1808,11.3,3.37,1.62
1809,5720.91133,12.2,17.3
1810,200.0,14.1,0.392
1811,890.0,13.2,2.13
1812,33.7,6.42,0.7
1813,3.24,1.62,4.19
1814,871.0,13.2,2.08
1815,6.7,2.48,2.41
1816,2700.0,12.6,7.42
1817,3690.0,12.4,10.6
1818,1500.0,12.9,3.84
1819,18.0,4.43,1.14
1820,17.0,4.29,1.18
1821,30.0,5.99,0.767
1822,480.0,13.6,1.05
1823,86.0,11.1,0.346
1824,9.2,2.99,1.89
1825,170.0,14.2,0.326
1826,3500.0,12.4,10.1
1827,830.0,13.2,1.98
1828,67.3,9.64,0.413
1829,10.4,3.21,1.73
1830,1300.0,13.0,3.25
1831,23.4,5.18,0.925
1832,540.30829,13.5,1.21
1833,3.3,1.63,4.19
1834,985.273,17.15,1.07
1835,1175.971,17.901,1.5
1836,257.431,9.976,1.4
1839,29.32,4.72,1.536
1840,8.6,2.3,3.9
1841,2.62,1.332,6.1
1842,1.54,1.147,5.57
1843,2.87,1.305,7.1
1844,13.3,3.71,1.43
1847,5.95,2.31,2.65
1848,1.46,1.12,5.71
1849,30.8,4.7,1.7
1850,2.25,1.303,5.59
1852,1.4,0.982,10.6
1853,0.35,0.696,6.0
1854,2.33,1.242,6.67
1855,1.76,1.169,6.07
1856,6.38,1.635,8.04
1857,3.06,1.56,4.43
1858,1.94,1.521,2.95
1859,2.22,1.385,4.57
1860,0.4,0.85,3.6
1861,4.67,2.0,3.21
1862,4.6,1.39,9.6
1863,6.08,2.34,2.61
1864,5.99,2.32,2.64
1865,2.42,1.36,5.29
1866,4.58,1.98,3.24
1867,7.75,2.7,2.16
1868,3.19,1.6,4.28
1869,9.11,2.97,1.91
1870,3.26,1.62,4.21
1871,6.99,2.54,2.34
1872,2.96,1.53,4.54
