,stellar_age_[gyr],stellar_effective_temperature_[k],stellar_mass_[solar_mass]
1196,2.7,6170.0,1.67
1197,0.7,6700.0,1.33
1198,2.29,6280.0,1.19
1200,4.4,6430.0,1.55
1201,1.3,5130.0,0.92
1202,3.0,6430.0,0.94
1205,1.0,5314.0,0.84
1206,5.0,5510.0,1.11
1209,7.0,4143.0,0.58
1210,4.0,5690.0,1.04
1211,4.0,5600.0,1.34
1212,1.4,6600.0,1.43
1213,2.8,6100.0,1.87
1214,6.2,5617.0,0.9
1215,5.3,6250.0,1.46
1216,3.5,6100.0,1.14
1217,3.7,5990.0,0.98
1218,4.3,6030.0,2.52
1219,3.2,6250.0,2.78
1220,3.0,6050.0,0.76
1221,9.5,5763.0,1.11
1222,2.4,6400.0,1.28
1223,7.0,4700.0,0.98
1224,5.7,5910.0,1.49
1225,12.6,5200.0,0.91
1226,3.7,6600.0,1.33
1227,8.0,5600.0,0.93
1228,1.2,5400.0,1.0
1229,8.3,5550.0,1.28
1230,2.6,6230.0,1.11
1231,2.7,6250.0,1.82
1232,1.7,5900.0,1.19
1233,11.0,5450.0,0.55
1234,0.5,4650.0,0.72
1235,12.8,5800.0,1.06
1236,2.6,5600.0,0.89
1237,6.2,5600.0,0.71
1238,1.1,5900.0,1.11
1239,6.9,6100.0,1.08
1242,0.4,5000.0,0.87
1243,7.0,5400.0,0.89
1244,5.4,5700.0,0.96
1245,11.9,5600.0,0.92
1246,7.9,5920.0,0.88
1247,6.5,5552.0,1.04
1248,6.5,5552.0,1.04
1249,6.5,5552.0,1.04
1250,6.5,5552.0,1.04
1251,9.6,5600.0,0.83
1252,12.7,5150.0,0.85
1253,10.3,5420.0,0.94
1254,7.0,4400.0,0.58
1255,4.4,5315.0,0.95
1256,1.2,5545.0,0.93
1257,1.2,5545.0,0.81
1258,7.0,5400.0,0.86
1259,9.0,5400.0,0.93
1260,3.29,6180.0,1.76
1261,11.0,5800.0,0.93
1262,1.4,5959.0,1.08
1263,5.0,5990.0,1.05
1264,7.8,5700.0,0.96
1266,2.22,6140.0,0.72
1267,1.0,6302.0,1.16
1268,2.1,6400.0,1.62
1269,14.0,4800.0,0.77
1270,5.5,6084.0,0.99
1271,6.0,6034.0,0.86
1272,0.02,5750.0,0.67
1273,3.8,6075.0,1.43
1274,6.2,5150.0,0.78
1275,3.0,6000.0,1.46
1276,12.0,5800.0,1.01
1277,7.0,5940.0,1.2
1278,8.2,5180.0,0.9
1279,5.7,5910.0,1.09
1281,6.4,5616.0,0.97
1282,0.73,8000.0,2.03
1283,2.55,6150.0,1.54
1284,3.1,6361.0,1.22
1285,6.6,5900.0,1.12
1286,4.7,6000.0,1.23
1287,14.9,5313.0,0.78
1288,5.952,5638.0,1.08
1289,2.5,5839.0,1.04
1290,1.2,6600.0,1.3
1291,1.0,6400.0,1.22
1292,1.57,6432.0,1.29
1293,0.43,9360.0,2.07
1294,9.7,5017.0,0.88
1295,4.81,5941.0,1.34
1296,1.745,6229.0,1.21
1297,2.2,6399.0,1.24
1298,6.78,5800.0,1.05
1299,1.79,6900.0,1.49
1300,5.908,5965.0,1.17
1302,2.65,6550.0,2.28
1303,3.802,6110.0,1.34
1304,3.96,6000.0,1.08
1305,1.29,7000.0,1.59
1306,2.1,6050.0,1.19
1307,4.77,5599.0,1.25
1308,4.08,5806.0,0.95
1310,12.97,5300.0,0.95
1312,9.75,5298.0,0.87
1313,8.6,5700.0,1.78
1314,3.4,6120.0,1.41
1315,1.93,6350.0,1.38
1316,1.6,5772.0,1.06
1317,6.4,4910.0,0.84
1318,4.0,5914.0,1.34
1319,5.5,5871.0,1.08
1320,2.95,6218.0,1.39
1321,2.4,6300.0,1.18
1322,3.6,5555.0,0.95
1323,3.6,5555.0,0.95
1324,8.47,5702.0,1.04
1325,6.99,4900.0,0.76
1326,8.71,5200.0,0.81
1327,2.0,6010.0,1.33
1328,5.0,5900.0,1.25
1329,0.5,5260.0,0.9
1330,0.75,6475.0,1.62
1331,0.5,5310.0,0.92
1332,3.44,6272.0,1.22
1333,3.62,6260.0,1.41
1334,0.6,5675.0,0.98
1335,6.8,5700.0,1.16
1336,3.2,4714.0,0.78
1337,3.2,4714.0,0.78
1338,4.5,6030.0,1.06
1339,2.0,5625.0,1.04
1340,5.0,5950.0,0.72
1341,1.0,5900.0,1.0
1342,11.41,5620.0,0.95
1343,6.4,5800.0,1.12
1344,6.4,5800.0,1.12
1345,2.1,6050.0,1.07
1346,6.9,5740.0,1.17
1347,1.5,6776.0,1.36
1348,2.6,6450.0,1.39
1349,2.0,6360.0,1.43
1350,8.0,5650.0,1.02
1351,1.17,6410.0,1.32
1352,4.6,6040.0,1.29
1353,4.3,5940.0,1.29
1354,6.2,5890.0,1.32
1356,7.6,4800.0,1.42
1357,3.4,4425.0,0.68
1358,3.4,4425.0,0.68
1359,7.0,6055.0,0.93
1361,3.0,5475.0,1.08
1362,4.0,6110.0,1.22
1363,1.14,6380.0,1.41
1364,1.57,6900.0,0.77
1365,7.0,4675.0,0.75
1366,3.4,6110.0,1.24
1367,0.225,2620.0,0.5075928571428556
1368,0.002,4250.0,1.0
1369,0.023,4962.28,1.1
1370,0.023,4962.28,1.1
1371,0.023,4962.28,1.1
1372,0.023,4970.0,1.1
1373,10.0,29300.0,0.5
1376,0.007,3460.0,0.36
1377,0.007,3410.0,0.33
1378,0.003,2700.0,0.06
1380,7.4,5171.0,0.9
1381,2.2,6200.0,1.08
1382,0.9,5650.0,0.93
1383,3.55,5850.0,1.36
1384,3.7,5230.0,1.04
1385,8.0,2904.0,0.09
1386,8.0,2904.0,0.09
1387,0.017,4573.0,1.0
1388,0.017,4573.0,1.0
1389,10.1,4300.0,0.97
1390,1.35,5130.0,1.87
1393,5.89,4806.0,1.15
1394,5.89,4806.0,1.15
1396,0.5,2566.0,0.09
1397,0.5,2566.0,0.09
1398,0.5,2566.0,0.09
1399,0.5,2566.0,0.09
1400,0.5,2566.0,0.09
1401,0.5,2566.0,0.09
1402,0.5,2566.0,0.09
1403,2.03,4435.0,0.73
1404,2.03,4435.0,0.73
1405,6.14,5710.0,1.2
1406,0.09,4928.0,0.79
1407,0.09,4928.0,0.79
1408,3.4,5570.0,0.97
1409,2.2,6261.0,1.28
1410,6.7,5373.8,0.93
1411,0.035,6047.0,1.12
1412,5.4,4552.0,0.68
1413,5.4,4552.0,0.68
1415,7.5,4600.0,0.71
1416,3.73,5907.0,1.32
1417,7.8,3709.0,0.54
1418,7.8,3709.0,0.54
1421,0.83,4622.0,0.73
1422,0.83,4622.0,0.73
1423,0.83,4622.0,0.73
1424,1.5,3459.0,0.42
1425,1.5,3459.0,0.42
1426,1.5,3459.0,0.42
1427,1.5,3459.0,0.42
1428,2.92,6295.0,1.18
1430,1.99,6460.0,1.54
1431,1.28,6250.0,1.31
1432,7.2,3708.0,0.58
1433,7.3,5640.0,1.0
1434,10.0,5326.0,0.81
1435,5.0,5455.0,0.79
1436,5.0,5455.0,0.79
1437,5.0,5455.0,0.79
1438,5.0,5455.0,0.79
1439,6.8,5925.0,1.03
1440,1.79,6466.0,1.35
1441,10.8,5700.0,0.89
1443,1.1,3216.0,0.16
1445,7.1,3927.0,0.64
1450,5.4,6300.0,1.24
1451,5.0,4440.0,0.74
1452,5.0,4440.0,0.74
1453,5.0,4440.0,0.74
1454,5.0,4440.0,0.74
1455,6.7,5735.0,1.14
1456,3.3,6058.0,1.24
1458,0.7,6096.0,1.19
1459,0.12,5550.0,0.95
1460,0.12,5550.0,0.95
1461,0.12,5550.0,0.95
1463,4.1,5640.0,1.06
1466,2.39,6000.0,1.54
1470,9.4,5325.0,0.85
1471,9.4,5325.0,0.85
1472,4.7,5281.0,0.91
1473,2.1,6202.0,1.31
1474,5.0,6040.0,1.1
1475,5.0,6040.0,1.1
1476,0.8,6060.0,1.18
1477,3.8,5975.0,1.25
1478,7.5,5725.0,1.09
1480,4.5,5859.0,1.24
1481,5.6,5772.0,1.18
1482,7.1,3913.0,0.64
1483,2.9,3660.0,0.53
1484,3.0,5321.0,0.87
1485,3.3,5950.0,1.2
1486,7.0,3870.0,0.63
1487,6.0,5810.0,1.08
1488,5.4,5706.0,1.19
1489,2.14,6532.0,1.45
1490,2.1,5609.0,1.02
1492,7.0,5760.0,1.12
1493,9.8,5691.0,0.94
1494,4.7,5910.0,1.14
1495,9.5,5721.0,0.98
1496,3.7,6280.0,1.12
1497,4.0,5764.0,1.06
1503,5.9,4800.0,1.19
1504,6.7,5760.0,1.15
1505,4.4,5936.0,1.22
1506,4.4,5771.0,1.06
1508,7.6,5611.0,1.13
1510,3.99,5096.0,0.85
1511,3.99,5096.0,0.85
1512,0.18,5875.0,1.04
1515,7.5,5607.0,1.13
1518,4.5,3212.0,0.18
1519,3.5,5306.0,0.95
1520,4.9,4780.0,1.32
1522,0.321,5534.0,0.99
1524,2.52,6248.0,1.34
1525,3.3,6101.0,1.3
1526,7.48,5144.0,0.82
1527,7.48,5144.0,0.82
1528,10.1,5298.0,0.83
1529,4.5,5634.0,1.03
1530,5.5,5966.0,1.08
1531,2.3,5966.0,1.53
1532,8.1,5695.0,1.11
1535,8.0,5673.0,1.12
1536,4.6,3342.0,0.34
1537,1.77,6540.0,1.45
1539,0.34,5200.0,0.82
1540,0.34,5200.0,0.82
1541,0.34,5200.0,0.82
1543,0.3,5185.0,0.83
1544,0.45,6250.0,1.13
1545,1.7,5880.0,1.32
1546,0.87,6394.0,1.32
1547,3.6,5814.0,1.07
1548,7.4,3841.0,0.63
1549,0.133,5752.0,0.99
1550,2.49,6230.0,1.46
1551,11.0,5734.0,1.04
1552,0.18,4757.0,0.75
1553,2.73,5991.0,1.51
1554,7.1,4316.0,0.65
1555,7.1,4316.0,0.65
1556,7.1,4316.0,0.65
1557,7.1,4316.0,0.65
1558,7.1,4316.0,0.65
1559,7.1,4316.0,0.65
1560,5.0,4065.0,0.61
1561,0.8,3985.0,0.58
1562,0.8,3985.0,0.58
1563,0.8,3985.0,0.58
1564,7.1,3980.0,0.65
1565,7.4,5645.0,1.13
1566,4.2,5665.0,0.98
1567,7.1,3185.0,0.26
1572,4.7,5880.0,1.15
1573,1.3,3434.0,0.5
1574,2.53,6170.0,1.21
1575,2.53,6170.0,1.21
1578,1.823,6495.0,1.44
1579,2.64,5948.0,1.52
1580,12.82,5404.0,0.95
1582,4.82,6520.0,1.14
1583,2.346,6255.0,1.35
1584,9.1,5597.0,0.95
1591,0.29,7690.0,1.9
1592,5.1,5840.0,0.98
1594,4.4,6050.0,1.13
1595,2.33,6274.0,1.46
1596,6.34,5397.0,0.97
1597,1.6,5889.0,1.44
1598,6.9,5603.0,1.17
1599,12.1,5225.0,0.89
1600,12.1,5225.0,0.89
1602,3.65,4985.0,0.85
1603,3.65,4985.0,0.85
1604,0.245,5300.0,0.96
1605,7.9,3600.0,0.45
1606,7.9,3600.0,0.45
1607,6.7,4227.0,0.68
1608,6.7,4227.0,0.68
1609,6.7,4227.0,0.68
1610,4.8,4775.0,0.74
1611,6.8,5320.0,0.86
1612,6.8,5320.0,0.86
1613,6.8,5320.0,0.86
1618,5.3,3997.0,0.63
1620,0.011,3072.0,0.17
1621,2.0,3403.0,0.31
1623,2.59,5990.0,1.19
1624,0.7,5770.0,1.02
1625,0.7,5770.0,1.02
1626,0.7,5770.0,1.02
1627,0.7,5770.0,1.02
1628,0.7,5770.0,1.02
1629,0.7,5770.0,1.02
1630,8.2,4250.0,0.68
1631,8.2,4250.0,0.68
1632,2.6,6311.0,1.35
1633,6.0,3875.0,0.6
1634,9.4,4734.0,0.75
1635,9.4,4734.0,0.75
1636,2.5,5328.0,0.94
1637,2.5,5328.0,0.94
1638,3.47,5988.0,1.32
1639,5.7,5788.0,1.03
1640,3.1,6050.0,1.24
1642,0.017,4620.0,1.04
1647,0.5,3646.0,0.56
1648,5.0,3192.0,0.17
1650,0.003,3433.0,1.0
1651,0.008,3850.0,0.87
1652,7.5,4309.0,0.72
1653,8.3,5738.0,1.03
1654,1.69,6387.0,1.41
1655,1.02,5052.0,0.82
1656,0.53,5747.0,1.13
1657,0.17,5215.0,0.9
1658,0.31,6007.0,1.15
1659,5.0,4645.0,0.74
1660,3.2,6124.0,1.16
1661,1.19,5013.0,0.84
1663,0.578,5300.0,0.94
1664,0.578,5300.0,0.94
1667,12.5,4500.0,0.5075928571428556
1669,3.0,5985.768996695226,0.5075928571428556
1670,3.0,5985.768996695226,0.5075928571428556
1671,3.0,5985.768996695226,0.5075928571428556
1674,2.04,5629.0,0.94
1675,2.0,6407.0,1.53
1676,0.005,3972.0,0.76
1677,0.005,3972.0,0.76
1678,5.0,2375.0,0.02
1679,1.0,6933.0,1.52
1680,3.0,6050.0,1.17
1681,2.6,6325.0,1.33
1682,4.3,5924.0,1.14
1683,1.2,6210.0,1.3
1684,13.2,4790.0,0.78
1685,8.8,5040.0,0.82
1686,3.1,5950.0,1.14
1757,5.0,5987.717818520922,0.5075928571428556
1758,5.0,5987.717818520922,0.5075928571428556
1778,0.96,6330.0,1.34
1779,12.48,5241.0,0.89
1780,9.77,4730.0,0.77
1784,3.49,5321.0,0.91
1785,4.77,5820.0,1.26
1786,6.39,6057.0,1.01
1787,10.02,4660.0,0.72
1788,4.1,5980.0,1.47
1789,2.17,6478.0,1.64
1790,10.84,5610.0,1.0
1791,9.22,5650.0,1.02
1792,10.29,5550.0,1.0
1793,3.28,5600.0,0.99
1794,5.9,5187.0,0.9
1795,4.23,5819.0,1.3
1796,9.4,5690.0,1.02
1797,3.9,5050.0,0.86
1798,10.4,4600.0,0.7
1801,4.15,5725.0,0.96
1802,4.15,5780.0,1.01
1804,4.15,4284.0,9.06
1834,0.8,7800.0,1.75
1835,0.8,7490.0,1.9
1839,1.9,5443.0,0.77
1844,2.0,3475.0,0.43
1845,7.2,2850.0,0.12
1846,7.2,2850.0,0.12
1847,0.5,2960.0,0.14
1848,0.5,2960.0,0.14
1852,7.0,3490.0,0.35
1853,7.0,3490.0,0.35
1855,5.0,2988.0,0.19
1856,5.0,2988.0,0.19
1857,0.8,3415.0,0.27
1858,0.8,3415.0,0.27
1859,0.8,3415.0,0.27
1860,0.8,3415.0,0.27
1861,8.07,3129.0,0.21
1863,3.09,6237.0,1.29
1864,3.31,6058.0,1.12
1865,3.63,6150.0,1.22
1866,3.63,6014.0,1.09
1867,5.01,5206.0,0.83
1868,3.24,3934.0,0.56
1869,3.89,3843.0,0.57
1870,3.02,4944.0,0.8
1871,3.47,4392.0,0.64
1872,3.55,5948.0,1.05
1873,3.55,5948.0,1.05
1874,1.47,4782.0,0.79
1875,4.68,5074.0,0.82
1876,3.16,4005.0,0.55
1877,2.45,5637.0,0.97
1878,6.17,5642.0,0.96
1879,3.39,5434.0,0.91
1880,3.98,5610.0,0.96
1881,1.41,6052.0,1.13
1882,3.55,6139.0,1.16
1883,4.07,5718.0,0.98
1884,3.55,5935.0,1.05
1885,2.79,5539.0,0.99
1886,4.57,5310.0,0.87
1887,3.63,6002.0,1.07
1888,4.57,5315.0,0.87
1889,4.68,5232.0,0.87
1890,3.89,4897.0,0.8
1891,4.37,3687.0,0.52
1892,2.29,5213.0,0.86
1893,2.82,6146.0,1.15
1894,4.47,5431.0,0.88
1895,0.105,4290.0,0.67
1896,8.42,5779.0,0.94
1897,8.42,5779.0,0.94
1898,1.51,5214.0,0.92
1899,1.51,5214.0,0.92
1900,2.14,4598.0,0.76
1901,2.14,4598.0,0.76
1902,5.89,5178.0,0.84
1903,5.89,5178.0,0.84
1904,4.07,5840.0,1.02
1905,5.5,5886.0,1.05
1906,1.91,5427.0,0.93
1907,4.07,5461.0,0.91
1908,2.4,5478.0,0.93
1909,2.82,5582.0,0.96
1910,3.63,4755.0,0.77
1911,2.34,5690.0,1.0
1912,1.35,7005.0,1.6
1913,4.37,5421.0,0.91
1914,2.75,4963.0,0.81
1915,3.47,6040.0,1.1
1916,4.37,5350.0,0.89
1917,3.39,4990.0,0.82
1918,8.71,5416.0,0.95
1919,8.71,5416.0,0.95
1920,4.27,5730.0,1.0
1921,4.27,4834.0,0.77
1922,3.8,5857.0,1.02
1923,5.63,5699.0,1.08
1924,4.57,5403.0,0.89
1925,4.17,5679.0,0.96
1926,4.27,5508.0,0.9
1927,4.17,5665.0,0.94
1928,4.47,5718.0,0.97
1929,4.47,5409.0,0.86
1930,4.27,5612.0,0.93
1931,4.17,4861.0,0.81
1932,4.07,5539.0,0.89
1933,3.63,5769.0,0.97
1934,1.41,4781.0,0.81
1935,1.41,4781.0,0.81
1936,4.47,5471.0,0.88
1937,4.27,5533.0,0.92
1938,3.24,6095.0,1.15
1939,3.24,6095.0,1.15
1940,4.57,5482.0,0.92
1941,3.8,4830.0,0.78
1942,4.47,5001.0,0.81
1943,4.68,5346.0,0.87
1944,4.68,5331.0,0.87
1945,4.68,5241.0,0.86
1946,2.34,6335.0,1.25
1947,5.05,5669.0,0.91
1948,6.6,5669.0,1.09
1949,3.47,5869.0,1.01
1950,4.37,4700.0,0.73
1951,4.37,5743.0,0.99
1952,4.37,5806.0,1.01
1953,2.57,4673.0,0.77
1954,3.09,6167.0,1.14
1955,4.68,5988.0,1.11
1956,4.37,5671.0,0.95
1957,4.27,5663.0,0.93
1958,4.37,5403.0,0.89
1959,4.37,5403.0,0.89
1960,5.2,5904.34,1.07
1961,5.2,5883.0,1.21
1962,5.2,5883.0,1.21
1963,3.02,6113.0,1.15
1964,3.24,6028.0,1.11
1965,4.17,5418.0,0.8
1966,4.79,5248.0,0.85
1967,3.39,6173.0,1.21
1968,3.98,5877.0,1.1
1969,5.62,6068.0,1.29
1970,5.62,4687.0,0.63
1971,3.16,5998.0,1.07
1972,3.55,6112.0,1.34
1973,3.39,6230.0,1.26
1974,4.47,4550.0,1.31
1975,2.88,6154.0,1.17
1976,3.02,5973.0,1.11
1977,5.37,6106.0,1.08
1978,1.86,6035.0,1.06
1979,1.66,5461.0,0.95
1980,3.02,6160.0,1.16
1981,4.79,5682.0,0.98
1982,4.79,5682.0,0.98
1983,4.37,5647.0,0.95
1984,3.8,4184.0,0.59
1985,4.57,4836.0,0.78
1986,0.53,6015.0,1.12
1987,1.0,5777.0,1.07
1988,2.0,5774.0,1.02
1989,2.0,5774.0,1.02
1990,4.07,5595.0,0.93
1991,3.98,4223.0,0.65
1992,4.37,5839.0,1.03
1993,5.01,5262.0,0.84
1994,2.63,4315.0,0.65
1995,4.27,5603.0,0.87
1996,3.8,5820.0,1.0
1997,5.01,4747.0,0.75
1998,3.55,5887.0,1.06
1999,3.63,5954.0,1.09
2000,3.98,5961.0,1.14
2001,1.48,5875.0,0.97
2002,3.09,6194.0,1.19
2003,3.09,6194.0,1.19
2004,3.39,6098.0,1.1
2005,3.16,6187.0,1.21
2006,2.45,5715.0,1.0
2007,3.02,6116.0,1.06
2008,4.57,5476.0,0.9
2009,3.8,5961.0,1.06
2010,1.66,6761.0,1.46
2011,1.6,5466.0,0.99
2012,4.27,5792.0,1.02
2013,4.57,5044.0,0.81
2014,4.57,5261.0,0.85
2015,5.25,5060.0,0.81
2016,3.39,5958.0,1.06
2017,3.31,6020.0,1.09
2018,2.95,6163.0,1.18
2019,4.17,5902.0,1.05
2020,3.47,5993.0,1.11
2021,3.8,5857.0,1.01
2022,7.5,5600.0,1.1
2023,7.5,5600.0,1.1
2024,4.79,5664.0,0.97
2025,3.89,5614.0,0.93
2026,5.89,5541.0,0.92
2027,4.27,4751.0,0.75
2028,4.27,5570.0,0.93
2029,4.68,5754.0,1.0
2030,3.8,5678.0,0.96
2031,4.79,5333.0,0.88
2032,4.47,5047.0,0.82
2033,4.27,5836.0,1.04
2034,4.57,5020.0,0.81
2035,3.39,5653.0,0.96
2036,4.27,5773.0,0.99
2037,4.27,5535.0,0.96
2038,4.17,5835.0,1.03
2039,2.69,6350.0,1.3
2040,1.48,6100.0,1.19
2041,4.47,5455.0,0.89
2042,3.89,5932.0,1.06
2043,4.37,5436.0,0.92
2044,0.6,5436.0,0.87
2045,4.37,5499.0,0.92
2046,4.37,5499.0,0.92
2047,3.98,6059.0,1.23
2048,8.32,5695.0,1.01
2049,3.89,4940.0,0.83
2050,4.37,5579.0,0.94
2051,4.79,4913.0,0.79
2052,3.8,4128.0,0.59
2053,4.17,5830.0,1.02
2054,4.37,4848.0,0.78
2055,4.47,5324.0,0.85
2056,3.98,6031.0,1.06
2057,3.98,6031.0,1.06
2058,3.98,6031.0,1.06
2059,3.98,6039.0,1.0
2060,3.98,6039.0,1.0
2061,2.82,6058.0,1.22
2062,4.17,5770.0,0.98
2063,3.98,5403.0,0.85
2064,4.27,5895.0,1.03
2065,3.63,5954.0,1.08
2066,2.69,4554.0,0.7
2067,3.72,4339.0,0.64
2068,4.37,5596.0,0.92
2069,4.17,5732.0,0.99
2070,3.47,6037.0,1.07
2071,3.09,4648.0,0.58
2072,3.09,4082.0,0.66
2073,3.09,4082.0,0.66
2074,4.68,5698.0,0.98
2075,4.57,5039.0,0.81
2076,4.37,5602.0,0.93
2077,4.37,6079.0,1.05
2078,3.55,5976.0,1.03
2079,3.55,5976.0,1.03
2080,3.31,6035.0,1.15
2081,4.47,5643.0,0.98
2082,3.55,5928.0,1.06
2083,4.79,5191.0,0.84
2084,2.63,6260.0,1.23
2085,4.68,5529.0,0.91
2086,4.68,5428.0,0.96
2087,4.68,5428.0,0.96
2088,4.68,5529.0,0.91
2089,4.68,5529.0,0.91
2090,4.47,5279.0,0.86
2091,3.98,5638.0,0.94
2092,3.55,5861.0,1.03
2093,4.17,5286.0,0.9
2094,4.9,5028.0,1.25
2095,3.02,6162.0,1.15
2096,3.98,5743.0,0.95
2097,1.66,6761.0,1.45
2098,7.94,5747.0,1.01
2099,4.17,5803.0,1.03
2100,3.63,4500.0,0.65
2101,3.63,4385.0,0.64
2102,3.63,4385.0,0.64
2103,4.37,5734.0,0.99
2104,1.95,4653.0,0.76
2105,3.72,5965.0,1.04
2106,7.76,5770.0,0.99
2107,4.27,6112.0,1.19
2108,5.25,5817.0,1.01
2109,5.25,5817.0,1.01
2110,4.9,5919.0,1.05
2111,4.68,5507.0,0.93
2112,3.55,4435.0,0.67
2113,4.68,5315.0,0.85
2114,2.0,4540.0,0.83
2115,2.0,4540.0,0.73
2116,2.0,4540.0,0.73
2117,2.0,4540.0,0.73
2118,2.0,4540.0,0.73
2119,2.0,4540.0,0.73
2120,3.47,6213.0,1.21
2121,0.5,5588.0,1.03
2122,3.98,5681.0,0.95
2123,2.82,6224.0,1.19
2124,3.89,5680.0,0.96
2125,11.75,5475.0,0.93
2126,6.46,5631.0,0.94
2127,4.07,5839.0,1.19
2128,4.27,5745.0,0.98
2129,3.39,5971.0,1.09
2130,2.24,6383.0,1.3
2131,4.9,5208.0,0.84
2132,3.44,6174.0,1.17
2133,3.44,6174.0,1.17
2134,3.44,6174.0,1.17
2135,3.44,6174.0,1.17
2136,3.72,5870.0,1.01
2137,3.02,6159.0,1.16
2138,3.39,4248.0,0.65
2139,2.51,4838.0,0.81
2140,2.82,4739.0,0.77
2141,9.12,5674.0,1.0
2142,9.7,5411.49,0.94
2143,3.89,5521.0,0.93
2144,5.25,5867.0,0.98
2145,4.9,5162.0,0.81
2146,4.9,5769.0,1.01
2147,0.625,5089.0,0.84
2148,3.89,3804.0,0.46
2149,5.25,5102.0,0.81
2150,3.16,4043.0,0.58
2151,4.37,5071.0,0.83
2152,1.86,5468.0,0.92
2153,2.14,6403.0,1.57
2154,2.82,5850.0,1.04
2155,8.13,5714.0,0.98
2156,3.72,5906.0,1.03
2157,4.57,5598.0,0.94
2158,4.57,5598.0,0.94
2159,4.57,5598.0,0.94
2160,7.5,5520.0,0.95
2161,2.88,6186.0,1.19
2162,2.88,6186.0,1.19
2163,4.57,5108.0,0.82
2164,4.07,5694.0,0.96
2165,3.63,5992.0,1.1
2166,3.72,5901.0,1.05
2167,4.17,5557.0,0.92
2168,4.79,5166.0,0.84
2169,3.8,5944.0,1.06
2170,4.07,5706.0,0.95
2171,4.57,5322.0,0.89
2172,4.57,5322.0,0.89
2173,0.62,6409.0,1.2
2174,3.89,5860.0,1.04
2175,3.8,6228.0,1.16
2176,3.8,6228.0,1.16
2177,3.8,6228.0,1.16
2178,3.8,6228.0,1.16
2179,3.31,6014.0,1.08
2180,4.47,5282.0,0.82
2181,4.9,5043.0,0.82
2182,4.9,5043.0,0.82
2183,3.8,5935.0,1.06
2184,3.63,4346.0,0.68
2185,4.07,5373.0,0.87
2186,4.47,5387.0,0.87
2187,3.09,6160.0,1.15
2188,3.09,6160.0,1.15
2189,6.2,5200.0,0.91
2190,4.57,5009.0,0.79
2191,3.72,5934.0,1.07
2195,0.73,5755.0,1.03
2196,1.48,4753.0,2.1
2197,0.15,4140.0,4.3
2198,0.15,4043.33,4.3
2199,7.0,4953.0,2.53
2200,2.35,5935.0,1.08
2201,2.35,5935.0,1.08
2203,2.64,5442.0,1.0
2204,2.64,5442.0,1.0
2206,7.2,5186.0,0.76
2207,5.61,4300.0,0.43
2208,5.6,6064.0,1.34
2210,3.61,5939.0,1.21
2211,4.6,5863.0,1.02
2212,4.6,5863.0,1.02
2213,2.24,6210.0,1.26
2217,7.6,4980.0,0.81
2219,5.37,5392.0,1.26
2220,2.31,5955.0,1.27
2221,7.53,5576.0,1.16
2222,1.88,6291.0,1.86
2223,4.4,5599.0,0.84
2224,9.0,5577.0,1.03
2225,2.55,5744.0,1.15
2226,2.55,5744.0,1.15
2227,1.0,4995.0,0.7
2230,3.3,5977.0,1.04
2231,3.3,5977.0,1.04
2232,3.3,5977.0,1.04
2233,1.4,5987.0,1.11
2234,1.4,5987.0,1.11
2238,0.017,7595.0,1.6
2239,2.5,4918.0,1.54
2240,1.85,4918.0,1.54
2241,5.5,4218.0,3.7
2242,5.08,5212.0,0.83
2244,8.047,3719.0,0.39
2245,10.0,5312.0,0.7
2246,9.0,5020.0,1.37
2247,4.067,3943.0,10.94
2248,4.85,5733.0,1.27
2249,8.6,5845.0,0.89
2250,8.6,5845.0,0.89
2251,8.6,5845.0,0.89
2254,0.003,10000.0,2.4
2255,3.9,5212.0,0.85
2256,4.0,4925.0,1.41
2257,4.44,5759.0,1.02
2258,7.39,5271.0,0.92
2259,1.0,5282.0,0.76
2261,4.8,4815.0,0.48
2262,2.1,4862.0,1.46
2263,2.1,4862.0,1.72
2269,3.4,4823.0,1.39
2270,2.0,5089.0,0.81
2272,5.84,5544.0,1.01
2273,5.84,5544.0,1.01
2274,5.84,5544.0,1.01
2277,0.65,6655.0,1.4
2283,4.279,6226.0,1.17
2284,4.279,6226.0,1.17
2285,4.279,6226.0,1.17
2286,4.279,6226.0,1.17
2287,4.279,6226.0,1.17
2290,6.0,4962.0,0.78
2291,6.0,4813.0,0.78
2295,9.15,4769.0,1.75
2296,7.87,4510.0,0.29
2297,7.87,4640.0,0.73
2298,7.87,4640.0,0.73
2301,4.1,4590.0,0.78
2304,0.014,8840.0,1.96
2306,0.017,5675.0,1.22
2310,3.0,4105.0,0.63
2313,0.012,8610.0,1.92
2314,4.3,4891.0,1.28
2315,0.005,10500.0,2.5
2316,0.01,9193.75,0.5075928571428556
2320,4.55,4883.0,1.61
2321,2.4,5519.0,0.97
2322,0.118,5991.0,1.09
2324,3.33,5198.0,0.9
2325,3.33,5198.0,0.9
2327,0.3,6186.0,1.08
2328,0.6,6785.0,1.3
2329,7.7,5794.0,1.07
2330,2.72,6167.0,1.34
2334,0.06,7204.58,1.5
2335,0.06,7204.58,1.5
2336,0.06,7204.58,1.5
2337,0.03,7400.0,1.51
2340,1.14,4740.1,2.1
2342,0.75,5945.0,1.15
2343,0.79,4927.0,0.82
2344,0.79,4695.0,0.77
2345,0.79,3712.0,0.51
2346,0.6,5636.0,1.05
2347,4.25,6061.0,1.3
