,stellar_age_[gyr],stellar_effective_temperature_[k],stellar_mass_[solar_mass]
335,1.7,6442.0,1.39
336,3.5,6096.0,1.24
337,6.6,5620.0,1.03
338,3.6,5500.0,0.93
339,10.1,5330.0,0.89
340,2.0,6430.0,1.4
341,3.9,5860.0,0.56
342,2.7,6080.0,1.03
343,2.2,6390.0,2.56
344,5.2,5743.0,1.18
345,5.7,5693.0,1.03
346,7.5,5295.0,0.94
347,7.5,5295.0,0.94
348,2.0,6330.0,1.26
349,2.5,6120.0,1.28
350,1.5,6820.0,2.22
351,2.6,5960.0,1.04
352,3.37,6280.0,1.27
353,8.2,5449.0,0.98
354,9.4,5131.0,0.89
355,4.67,5956.0,1.09
356,3.9,4390.0,0.65
357,4.2,5808.0,1.01
358,2.01,6566.0,1.42
359,1.0,6330.0,2.77
360,7.11,6078.0,1.03
361,7.3,5678.0,1.01
362,2.3,6570.0,1.79
363,2.765,6212.0,1.44
364,2.6,5587.0,1.0
365,8.1,5629.0,1.02
366,9.0,5400.0,0.93
367,2.88,6457.0,1.3
368,5.46,5835.0,1.21
369,4.66,6002.0,1.26
370,1.24,6406.0,1.64
371,11.1,4508.0,0.68
372,1.27,7394.0,1.65
373,2.07,6389.0,1.56
374,0.6,8450.0,1.89
375,3.4,6200.0,1.27
376,1.6,6350.0,1.28
377,6.0,5870.0,0.99
378,3.3,5880.0,1.1
379,7.7,6563.0,1.33
380,2.36,6357.0,1.16
381,2.5,5523.0,0.96
382,4.9,5346.0,0.97
383,11.0,5311.0,0.87
384,9.5,5738.0,0.97
385,2.1,5846.0,1.13
386,4.2,5600.0,1.04
387,9.7,5227.0,0.88
389,4.2,5780.0,1.12
390,3.7,6125.0,1.07
391,7.5,5715.0,0.99
392,4.04,6071.0,1.3
393,2.3,6438.0,1.42
394,6.2,5498.0,0.93
395,5.5,5670.0,1.03
396,3.2,6351.0,1.21
397,2.3,5943.0,1.09
398,4.3,6050.0,1.27
399,3.5,5700.0,1.1
400,3.0,5659.0,1.06
401,7.7,5380.0,0.96
402,2.13,6300.0,1.32
403,0.62,5950.0,1.1
404,11.46,5326.0,0.84
405,11.89,5732.0,0.89
406,2.06,6572.0,1.38
407,2.1,5403.0,1.0
408,2.07,6460.0,1.56
409,1.34,6424.0,1.5
410,3.26,6060.0,1.27
411,8.6,5099.0,0.84
412,9.7,5080.0,0.86
413,1.52,6450.0,1.27
414,3.0,5495.0,0.92
415,8.1,4512.0,0.67
416,11.97,4546.0,0.73
417,10.5,4405.0,0.71
418,3.6,5304.0,0.94
419,1.2,5990.0,1.17
420,4.74,5758.0,1.19
421,1.2,6010.0,1.11
422,9.0,5644.0,0.96
423,7.96,5621.0,1.05
424,0.4,6214.0,1.2
425,1.894,6536.0,1.57
426,2.5,5587.0,1.03
427,0.31,7175.0,1.46
428,4.3,5670.0,1.04
429,4.3,5670.0,1.04
430,8.1,3724.0,0.57
431,7.55,5688.0,1.1
432,8.9,5542.0,1.08
433,9.55,5416.0,0.9
434,10.3,5627.0,0.93
435,1.861,6554.0,1.56
436,1.78,6277.0,1.26
437,2.17,6626.0,1.41
438,0.51,6594.0,1.44
439,3.02,6147.0,1.35
440,8.0,5137.0,0.89
441,7.8,4985.0,0.85
442,0.81,7930.0,1.78
443,3.2,3405.0,0.49
444,12.17,4656.1,0.73
445,11.0,3776.9,0.6
446,14.9,3790.4,0.6
447,4.6,4016.0,0.66
448,12.1,4071.0,0.66
449,5.1,5679.0,1.06
450,10.8,5599.0,1.1
451,0.005,10500.0,2.4
452,1.309,4891.0,2.28
453,2.0,5533.0,0.83
454,4.3,5911.0,1.06
455,4.3,5911.0,1.06
456,4.3,5911.0,1.06
457,4.3,5911.0,1.06
458,4.3,5911.0,1.06
459,4.3,5911.0,1.06
460,1.0,5108.0,0.57
461,10.0,5655.0,1.06
462,2.4,5301.0,0.76
464,1.6,4745.0,3.21
465,1.6,4830.0,1.3
466,9.0,5630.0,0.85
468,2.3,4985.0,1.66
469,9.1,5250.0,0.8
470,3.8,5017.0,0.79
471,1.05,6489.0,1.33
472,3.68,6072.0,1.28
474,4.33,4937.0,0.62
475,10.65,4912.0,1.01
479,7.54,5792.0,0.89
480,4.19,5874.0,1.01
481,4.3,5509.0,1.39
482,4.48,6327.0,1.09
483,4.48,6327.0,1.09
484,1.4,6218.0,1.11
485,11.7,5362.0,0.93
486,0.013,6516.0,1.5
487,6.98,5680.0,0.99
488,5.6,5797.0,1.12
489,5.6,5752.92,1.11
490,3.2,6255.73,1.22
491,6.7,5660.0,0.87
492,6.7,5660.0,0.87
493,6.7,5660.0,0.87
494,6.7,5660.0,0.87
495,6.7,5660.0,0.87
496,4.9,5122.0,0.84
497,1.8,4878.0,1.59
498,8.0,5600.0,1.1
499,8.0,5551.0,0.95
501,7.3,5783.0,1.05
502,7.3,5783.0,1.05
504,3.3,5824.0,1.13
506,0.027,5881.0,1.08
507,0.027,5881.0,1.08
509,0.95,4445.0,2.17
510,0.25,6200.0,1.21
511,4.0,5732.0,1.0
512,4.0,5732.0,1.0
515,5.2,5512.0,0.96
516,13.0,5460.0,0.96
517,1.41,4884.0,1.94
518,1.9,6557.0,1.18
519,1.6,4155.0,1.8
520,0.15,6774.0,1.41
521,0.15,6667.33,1.41
523,4.3,4462.0,0.58
524,4.3,4462.0,0.58
525,3.24,4181.0,1.49
526,0.015,6651.0,1.47
527,1.0,4836.0,0.6
528,4.55,5641.0,1.27
529,10.116,5844.0,0.94
530,7.0,5135.0,0.85
531,7.0,5126.74,0.85
533,2.3,6183.0,1.12
534,2.3,6055.0,1.12
535,2.3,6183.0,1.12
539,2.7,4819.0,0.83
540,2.7,4951.0,1.33
541,4.192,5732.0,1.05
542,10.2,4312.0,0.72
543,5.6,5990.0,1.08
544,4.6,5864.0,1.84
545,7.45,5303.0,0.91
546,7.45,5303.0,0.91
547,1.2,4970.0,1.91
548,1.02,4892.0,2.5
549,1.2,6027.0,1.62
557,3.53,4691.0,0.29
558,1.77,5900.0,1.05
559,1.77,5900.0,1.05
560,1.77,5900.0,1.05
561,4.5,4835.0,0.67
562,9.67,5638.0,0.9
563,6.39,5645.0,1.2
564,6.39,5748.0,1.02
565,7.2,5568.0,0.96
567,0.96,4965.0,0.83
568,0.96,4965.0,0.83
569,10.0,4875.0,0.65
571,0.35,5387.0,0.92
572,2.7,4846.0,1.34
575,7.187,5783.0,1.03
576,2.31,6289.0,1.23
577,9.7,5799.0,0.95
578,9.7,5799.0,0.95
579,9.7,5805.0,0.93
580,5.6,5966.0,1.09
581,5.6,5966.0,1.09
582,8.4,5736.0,1.1
583,8.4,5585.0,1.1
586,12.3,5664.0,0.87
587,12.3,5664.0,0.87
588,12.3,5664.0,0.87
589,4.0,4989.0,1.48
592,6.45,5181.0,0.68
593,8.3,5799.0,1.04
594,8.3,5799.0,1.04
595,7.2,5035.0,0.77
596,7.2,5035.0,0.77
597,2.9,6255.0,1.29
598,2.9,6255.0,1.29
599,8.4,5867.0,1.3
600,3.07,4700.0,2.69
601,4.51,5521.0,1.32
602,0.69,4815.0,2.58
603,4.16,5610.0,0.99
604,4.16,5610.0,0.99
605,6.32,5885.38,1.05
610,2.32,5870.0,1.09
611,3.12,6273.0,1.21
612,3.12,6245.0,1.21
613,3.12,6245.0,1.21
614,7.0,5421.0,0.9
615,2.3,4922.0,3.5
616,1.1,5940.0,1.07
618,2.942,5507.0,0.97
620,1.3,6014.0,1.2
621,2.605,4769.0,1.23
622,5.24,5314.94,0.91
623,1.56,4823.75,2.06
624,7.12,5765.0,1.02
625,7.12,5765.0,1.02
626,6.36,5441.0,0.93
627,6.36,5441.0,0.93
629,0.3,5883.0,1.11
631,4.0,5972.0,1.38
632,4.0,5972.0,1.38
634,2.41,6032.0,1.21
635,2.41,6032.0,1.21
636,2.5,5025.0,1.64
637,2.6,6179.0,1.42
638,4.28,5856.0,1.2
639,8.36,5352.05,0.93
640,4.9,4153.0,1.3
641,2.4,4947.0,1.46
642,3.0,5961.0,1.17
645,1.622,5907.0,1.15
646,12.0,5027.0,1.3
647,3.97,6310.0,1.15
648,3.97,6310.0,1.15
649,5.1,5125.0,0.9
650,5.1,5125.0,0.9
654,4.3,6124.0,1.25
655,8.0,5374.0,0.91
656,9.527,5468.0,0.71
657,8.0,5743.0,1.18
658,5.64,5589.0,1.96
659,5.64,5605.0,1.72
662,10.7,5905.0,1.15
663,10.7,5900.0,0.92
664,12.3,5771.84,1.03
665,12.3,5771.84,1.03
668,4.1,5453.0,0.94
669,4.1,5458.24,0.94
670,4.28,5900.0,1.25
671,8.6,4850.0,0.77
672,8.6,4903.69,0.79
673,2.4,6090.0,1.38
674,2.5,4860.0,1.3
680,1.6,4069.0,1.8
681,1.25,6123.0,1.12
682,1.25,6123.0,1.12
683,7.57,5534.0,1.19
684,7.57,5534.0,1.19
685,4.36,4915.0,1.33
686,4.36,4915.0,1.33
687,5.7,5773.0,1.13
688,5.7,5773.0,1.13
689,5.7,5773.0,1.13
690,5.7,5773.0,1.13
692,7.51,5757.0,1.11
693,3.3,5981.0,1.63
694,6.0,4723.0,0.42
695,8.6,5522.0,1.12
696,8.6,5522.0,1.12
697,7.0,5841.0,1.2
698,2.32,5859.0,1.12
699,7.12,5790.0,0.99
701,9.58,5390.0,0.93
702,9.58,5390.0,0.93
703,9.58,5390.0,0.93
704,9.58,5393.43,0.92
705,11.0,5426.0,1.02
706,1.76,6317.0,1.5
707,4.0,5127.0,0.81
708,2.2,5010.0,1.72
709,5.31,4851.0,1.08
710,9.68,5778.33,0.99
711,11.08,5491.0,0.98
712,11.08,5491.0,0.98
713,8.0,5570.0,1.07
715,6.7,4374.0,1.86
717,2.8,6300.0,1.17
718,2.8,6179.26,1.17
719,6.7,5842.0,1.1
720,2.6,4326.0,6.73
721,8.59,5671.0,1.53
722,7.56,5440.0,0.96
723,3.37,6040.0,1.41
724,1.73,4683.0,2.0
725,1.7,4308.0,1.8
727,1.9,5013.0,1.39
728,10.32,5392.0,0.71
729,8.4,5904.0,0.98
730,4.3,4931.0,0.79
731,4.3,4931.0,0.79
732,6.88,5627.0,1.0
733,4.4,4901.0,1.7
734,4.4,4949.0,1.47
736,6.99,5646.0,1.14
737,1.0,6168.0,1.21
740,1.295,4924.0,2.2
742,2.8,4961.0,1.41
743,6.32,5386.0,0.94
744,1.8,4945.0,1.69
745,9.4,5078.0,0.85
746,9.4,5078.0,0.85
747,6.7,4918.0,0.63
748,6.7,4962.0,0.78
749,6.7,4962.0,0.78
751,8.13,5948.0,1.06
752,4.52,5875.99,1.06
753,2.6,5788.0,1.03
754,2.76,4971.0,1.35
755,2.76,4971.0,1.35
756,2.76,4971.0,1.35
757,4.0,5923.0,1.3
758,0.4,5145.0,0.86
759,2.747,6117.0,1.19
760,7.4,5790.0,1.04
761,7.4,5790.0,1.04
762,2.3,4940.0,1.36
763,6.61,5746.0,1.09
765,11.0,5726.0,0.83
766,11.0,5726.0,0.83
767,1.4,5052.0,0.79
768,1.0,4610.0,0.77
770,8.5,5552.0,1.0
771,8.5,5549.0,0.98
772,7.957,5656.0,1.07
774,2.9,6010.0,1.07
775,8.7,5348.0,0.81
776,8.7,5348.0,0.81
777,8.7,5348.0,0.81
778,8.7,5348.0,0.81
779,8.7,5348.0,0.81
780,8.7,5348.0,0.81
781,2.09,4976.0,0.66
782,7.81,5166.0,0.8
783,7.81,5166.0,0.8
784,1.8,5041.0,1.38
786,3.2,5751.0,1.21
787,1.6,5879.0,1.31
788,3.3,6017.0,1.29
789,6.7,4263.0,1.1
790,3.12,6254.0,1.28
791,1.9,6150.0,1.11
792,1.6,5796.02,1.04
793,2.4,6188.0,1.36
796,3.0,4982.0,1.39
797,3.0,4982.0,1.39
798,2.9,5766.0,1.07
799,1.32,5040.0,1.91
800,1.32,5040.0,1.91
801,1.7,6272.0,1.72
802,0.1,5603.0,0.94
803,11.0,5596.0,0.9
806,5.22,5780.0,1.12
807,6.0,5945.0,1.23
808,3.38,5767.0,1.03
809,3.38,5776.0,1.03
810,3.38,5767.0,1.03
811,6.67,5026.0,0.58
813,2.84,6176.0,1.22
815,3.0,4842.0,1.55
816,0.155,6500.0,1.32
817,0.155,6500.0,1.32
822,5.53,5782.13,1.04
823,1.36,5726.0,1.05
824,1.36,5710.0,0.94
825,7.1,5070.0,0.8
826,5.76,5401.0,0.7
827,5.76,5401.0,0.7
828,5.76,5401.0,0.7
829,5.76,5401.0,0.81
830,8.15,6067.0,1.13
831,2.0,4035.0,1.6
832,4.5,4802.0,0.39
834,3.1,6091.0,1.23
836,12.0,5538.0,1.01
837,2.1,4951.0,1.61
841,1.0,6239.0,1.55
842,6.0,5003.0,1.56
843,4.6,5979.0,1.57
846,3.8,5978.0,1.07
847,3.8,5978.0,1.07
849,2.7,6215.0,1.11
854,7.0,5110.0,0.67
855,7.0,5113.0,0.87
856,3.0,5999.0,1.3
857,4.75,5909.0,1.17
858,6.0,5103.0,0.82
859,6.0,5103.0,0.82
860,3.8,4639.0,0.81
861,3.1,5399.0,0.74
864,5.84,5622.0,1.0
865,5.84,5575.0,0.98
866,3.8,4640.0,0.73
867,7.6,5966.0,1.14
868,7.6,5966.0,1.14
869,7.59,5544.0,1.03
871,8.5,4730.0,0.76
872,8.9,5362.0,0.92
873,11.0,4699.0,0.81
874,11.0,4699.0,0.81
875,11.0,4699.0,0.81
876,11.0,4699.0,0.81
877,12.46,4913.0,0.79
878,12.46,4913.0,0.79
880,7.233,4820.0,1.0
881,10.0,5527.0,0.92
882,5.69,5891.0,1.04
883,5.69,5891.0,1.04
884,4.5,3787.0,2.2
885,10.165,5683.0,0.91
886,4.586,5921.0,1.02
887,4.4,5940.0,1.16
889,1.3,6304.0,1.25
890,4.9,5080.0,1.21
891,3.65,5847.0,1.06
892,6.2,5620.0,1.19
894,8.2,5701.0,1.21
895,10.24,5790.0,1.12
896,2.0,6097.0,1.23
897,4.12,5894.0,1.31
900,4.8,5027.0,0.75
901,2.0,5974.0,1.12
902,4.508,5843.0,1.21
903,3.43,6101.0,1.21
904,2.4,4791.0,1.5
905,5.417,4981.0,0.71
911,5.68,6040.0,1.1
914,5.085,4297.0,0.82
915,4.42,3926.0,8.76
916,6.68,5802.0,1.11
917,6.68,5776.49,1.1
918,9.0,4052.0,1.61
920,4.0,5160.0,0.86
921,4.802,6125.0,1.08
922,0.95,4766.0,2.12
925,5.0,3803.0,0.44
926,5.0,3803.0,0.44
928,3.0,5186.0,0.77
929,1.31,6801.0,1.43
930,6.9,5072.0,0.78
931,10.0,4846.0,1.23
932,4.01,5737.0,0.94
933,3.9,4875.0,0.81
934,13.0,4894.0,0.8
935,13.0,4894.0,0.81
937,1.1,6120.0,1.26
938,1.1,6120.0,1.26
939,1.1,6120.0,1.26
940,7.5,5662.0,0.99
941,2.5,5662.0,0.99
944,0.625,4503.0,0.82
945,3.62,3703.49,0.5
946,1.8,4972.0,1.53
947,7.4,5560.0,0.85
949,6.2,4845.0,1.17
952,2.525,5580.0,0.98
953,11.6,5580.0,0.98
954,3.6,5882.0,1.12
955,4.8,5400.0,0.92
956,3.8,4895.0,1.17
957,3.0,6130.0,1.7
961,10.2,5300.0,0.85
962,10.2,5300.0,0.85
963,10.2,5300.0,0.85
964,10.2,5300.0,0.85
965,5.83,4580.0,1.13
966,4.99,5727.0,0.94
967,6.2,5000.0,0.47
969,2.72,5025.4,1.52
970,2.72,5025.4,1.52
971,2.72,5025.4,1.52
972,4.3,6089.0,1.13
973,3.63,5935.0,1.38
974,3.0,6250.0,1.25
975,1.88,4861.0,1.84
976,1.88,4861.0,1.78
977,8.5,5879.0,1.14
978,8.5,5836.0,1.07
979,8.5,5836.0,1.07
980,8.5,5836.0,1.07
981,8.5,5836.0,1.07
982,8.5,5836.0,1.07
985,3.0,5221.0,0.8
986,4.0,5698.64,0.85
987,4.0,5698.64,0.85
988,4.0,5698.64,0.85
989,5.65,5329.0,0.94
990,5.65,5329.0,0.94
991,2.0,5049.8,0.85
992,6.2,5981.0,1.37
993,3.09,5697.0,0.98
994,3.09,5697.0,0.98
995,6.072,5338.0,1.21
996,3.92,5950.0,1.1
997,10.0,5205.0,0.67
998,10.0,5205.0,0.67
999,10.0,5205.0,0.67
1001,4.5,4956.0,0.77
1002,4.5,4956.0,0.77
1003,4.5,4956.0,0.77
1004,4.5,4956.0,0.77
1005,4.5,4956.0,0.77
1006,1.35,4869.0,2.0
1007,3.56,6165.0,1.45
1008,1.0,5310.0,0.95
1010,6.4,5688.0,1.01
1011,4.1,5405.0,0.83
1012,8.52,5596.0,1.25
1013,8.52,5582.0,0.99
1014,3.813,5717.0,0.88
1015,3.72,5727.0,1.01
1016,4.3,5686.0,0.93
1017,2.0,4943.0,1.63
1020,2.39,6093.0,1.32
1022,6.8,5869.0,1.03
1023,6.8,5869.0,1.03
1024,8.0,5566.0,0.98
1027,8.4,5294.0,0.92
1029,9.0,5285.0,0.92
1030,6.5,5657.0,0.96
1031,6.5,5657.0,0.96
1032,1.47,4959.0,1.74
1033,1.47,4959.0,1.74
1034,0.94,4914.0,2.19
1035,0.94,4914.0,2.19
1036,10.15,4380.0,2.1
1038,4.201,5733.0,1.31
1040,3.62,5602.0,1.03
1041,2.391,6102.0,1.25
1042,2.4,6099.0,1.31
1043,2.16,5987.0,1.04
1046,3.5,6136.0,1.2
1047,3.0,6203.0,1.13
1048,3.0,6203.0,1.13
