,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_surface_gravity
739,5603.0,3.13,1.49,3.64
740,4924.0,8.13,2.2,2.96
741,3534.0,0.48,0.48,4.9
742,4961.0,4.16,1.41,3.36
743,5386.0,1.06,0.94,4.37
744,4945.0,4.71,1.69,3.28
745,5078.0,0.87,0.85,4.51
746,5078.0,0.87,0.85,4.51
747,4918.0,0.79,0.63,4.45
748,4962.0,0.81,0.78,4.37
749,4962.0,0.81,0.78,4.37
750,5736.0,1.5,1.03,4.09
751,5948.0,1.23,1.06,4.37
752,5875.99,1.29,1.06,4.28
753,5788.0,0.99,1.03,4.5
754,4971.0,4.86,1.35,3.18
755,4971.0,4.86,1.35,3.18
756,4971.0,4.86,1.35,3.18
757,5923.0,2.0,1.3,3.92
758,5145.0,0.77,0.86,4.54
759,6117.0,1.27,1.19,4.28
760,5790.0,1.15,1.04,4.33
761,5790.0,1.15,1.04,4.33
762,4940.0,5.13,1.36,3.09
763,5746.0,1.13,1.09,4.45
764,5897.32,1.94,1.07,3.89
765,5726.0,1.04,0.83,4.41
766,5726.0,1.04,0.83,4.41
767,5052.0,0.75,0.79,4.49
768,4610.0,0.79,0.77,4.58
770,5552.0,1.14,1.0,4.3
771,5549.0,1.17,0.98,4.29
772,5656.0,1.38,1.07,4.16
773,5988.0,1.53,0.91,4.02
774,6010.0,1.4,1.07,4.45
775,5348.0,0.94,0.81,4.3
776,5348.0,0.94,0.81,4.3
777,5348.0,0.94,0.81,4.3
778,5348.0,0.94,0.81,4.3
779,5348.0,0.94,0.81,4.3
780,5348.0,0.94,0.81,4.3
781,4976.0,0.74,0.66,4.51
782,5166.0,0.86,0.8,4.51
783,5166.0,0.81,0.8,4.51
784,5041.0,4.41,1.38,3.25
785,5861.32,1.15,1.06,4.34
786,5751.0,1.48,1.21,4.18
787,5879.0,1.42,1.31,4.25
788,6017.0,1.73,1.29,4.24
789,4263.0,32.3,1.1,1.4
790,6254.0,1.31,1.28,4.31
791,6150.0,1.1,1.11,4.4
792,5796.02,0.92,1.04,4.51
793,6188.0,1.8,1.36,4.29
794,5494.0,0.92,0.88,4.41
795,5494.0,0.92,0.88,4.41
796,4982.0,4.92,1.39,3.22
797,4982.0,4.92,1.39,3.22
798,5766.0,1.04,1.07,4.5
799,5040.0,6.43,1.91,3.11
800,5040.0,6.43,1.91,3.11
801,6272.0,2.59,1.72,3.85
802,5603.0,0.86,0.94,4.64
803,5596.0,1.13,0.9,4.4
806,5780.0,1.33,1.12,4.09
807,5945.0,1.19,1.23,4.38
808,5767.0,1.1,1.03,4.37
809,5776.0,1.13,1.03,4.38
810,5767.0,1.13,1.03,4.37
811,5026.0,0.78,0.58,4.42
812,6133.55,1.88,1.16,3.96
813,6176.0,1.33,1.22,4.29
814,5635.0,2.22,1.42,3.75
815,4842.0,6.12,1.55,3.22
816,6500.0,1.31,1.32,4.45
817,6500.0,1.31,1.32,4.34
818,5256.0,0.83,0.7,4.37
819,5256.0,0.83,0.7,4.37
820,5256.0,0.83,0.7,4.37
821,5256.0,0.83,0.7,4.37
822,5782.13,1.13,1.04,4.35
823,5726.0,0.89,1.05,4.48
824,5710.0,0.9,0.94,4.48
825,5070.0,0.78,0.8,4.56
826,5401.0,0.92,0.7,4.22
827,5401.0,0.92,0.7,4.22
828,5401.0,0.92,0.7,4.22
829,5401.0,0.92,0.81,4.46
830,6067.0,1.2,1.13,4.33
831,4035.0,51.1,1.6,1.4
832,4802.0,0.76,0.39,4.26
833,4860.0,4.98,1.25,3.13
834,6091.0,1.19,1.23,4.45
835,5790.0,1.06,1.04,4.43
836,5538.0,1.07,1.01,4.38
837,4951.0,4.92,1.61,3.28
838,6273.0,1.21,1.2,4.3
839,5652.0,1.13,1.03,4.26
840,4127.0,0.57,0.61,4.69
841,6239.0,1.16,1.55,4.5
842,5003.0,5.27,1.56,3.31
843,5979.0,1.51,1.57,4.27
844,5729.54,1.43,1.05,4.14
845,5840.0,1.08,1.05,4.39
846,5978.0,1.1,1.07,4.38
847,5978.0,1.1,1.07,4.38
848,5605.0,0.83,0.89,4.51
849,6215.0,2.04,1.11,4.05
850,4935.0,0.73,0.77,4.4
851,4935.0,0.73,0.77,4.4
852,4935.0,0.73,0.77,4.4
853,4935.0,0.73,0.77,4.4
854,5110.0,0.85,0.67,4.4
855,5113.0,0.9,0.87,4.31
856,5999.0,1.8,1.3,4.15
857,5909.0,1.39,1.17,4.19
858,5103.0,0.76,0.82,4.54
859,5103.0,0.76,0.82,4.54
860,4639.0,9.83,0.81,2.36
861,5399.0,0.93,0.74,4.37
862,5430.0,0.91,0.8,4.37
863,5430.0,0.91,0.8,4.37
864,5622.0,1.11,1.0,4.34
865,5575.0,1.2,0.98,4.27
866,4640.0,0.7,0.73,4.61
867,5966.0,1.27,1.14,4.35
868,5966.0,1.34,1.14,4.28
869,5544.0,1.21,1.03,4.17
870,5930.64,1.33,1.08,4.23
871,4730.0,0.85,0.76,4.46
872,5362.0,1.91,0.92,4.0
873,4699.0,0.78,0.81,4.57
874,4699.0,0.78,0.81,4.57
875,4699.0,0.78,0.81,4.57
876,4699.0,0.78,0.81,4.57
877,4913.0,0.77,0.79,4.51
878,4913.0,0.77,0.79,4.51
879,4831.0,11.22,1.46,2.48
880,4820.0,2.9,1.0,3.51
881,5527.0,1.03,0.92,4.4
882,5891.0,1.56,1.04,4.17
883,5891.0,1.61,1.04,4.08
884,3787.0,54.92,2.2,1.3
885,5683.0,0.98,0.91,4.42
886,5921.0,1.07,1.02,4.36
887,5940.0,1.68,1.16,4.24
888,5960.0,1.42,1.13,4.24
889,6304.0,1.14,1.25,4.43
890,5080.0,2.94,1.21,3.58
891,5847.0,1.95,1.06,4.03
892,5620.0,1.85,1.19,4.05
893,4806.0,4.1,1.07,3.31
894,5701.0,1.85,1.21,3.99
895,5790.0,1.13,1.12,4.38
896,6097.0,1.54,1.23,4.19
897,5894.0,1.93,1.31,4.38
898,4385.0,0.67,0.68,4.69
899,5038.0,5.69,1.57,3.09
900,5027.0,0.74,0.75,4.6
901,5974.0,1.07,1.12,4.43
902,5843.0,1.49,1.21,4.15
903,6101.0,1.53,1.21,4.31
904,4791.0,10.9,1.5,2.55
905,4981.0,0.68,0.71,4.49
906,4684.0,0.71,0.67,4.53
907,4684.0,0.71,0.67,4.53
908,4684.0,0.71,0.67,4.53
909,4684.0,0.71,0.67,4.53
910,4684.0,0.71,0.67,4.53
911,6040.0,1.53,1.1,4.23
912,3933.0,0.57,0.58,4.7
913,4769.0,12.73,1.47,2.37
914,4297.0,25.46,0.82,2.31
915,3926.0,71.23,8.76,1.67
916,5802.0,1.3,1.11,4.26
917,5776.49,1.39,1.1,4.2
918,4052.0,40.0,1.61,1.44
919,6034.0,1.41,1.22,4.2
920,5160.0,0.83,0.86,4.4
921,6125.0,1.23,1.08,4.26
922,4766.0,13.76,2.12,2.5
923,5920.58,1.0,1.08,4.48
924,5920.58,1.0,1.08,4.48
925,3803.0,0.44,0.44,5.2
926,3803.0,0.44,0.44,5.2
927,6057.62,1.46,1.13,4.16
928,5186.0,0.94,0.77,4.38
929,6801.0,1.56,1.43,4.21
930,5072.0,0.87,0.78,4.45
931,4846.0,3.18,1.23,3.78
932,5737.0,0.92,0.94,4.46
933,4875.0,0.89,0.81,4.22
934,4894.0,0.89,0.8,4.49
935,4894.0,0.89,0.81,4.49
936,5966.0,1.27,1.16,4.12
937,6120.0,1.45,1.26,4.13
938,6120.0,1.45,1.26,4.13
939,6120.0,1.45,1.26,4.13
940,5662.0,1.03,0.99,4.42
941,5662.0,1.03,0.99,4.42
942,5919.87,1.07,1.08,4.41
943,5664.0,1.48,1.06,4.12
944,4503.0,0.69,0.82,4.67
945,3703.49,0.48,0.5,4.75
946,4972.0,6.48,1.53,3.06
947,5560.0,0.85,0.85,4.44
948,5505.0,0.95,0.84,4.41
949,4845.0,4.5,1.17,3.25
950,4844.0,10.76,1.97,2.67
951,4678.0,0.57,0.75,4.79
952,5580.0,1.02,0.98,4.42
953,5580.0,1.18,0.98,4.41
954,5882.0,1.61,1.12,4.07
955,5400.0,0.91,0.92,4.37
956,4895.0,4.4,1.17,3.2
957,6130.0,1.75,1.7,4.18
958,5898.0,1.07,0.96,4.45
959,5898.0,1.07,0.96,4.45
960,5898.0,1.07,0.96,4.45
961,5300.0,0.87,0.85,4.47
962,5300.0,0.87,0.85,4.47
963,5300.0,0.87,0.85,4.47
964,5300.0,0.87,0.85,4.47
965,4580.0,10.22,1.13,2.1
966,5727.0,1.11,0.94,4.41
967,5000.0,0.84,0.47,4.26
968,5544.0,1.11,1.03,4.2
969,5025.4,4.17,1.52,3.38
970,5025.4,4.17,1.52,3.38
971,5025.4,4.17,1.52,3.38
972,6089.0,1.28,1.13,4.28
973,5935.0,1.97,1.38,4.12
974,6250.0,1.44,1.25,4.0
975,4861.0,5.39,1.84,3.24
976,4861.0,5.29,1.78,3.24
977,5879.0,1.38,1.14,4.21
978,5836.0,1.38,1.07,4.21
979,5836.0,1.38,1.07,4.21
980,5836.0,1.38,1.07,4.21
981,5836.0,1.38,1.07,4.21
982,5836.0,1.38,1.07,4.21
983,6060.0,1.76,1.15,4.24
984,4770.0,10.86,1.69,2.59
985,5221.0,0.87,0.8,4.45
986,5698.64,0.95,0.85,4.39
987,5698.64,0.95,0.85,4.39
988,5698.64,0.95,0.85,4.39
989,5329.0,0.91,0.94,4.51
990,5329.0,0.91,0.94,4.51
991,5049.8,0.83,0.85,4.53
992,5981.0,1.49,1.37,4.23
993,5697.0,2.86,0.98,3.71
994,5697.0,2.86,0.98,3.71
995,5338.0,2.03,1.21,3.88
996,5950.0,1.19,1.1,4.36
997,5205.0,0.78,0.67,4.53
998,5205.0,0.78,0.67,4.53
999,5205.0,0.78,0.67,4.53
1000,5576.0,0.74,0.87,4.66
1001,4956.0,0.72,0.77,4.47
1002,4956.0,0.72,0.77,4.47
1003,4956.0,0.72,0.77,4.47
1004,4956.0,0.72,0.77,4.47
1005,4956.0,0.72,0.77,4.47
1006,4869.0,8.56,2.0,3.02
1007,6165.0,1.21,1.45,4.43
1008,5310.0,0.85,0.95,4.37
1009,5036.0,1.04,0.4,4.33
1010,5688.0,1.08,1.01,4.4
1011,5405.0,0.82,0.83,4.45
1012,5596.0,1.42,1.25,4.23
1013,5582.0,1.5,0.99,4.08
1014,5717.0,0.85,0.88,4.5
1015,5727.0,1.0,1.01,4.44
1016,5686.0,1.02,0.93,4.39
1017,4943.0,5.14,1.63,3.24
1018,5508.0,1.0,0.96,4.31
1019,5508.0,1.0,0.96,4.37
1020,6093.0,1.6,1.32,4.28
1021,5752.0,1.32,1.0,4.21
1022,5869.0,1.08,1.03,4.47
1023,5869.0,1.08,1.03,4.47
1024,5566.0,1.26,0.98,4.23
1025,5466.0,0.89,0.82,4.38
1026,5466.0,0.89,0.82,4.38
1027,5294.0,0.94,0.92,4.2
1028,6114.04,1.28,1.15,4.28
1029,5285.0,0.91,0.92,4.53
1030,5657.0,1.08,0.96,4.36
1031,5657.0,1.08,0.96,4.36
1032,4959.0,5.4,1.74,3.16
1033,4959.0,5.4,1.74,3.16
1034,4914.0,6.2,2.19,3.1
1035,4914.0,6.2,2.19,3.1
1036,4380.0,23.47,2.1,2.13
1037,4076.0,42.4,1.05,1.62
1038,5733.0,1.9,1.31,3.97
1039,4802.0,5.01,1.32,2.97
1040,5602.0,1.02,1.03,4.44
1041,6102.0,1.35,1.25,4.25
1042,6099.0,1.42,1.31,4.42
1043,5987.0,1.02,1.04,4.33
1044,5358.0,0.92,0.8,4.36
1045,5358.0,0.92,0.8,4.36
1046,6136.0,1.32,1.2,4.36
1047,6203.0,1.19,1.13,4.5
1048,6203.0,1.19,1.13,4.5
1049,4871.0,4.06,1.27,3.26
1050,4871.0,4.06,1.27,3.26
1051,6012.0,1.52,1.29,4.03
1052,4830.0,9.09,1.01,2.53
1053,4877.0,5.14,1.53,3.19
1054,5902.0,1.01,0.96,4.53
1055,8500.0,1.75,1.89,4.26
1056,5743.0,1.78,1.03,3.95
1057,4673.0,10.64,1.93,2.67
1058,4658.0,13.2,1.9,2.49
1059,4348.0,27.0,1.7,1.9
1060,6245.0,2.57,1.5,3.8
1061,6245.0,2.57,1.5,3.8
1062,6201.51,1.44,1.19,4.2
1063,6201.51,1.44,1.19,4.2
1064,4892.63,8.9,2.0,2.78
1065,5930.46,1.23,1.08,4.29
1066,5640.0,0.91,0.99,4.53
1067,5640.0,0.91,0.99,4.53
1068,4812.0,0.77,0.42,4.28
1069,5449.0,0.83,0.65,4.41
1070,5534.0,0.96,0.93,4.38
1071,5534.0,0.96,0.93,4.38
1072,5676.0,0.88,0.95,4.52
1073,5078.0,5.44,1.64,3.19
1074,5769.0,1.12,1.1,4.38
1075,5612.0,0.88,0.87,4.44
1076,5612.0,0.89,0.87,4.44
1077,4323.0,21.4,1.1,1.78
1078,5716.0,1.13,1.01,4.33
1079,5647.6,1.17,1.01,4.32
1080,6330.0,1.55,1.36,4.19
1081,6330.0,1.55,1.36,4.19
1082,5801.0,0.95,1.08,4.51
1083,5950.0,1.02,1.12,4.47
1084,5932.0,1.19,1.28,4.4
1085,5883.41,1.26,1.17,4.31
1086,4842.0,7.72,1.68,2.86
1087,5385.0,0.89,0.86,4.49
1088,5385.0,0.89,0.86,4.49
1089,5385.0,0.89,0.86,4.49
1090,5737.0,0.98,1.0,4.59
1091,5732.0,0.98,1.08,4.46
1092,5371.0,0.97,0.77,4.35
1093,4934.0,4.96,1.21,3.21
1094,5932.0,1.46,1.09,4.09
1095,5932.0,1.46,1.09,4.09
1096,5688.0,1.22,1.01,4.27
1097,5387.0,0.91,0.93,4.45
1098,5387.0,0.96,0.93,4.45
1099,5601.0,1.53,1.14,4.12
1100,5633.0,1.53,1.01,4.2
1101,4917.0,2.58,1.16,3.6
1102,4511.0,0.65,0.73,4.62
1103,4511.0,0.65,0.73,4.62
1104,6068.0,1.51,1.1,4.14
1105,6068.0,1.51,1.1,4.14
1106,6024.0,0.97,1.2,4.52
1107,6117.0,1.23,1.29,4.37
1108,4867.0,3.4,1.26,3.46
1109,4867.0,3.4,1.26,3.46
1110,5963.0,1.58,1.26,4.21
1111,5644.0,1.37,0.99,4.16
1112,4698.0,7.47,1.17,2.94
1113,5341.0,0.97,1.37,4.6
1114,4862.0,11.06,1.28,2.45
1115,5131.0,0.78,0.65,4.46
1116,5075.0,0.78,0.83,4.59
1117,5075.0,0.78,0.83,4.59
1118,5748.0,1.05,1.08,4.37
1119,5561.0,1.04,1.15,4.42
1120,5910.0,1.22,1.18,4.34
1121,4780.0,12.0,2.2,2.66
1122,4836.0,11.22,1.48,2.46
1123,6156.77,1.56,1.3,4.13
1124,6156.77,1.56,1.3,4.13
1125,6156.77,1.56,1.3,4.13
1126,4388.0,26.8,2.3,1.96
1127,5310.0,0.83,0.78,4.52
1128,5310.0,0.83,0.78,4.52
1129,5310.0,0.83,0.78,4.52
1130,5310.0,0.83,0.78,4.52
1131,6466.27,1.43,1.32,4.25
1132,5627.0,1.36,0.89,4.12
1133,5627.0,1.36,0.89,4.12
1134,6212.0,1.26,1.19,4.2
1135,5998.0,1.19,1.07,4.36
1136,6037.0,1.19,1.1,4.36
1138,4749.0,10.5,2.13,2.65
1139,4770.0,12.3,2.17,2.32
1140,4886.0,14.6,2.7,2.56
1141,4886.0,14.6,2.7,2.56
1142,4860.0,5.81,1.61,3.12
1143,21700.0,5.6,9.1,3.8
1144,4538.2,11.4,1.5,2.4
1145,4970.0,4.71,1.8,3.47
1146,10900.0,2.31,2.6,3.78
1147,4504.0,11.79,1.54,2.48
1148,4504.0,11.79,1.54,2.48
1149,4330.0,31.88,1.23,1.66
1150,4742.0,11.2,0.99,2.33
1151,4822.0,11.1,1.47,2.47
1152,4822.0,11.1,1.47,2.47
1153,4888.0,4.9,1.4,3.33
1154,4901.0,13.7,2.7,2.67
1155,4754.0,0.78,0.75,4.57
1156,5020.38,0.76,0.82,4.59
1157,4406.0,21.0,1.7,1.94
1158,4126.0,38.3,1.4,1.5
1159,7890.0,2.01,1.8,3.83
1160,8038.68,1.54,1.8,4.35
1161,4092.1,47.2,1.7,1.4
1163,4055.0,45.1,1.13,1.2
1164,4553.0,13.9,1.5,2.49
1165,3151.0,0.16,0.14,5.17
1166,3151.0,0.16,0.14,5.17
1167,3151.0,0.16,0.14,5.17
1168,4749.0,1.19,1.1,4.25
1169,6250.0,1.48,1.41,4.25
1170,6720.0,1.93,1.47,4.04
1171,5430.0,1.13,1.04,4.35
1172,6397.0,1.45,1.1,4.18
1173,6429.0,1.54,0.58,3.95
1174,5399.0,1.02,0.98,4.43
1175,5399.0,1.0,0.98,4.43
1176,5340.0,0.99,0.97,4.43
1177,5750.0,0.88,0.88,4.51
1178,4716.0,0.69,0.69,4.62
1179,3158.0,0.18,0.17,4.93
1180,3342.0,0.31,0.29,4.9
1181,3342.0,0.31,0.29,4.9
1182,3342.0,0.31,0.29,4.9
1183,4591.0,0.66,0.73,4.53
1184,4251.0,0.61,0.65,4.55
1185,5000.0,0.75,0.82,4.6
1186,6250.0,1.15,1.2,4.4
1187,575.0,0.09,0.03,5.0
1188,4710.0,0.01,0.52,7.92
1190,6150.0,1.64,1.21,4.3
1191,5473.0,0.74,0.81,4.61
1192,5640.0,1.08,1.18,4.45
1193,5540.0,1.05,1.06,4.42
1194,5830.0,1.23,1.46,4.36
1195,6040.0,1.35,1.24,4.26
1196,6170.0,1.48,1.67,4.27
1197,6700.0,1.52,1.33,4.2
1198,6280.0,1.34,1.19,4.26
1199,4920.0,0.86,0.84,4.3
1200,6430.0,1.98,1.55,4.03
1201,5130.0,0.88,0.92,4.52
1202,6430.0,1.8,0.94,3.96
1203,6450.0,1.63,1.2,4.08
1204,6112.0,0.94,1.09,4.5
1205,5314.0,0.75,0.84,4.4
1206,5510.0,1.05,1.11,4.44
1207,6480.0,2.1,1.48,3.96
1208,5870.0,1.28,1.08,4.26
1209,4143.0,0.59,0.58,4.66
1210,5690.0,0.99,1.04,4.44
1211,5600.0,1.03,1.34,4.5
1212,6600.0,1.6,1.43,4.2
1213,6100.0,2.46,1.87,4.1
1214,5617.0,0.91,0.9,4.48
1215,6250.0,1.73,1.46,4.13
1216,6100.0,1.26,1.14,4.29
1217,5990.0,1.42,0.98,4.39
1218,6030.0,2.55,2.52,3.93
1219,6250.0,2.18,2.78,4.09
1220,6050.0,1.82,0.76,3.9
1221,5763.0,1.22,1.11,4.31
1222,6400.0,1.43,1.28,4.23
1223,4700.0,0.86,0.98,4.5
1224,5910.0,1.79,1.49,4.17
1225,5200.0,0.88,0.91,4.35
1226,6600.0,1.76,1.33,4.3
1227,5600.0,1.01,0.93,4.4
1228,5400.0,1.06,1.0,4.39
1229,5550.0,1.86,1.28,4.01
1230,6230.0,1.23,1.11,4.45
1231,6250.0,1.55,1.82,4.26
1232,5900.0,1.17,1.19,4.2
1233,5450.0,0.73,0.55,4.6
1234,4650.0,0.61,0.72,4.72
1235,5800.0,1.22,1.06,4.27
1236,5600.0,0.93,0.89,4.45
1237,5600.0,0.96,0.71,4.5
1238,5900.0,1.09,1.11,4.3
1239,6100.0,1.76,1.08,4.0
1240,4953.0,0.8,0.84,4.55
1241,4953.0,0.8,0.84,4.55
1242,5000.0,0.79,0.87,4.58
1243,5400.0,0.84,0.89,4.54
1244,5700.0,1.03,0.96,4.4
1245,5600.0,0.97,0.92,4.5
1246,5920.0,1.58,0.88,4.03
1247,5552.0,1.14,1.04,4.34
1248,5552.0,1.14,1.04,4.34
1249,5552.0,1.14,1.04,4.34
1250,5552.0,1.14,1.04,4.34
1251,5600.0,0.86,0.83,4.49
1252,5150.0,0.86,0.85,4.5
1253,5420.0,0.91,0.94,4.49
1254,4400.0,0.6,0.58,4.49
1255,5315.0,0.89,0.95,4.52
1256,5545.0,0.87,0.93,4.53
1257,5545.0,0.83,0.81,4.53
1258,5400.0,0.89,0.86,4.47
1259,5400.0,0.9,0.93,4.45
1260,6180.0,1.52,1.76,4.25
1261,5800.0,1.0,0.93,4.41
1262,5959.0,0.99,1.08,4.49
1263,5990.0,1.08,1.05,4.4
1264,5700.0,0.91,0.96,4.5
1265,7430.0,1.44,1.5,4.25
1266,6140.0,0.95,0.72,4.4
1267,6302.0,1.25,1.16,4.31
1268,6400.0,1.44,1.62,4.25
1269,4800.0,0.79,0.77,4.5
1270,6084.0,1.08,0.99,4.37
1271,6034.0,1.22,0.86,4.44
1272,5750.0,0.8,0.67,4.5
1273,6075.0,1.42,1.43,4.26
1274,5150.0,0.77,0.78,4.56
1275,6000.0,1.24,1.46,4.5
1276,5800.0,1.06,1.01,4.28
1277,5940.0,1.39,1.2,4.23
1278,5180.0,0.87,0.9,4.51
1279,5910.0,1.32,1.09,4.24
1280,6400.0,1.6,1.35,4.17
1281,5616.0,1.01,0.97,4.42
1282,8000.0,2.36,2.03,3.9
1283,6150.0,2.83,1.54,3.72
1284,6361.0,1.47,1.22,4.19
1285,5900.0,1.5,1.12,4.13
1286,6000.0,1.65,1.23,4.09
1287,5313.0,0.87,0.78,4.45
1288,5638.0,1.34,1.08,4.22
1289,5839.0,0.97,1.04,4.49
1290,6600.0,1.19,1.3,4.42
1291,6400.0,1.23,1.22,4.37
1292,6432.0,1.32,1.29,4.31
1293,9360.0,1.67,2.07,4.31
1294,5017.0,0.89,0.88,4.49
1295,5941.0,1.93,1.34,4.0
1296,6229.0,1.2,1.21,4.36
1297,6399.0,1.35,1.24,4.27
1298,5800.0,1.11,1.05,4.37
1299,6900.0,1.91,1.49,4.05
1300,5965.0,1.64,1.17,4.08
1301,5600.0,0.94,0.93,4.47
1302,6550.0,1.49,2.28,4.2
1303,6110.0,2.01,1.34,3.96
1304,6000.0,1.12,1.08,4.37
1305,7000.0,1.79,1.59,4.13
1306,6050.0,1.22,1.19,4.34
1307,5599.0,1.75,1.25,3.93
1308,5806.0,0.93,0.95,4.46
1309,5500.0,1.01,0.97,4.41
1310,5300.0,1.11,0.95,4.33
1311,6400.0,1.71,1.39,4.11
1312,5298.0,0.87,0.87,4.5
1313,5700.0,1.14,1.78,4.49
1314,6120.0,2.11,1.41,3.94
1315,6350.0,1.39,1.38,4.3
1316,5772.0,1.1,1.06,4.38
1317,4910.0,0.76,0.84,4.6
1318,5914.0,1.73,1.34,4.1
1319,5871.0,1.18,1.08,4.35
1320,6218.0,1.65,1.39,4.15
1321,6300.0,1.48,1.18,4.35
1322,5555.0,0.91,0.95,4.5
1323,5555.0,0.91,0.95,4.5
1324,5702.0,1.43,1.04,4.21
1325,4900.0,0.68,0.76,4.65
1326,5200.0,0.81,0.81,4.53
1327,6010.0,1.64,1.33,4.13
1328,5900.0,1.37,1.25,4.26
1329,5260.0,0.87,0.9,4.51
1330,6475.0,1.4,1.62,4.07
1331,5310.0,0.8,0.92,4.59
1332,6272.0,1.36,1.22,4.25
1333,6260.0,2.21,1.41,3.9
1334,5675.0,0.96,0.98,4.47
1335,5700.0,1.44,1.16,4.18
1336,4714.0,0.75,0.78,4.58
1337,4714.0,0.75,0.78,4.58
1338,6030.0,1.53,1.06,4.09
1339,5625.0,0.96,1.04,4.49
1340,5950.0,1.37,0.72,4.06
1341,5900.0,0.9,1.0,4.53
1342,5620.0,1.33,0.95,4.18
1343,5800.0,1.27,1.12,4.28
1344,5800.0,1.27,1.12,4.28
1345,6050.0,1.02,1.07,4.44
1346,5740.0,1.29,1.17,4.29
1347,6776.0,1.46,1.36,4.24
1348,6450.0,1.87,1.39,4.04
1349,6360.0,1.66,1.43,4.16
1350,5650.0,1.2,1.02,4.26
1351,6410.0,1.7,1.32,4.1
1352,6040.0,1.22,1.29,4.28
1353,5940.0,1.43,1.29,4.3
1354,5890.0,1.61,1.32,4.2
1355,5400.0,0.86,0.95,4.1
1356,4800.0,0.89,1.42,4.45
1357,4425.0,0.67,0.68,4.63
1358,4425.0,0.67,0.68,4.63
1359,6055.0,1.31,0.93,4.23
1360,5070.0,0.9,0.89,4.2
1361,5475.0,0.96,1.08,4.5
1362,6110.0,1.44,1.22,4.22
1363,6380.0,1.31,1.41,4.31
1364,6900.0,1.57,0.77,4.35
1365,4675.0,0.7,0.75,4.63
1366,6110.0,1.47,1.24,4.21
1369,4962.28,1.34,1.1,4.25
1370,4962.28,1.34,1.1,4.25
1371,4962.28,1.34,1.1,4.25
1372,4970.0,1.34,1.1,4.25
1373,29300.0,0.23,0.5,5.4
1376,3460.0,0.71,0.36,4.25
1377,3410.0,0.67,0.33,4.59
1378,2700.0,0.35,0.06,4.88
1380,5171.0,0.87,0.9,4.52
1381,6200.0,1.66,1.08,4.06
1382,5650.0,0.83,0.93,4.4
1383,5850.0,1.12,1.36,4.43
1384,5230.0,0.85,1.04,4.57
1385,2904.0,0.11,0.09,5.27
1386,2904.0,0.11,0.09,5.27
1387,4573.0,0.95,1.0,4.29
1388,4573.0,0.95,1.0,4.29
1389,4300.0,16.21,0.97,2.0
1390,5130.0,6.26,1.87,3.11
1391,4776.0,5.9,1.19,2.97
1392,3734.0,0.5,0.5,4.68
1393,4806.0,6.85,1.15,2.85
1394,4806.0,6.85,1.15,2.85
1395,4679.0,9.99,1.04,2.49
1396,2566.0,0.12,0.09,5.24
1397,2566.0,0.12,0.09,5.24
1398,2566.0,0.12,0.09,5.24
1399,2566.0,0.12,0.09,5.24
1400,2566.0,0.12,0.09,5.24
1401,2566.0,0.12,0.09,5.24
1402,2566.0,0.12,0.09,5.24
1403,4435.0,0.67,0.73,4.55
1404,4435.0,0.67,0.73,4.55
1405,5710.0,1.89,1.2,3.96
1406,4928.0,1.02,0.79,4.31
1407,4928.0,1.02,0.79,4.31
1408,5570.0,0.92,0.97,4.5
1409,6261.0,1.39,1.28,4.26
1410,5373.8,0.92,0.93,4.48
1411,6047.0,1.02,1.12,4.47
1412,4552.0,0.67,0.68,4.74
1413,4552.0,0.67,0.68,4.74
1414,3920.0,0.6,0.61,4.67
1415,4600.0,0.7,0.71,4.61
1416,5907.0,1.94,1.32,3.86
1417,3709.0,0.54,0.54,4.73
1418,3709.0,0.54,0.54,4.73
1419,5450.0,0.9,0.92,4.45
1420,5450.0,0.9,0.92,4.45
1421,4622.0,0.67,0.73,4.65
1422,4622.0,0.67,0.73,4.65
1423,4622.0,0.67,0.73,4.65
1424,3459.0,0.42,0.42,4.81
1425,3459.0,0.42,0.42,4.81
1426,3459.0,0.42,0.42,4.81
1427,3459.0,0.42,0.42,4.81
1428,6295.0,1.28,1.18,4.29
1429,3514.0,0.42,0.42,4.81
1430,6460.0,2.08,1.54,3.99
1431,6250.0,1.34,1.31,4.3
1432,3708.0,0.55,0.58,4.72
1433,5640.0,1.09,1.0,4.36
1434,5326.0,0.83,0.81,4.5
1435,5455.0,0.85,0.79,4.47
1436,5455.0,0.85,0.79,4.47
1437,5455.0,0.85,0.79,4.47
1438,5455.0,0.85,0.79,4.47
1439,5925.0,1.23,1.03,4.27
1440,6466.0,1.5,1.35,4.22
1441,5700.0,1.06,0.89,4.2
1442,4369.0,0.66,0.85,4.73
1443,3216.0,0.19,0.16,4.44
1444,6017.1,1.05,1.11,4.44
1445,3927.0,0.61,0.64,4.67
1446,3659.0,0.54,0.53,4.7
1447,5631.0,1.02,1.0,4.42
1448,3350.0,0.37,0.37,5.0
1449,5643.77,1.09,1.0,4.36
1450,6300.0,1.4,1.24,4.3
1451,4440.0,0.68,0.74,4.62
1452,4440.0,0.68,0.74,4.62
1453,4440.0,0.68,0.74,4.62
1454,4440.0,0.68,0.74,4.62
1455,5735.0,1.66,1.14,4.06
1456,6058.0,1.41,1.24,4.23
1457,5190.0,2.5,1.34,3.77
1458,6096.0,1.15,1.19,4.39
1459,5550.0,0.88,0.95,4.56
