,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_surface_gravity
173,3348.0,0.31,0.29,4.93
174,3024.0,0.14,0.12,5.1
175,3024.0,0.14,0.12,5.1
176,2953.0,0.16,0.12,5.16
177,2953.0,0.16,0.12,5.16
178,2953.0,0.16,0.12,5.16
179,3270.0,0.21,0.18,4.88
180,3270.0,0.21,0.18,5.02
181,3287.0,0.36,0.34,4.87
182,3287.0,0.36,0.34,4.87
183,3280.0,0.18,0.16,5.09
184,3250.0,0.21,0.18,5.03
185,3458.0,0.39,0.38,4.89
186,3236.0,0.19,0.18,5.09
187,4640.0,0.7,0.73,4.61
188,3607.0,0.38,0.38,4.87
189,3607.0,0.38,0.38,4.87
190,4347.0,0.66,0.69,4.61
191,3500.0,0.41,0.4,4.82
192,3500.0,0.41,0.4,4.82
193,3500.0,0.41,0.4,4.82
194,3370.0,0.38,0.36,4.83
195,3371.0,0.41,0.43,4.81
196,3371.0,0.41,0.43,4.81
197,3811.5,0.41,0.43,4.81
198,5485.0,2.24,0.96,3.72
199,5485.0,2.24,0.96,3.72
200,4069.95,0.71,0.62,4.48
201,3912.54,0.46,0.51,4.69
202,3564.0,0.46,0.51,4.69
203,3451.0,0.36,0.36,4.96
204,3542.0,0.52,0.53,4.72
205,3382.0,0.29,0.29,4.91
206,3382.0,0.29,0.29,4.91
207,5540.0,0.9,0.9,4.7
208,3910.0,0.47,0.47,4.77
209,3556.0,0.52,0.52,4.73
210,3717.0,0.5,0.68,4.63
211,3717.0,0.5,0.68,4.63
212,3717.0,0.5,0.68,4.63
213,3492.73,0.43,0.42,4.82
214,3492.73,0.43,0.42,4.82
215,5257.46,0.93,0.89,4.43
216,3900.0,0.65,0.69,4.61
217,3466.0,0.4,0.42,4.78
218,3466.0,0.4,0.42,4.78
219,3466.0,0.4,0.42,4.78
220,3466.0,0.4,0.42,4.78
223,3526.0,0.44,0.47,4.77
224,4014.0,0.58,0.64,4.68
225,3600.0,0.55,0.54,4.7
226,3347.0,0.36,0.36,4.81
227,3347.0,0.36,0.36,4.81
228,3081.0,0.14,0.12,5.16
229,3081.0,0.14,0.12,5.16
230,3505.0,0.34,0.34,4.94
231,3505.0,0.34,0.34,4.94
232,3505.0,0.34,0.34,4.94
233,3517.0,0.43,0.45,4.78
234,3522.0,0.46,0.45,4.78
235,3324.0,0.28,0.27,5.05
236,3384.0,0.32,0.31,4.89
237,3384.0,0.32,0.31,4.89
238,3579.0,0.43,0.43,4.88
239,3867.0,0.61,0.63,4.65
240,3722.0,0.49,0.5,4.77
241,3722.0,0.49,0.5,4.77
242,3719.0,0.37,0.39,4.9
243,4120.0,0.68,0.65,4.65
244,4120.0,0.68,0.65,4.65
245,3323.0,0.37,0.35,4.85
246,3387.0,0.41,0.41,4.97
247,3461.0,0.5,0.48,4.81
248,3472.0,0.47,0.48,4.76
249,3461.0,0.47,0.48,4.76
250,3586.11,0.46,0.47,4.79
251,3381.0,0.46,0.45,4.78
252,3340.0,0.33,0.32,4.89
253,6234.0,1.26,1.22,4.6
254,3728.0,0.5,0.51,4.76
255,3685.0,0.5,0.52,4.75
256,3396.0,0.33,0.31,4.89
257,3396.0,0.33,0.31,4.89
258,3396.0,0.33,0.31,4.89
259,3499.0,0.31,0.3,4.94
260,3700.0,0.5,0.54,4.76
266,3600.0,0.36,0.35,4.86
267,3734.0,0.69,0.63,4.62
268,4006.03,0.65,0.63,4.61
269,4006.03,0.65,0.63,4.61
270,4006.03,0.65,0.63,4.61
271,3563.0,0.46,0.46,4.77
272,3028.0,0.3,0.27,4.93
273,3028.0,0.3,0.27,4.93
274,3816.0,0.54,0.55,4.72
275,3413.0,0.42,0.4,4.86
276,3413.0,0.42,0.4,4.82
277,3837.0,0.56,0.57,4.71
278,3913.0,0.56,0.58,4.68
279,3472.0,0.44,0.45,4.7
280,3562.68,0.47,0.49,4.77
281,3562.68,0.47,0.49,4.79
282,5182.0,0.77,0.93,4.63
283,3293.74,0.3,0.32,4.87
284,3293.74,0.3,0.32,4.87
285,3293.74,0.3,0.32,4.87
286,3271.0,0.3,0.32,4.87
287,3688.0,0.47,0.49,4.78
288,3688.0,0.47,0.49,4.78
289,3345.0,0.39,0.44,4.83
290,3154.0,0.16,0.15,5.01
291,3785.0,0.58,0.6,4.67
292,3836.0,0.57,0.59,4.69
293,4263.0,0.66,0.67,4.62
294,4340.0,0.6,0.61,4.66
295,4340.0,0.6,0.61,4.66
296,4340.0,0.6,0.61,4.66
297,7000.0,1.56,1.68,4.27
298,4360.0,1.94,0.7,3.65
299,4200.0,0.9,0.9,4.37
300,4031.81,0.45,0.33,4.78
301,5470.0,0.95,0.95,4.44
302,5720.0,1.06,1.0,4.37
303,3879.0,0.56,0.56,4.69
304,3805.0,0.51,0.52,4.69
305,3656.0,0.43,0.43,4.87
306,5980.0,1.17,1.15,4.36
307,4780.0,0.68,0.81,4.66
308,4780.0,0.68,0.81,4.66
309,4650.0,0.7,0.73,4.61
310,5653.0,1.76,1.32,4.13
311,5653.0,1.76,1.32,4.13
312,6600.0,1.82,2.65,4.25
313,5568.0,1.07,1.0,4.38
314,6158.0,1.24,1.22,4.34
315,5246.0,0.87,0.99,4.53
316,5336.96,0.84,0.92,4.55
317,4803.0,0.75,0.77,4.57
318,4990.0,0.82,0.84,4.54
319,6380.0,1.39,1.33,4.16
320,4595.0,0.69,0.76,4.63
321,5588.0,1.21,1.24,4.33
322,5302.0,1.11,1.13,4.36
323,5905.0,0.96,0.58,4.33
324,6373.0,1.38,1.37,4.27
325,5519.0,0.92,1.01,4.52
326,5079.0,0.87,1.12,4.56
327,5316.0,0.86,0.92,4.53
328,5680.0,1.1,1.03,4.36
329,6087.0,1.3,1.45,4.34
330,5185.0,0.87,1.06,4.56
331,6304.0,1.31,1.55,4.36
332,6065.0,1.39,1.31,4.26
333,6001.0,1.37,1.13,4.22
334,6446.0,1.79,1.82,4.15
335,6442.0,1.53,1.39,4.21
336,6096.0,1.44,1.24,4.21
337,5620.0,1.04,1.03,4.42
338,5500.0,0.88,0.93,4.51
339,5330.0,0.92,0.89,4.37
340,6430.0,1.62,1.4,4.07
341,5860.0,1.62,0.56,4.14
342,6080.0,1.94,1.03,3.93
343,6390.0,2.05,2.56,4.14
344,5743.0,1.53,1.18,4.14
345,5693.0,1.08,1.03,4.38
346,5295.0,0.95,0.94,4.46
347,5295.0,0.95,0.94,4.46
348,6330.0,1.32,1.26,4.3
349,6120.0,1.4,1.28,4.25
350,6820.0,2.06,2.22,4.1
351,5960.0,1.12,1.04,4.37
352,6280.0,1.7,1.27,4.07
353,5449.0,1.04,0.98,4.39
354,5131.0,0.89,0.89,4.48
355,5956.0,1.21,1.09,4.31
356,4390.0,0.62,0.65,4.67
357,5808.0,1.01,1.01,4.43
358,6566.0,1.47,1.42,3.39
