,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
314,1186.35,1626.0,2.77596,0.0413,1.24
315,65.68,792.0,10.33852,0.0882,0.87
317,82.24,852.0,5.508023,0.0559,0.75
318,165.19,1010.0,4.008778,0.0466,0.82
319,839.62,1540.0,5.6335158,0.06814,1.39
320,145.71,970.0,2.875317,0.0361,0.69
321,459.54,1283.0,4.12448,0.0494,1.21
322,325.57,1463.0,3.21222,0.0414,1.11
323,2796.38,1951.0,1.21288,0.0232,0.96
324,1047.12,1637.0,3.35524,0.04651,1.38
325,325.0,1182.0,3.65281514,0.0466,0.92
326,185.07,1001.0,4.23452,0.0479,0.87
327,336.04,1092.0,3.039577,0.04,0.86
328,554.71,1384.0,3.257215,0.0434,1.1
329,433.0,1271.0,5.72319,0.0667,1.3
330,176.59,1189.0,2.8997,0.03866,0.87
331,1467.96,1630.0,2.8106,0.0419,1.31
332,746.9,1450.0,5.00542,0.061,1.39
333,1841.0,1836.0,2.1500082,0.03397,1.37
334,1701.38,1782.0,3.47447,0.04995,1.79
335,433.78,1520.0,5.452654,0.06774,1.53
336,999.67,1581.0,3.646706,0.04978,1.44
337,1821.0,1781.0,1.32734683,0.0241,1.04
338,412.4,1271.0,2.797436,0.0379,0.88
339,187.99,1082.0,4.640382,0.0523,0.92
340,1319.04,1752.0,3.54387,0.0509,1.62
341,1438.0,1686.0,3.056536,0.04438,1.62
342,1747.42,1770.0,4.45724,0.0608,1.94
343,2485.07,1941.0,2.69405,0.04258,2.05
344,469.05,1428.0,4.641878,0.0575,1.53
345,524.35,1353.0,3.3326414,0.0444,1.08
346,185.12,1108.0,4.301219,0.0507,0.95
350,6508.84,2131.0,2.69155,0.04378,2.06
351,653.75,1539.0,2.78849,0.04073,1.12
352,1198.68,1862.0,3.1220109,0.0453,1.7
353,311.71,1192.0,4.2180278,0.05069,1.04
354,227.76,1218.0,2.7535953,0.03694,0.89
355,1611.53,1778.0,1.9616241,0.03159,1.21
356,22.2,818.0,3.799847,0.04117,0.62
357,410.03,1313.0,3.5852467,0.04604,1.01
358,3515.0,1840.0,2.79083,0.0423,1.47
360,1146.0,1622.0,4.0138379,0.04994,1.53
361,441.4,1278.0,4.1419771,0.05064,1.1
362,1669.87,1675.0,3.85298,0.05239,1.62
363,1634.0,1772.0,4.7947813,0.06277,2.2
364,849.5,1505.0,1.90231289,0.0301,0.94
365,867.2,1512.0,2.6453235,0.03772,1.17
366,387.4,1237.0,3.377728,0.04294,0.97
367,1611.0,1766.0,4.007232,0.05387,1.74
368,2114.86,1930.0,2.6054552,0.03951,1.86
369,1939.51,1896.0,2.972086,0.04363,1.88
370,2884.55,1903.0,4.8101025,0.06505,2.55
371,184.8,1028.0,2.29840551,0.02996,0.67
372,2238.59,1930.0,4.7869491,0.06555,1.93
373,4353.41,2733.0,2.20474,0.03676,2.0
374,5626.34,2562.0,2.74432452,0.04739,1.86
375,1519.96,1700.0,3.07634,0.04496,1.57
376,931.0,1540.0,3.92281072,0.05287,1.34
377,489.95,1359.0,3.446459,0.0444,1.04
381,315.99,1244.0,3.0440499,0.04057,0.89
382,505.89,1276.0,2.7667641,0.03815,0.93
384,994.81,1592.0,2.686502,0.03744,1.24
385,72.7,814.0,16.254611,0.1308,1.09
386,2990.0,2069.0,0.83784,0.0174,1.02
387,667.12,1577.0,1.354133,0.023,0.9
388,111.3,858.0,4.7228124,0.05025,0.69
390,2706.96,2166.0,1.3484978,0.0238,1.12
391,326.89,1277.0,4.2986432,0.05163,1.11
392,2236.58,1918.0,3.3023881,0.04735,2.04
393,1342.57,1659.0,4.637038,0.0611,1.74
396,1212.0,1648.0,3.547851,0.0485,1.4
397,718.91,1414.0,3.1743516,0.04354,1.06
399,614.59,1437.0,2.8126548,0.04024,1.1
400,757.13,1429.0,2.5495551,0.03727,1.02
401,691.84,1445.0,2.1061607,0.03166,0.98
402,2440.7,2037.0,1.8209993,0.03199,1.43
403,561.0,1203.0,4.175186,0.0523,1.1
404,229.7,1085.0,4.3315366,0.04913,0.88
